civil_status,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total
Single,-,-,-,-,-,-,-,31989,30338,33477,31989,33759,33589,32760,29663,29747,24990,18569,19451,25438,24721,28118,26687,32870,34346,40505,40200,35250,41119,47143,44825,43908,815451
Married,-,-,-,-,-,-,-,23530,23203,27005,27559,27976,29987,28911,24439,28399,26287,18795,19081,23583,24959,27100,26233,29577,32056,39007,36128,32390,34700,35564,35214,35776,717459
Widow or Widower,-,-,-,-,-,-,-,2133,1858,2299,2517,2123,2432,2491,1818,2393,2341,1415,1661,1657,1916,2015,1804,1946,2035,2616,3295,2341,2874,2359,2439,2866,55644
Separated,-,-,-,-,-,-,-,134,98,127,186,131,148,149,158,182,172,103,135,154,233,179,172,208,239,303,318,264,347,380,338,401,5259
Divorced,-,-,-,-,-,-,-,143,143,194,192,159,234,220,163,192,269,127,179,179,219,306,239,323,347,536,656,538,581,609,579,675,8002
Not Reported,-,-,-,-,-,-,-,91,105,47,21,6,-,-,1,-,-,-,-,20,6,2,2,   ,5,   ,2,17,97,20,15,14,471
Total Civil Status,-,-,-,-,-,-,-,58020,55745,63149,62464,64154,66390,64531,56242,60913,54059,39009,40507,51031,52054,57720,55137,64924,69028,82967,80599,70800,79718,86075,83410,83640,1602286
