program_or_projects,appropriations ,obligations,balancces
Construction or Rehabilitation of Potable Water System,400000,334973,66027
Agricultural Productivity Enhancement Program,20564647.97,13808166.8,6756508.17
Purchase of Demo Farm Lot,1400000,400000,1000000
Construction or Rehabilitation and Maintenance of Municipal Streets,2000000,1445000,555000
Construction of Municipal Streets,3000000,19252,2980748
Purchase of Heavey Equipments,800000,-,800000
Total,28164674.97,16007391.8,12157283.17
