region,suc,first_sem_2010-2011_bs_ab,first_sem_2010-2011_ms_ma,first_sem_2010-2011_phd,first_sem_2011-2012_bs_ab,first_sem_2011-2012_ms_ma,first_sem_2011-2012_phd,first_sem_2012-2013_bs_ab,first_sem_2012-2013_ms_ma,first_sem_2012_-2013_phd
IV-A (CALABARZON),University of Rizal System,100,300,300,50 / 100,200,250,50 / 100,200,250
IV-B (MIMAROPA),Marinduque State College,125,500,500,125.5,500,-,145.5,500,500
IV-B (MIMAROPA),Mindoro State College of Agriculture and Technology,100,300,500,100,300,500,100,300,500
IV-B (MIMAROPA),Occidental Mindoro State College,100,350,-,100,350,-,100,500,500
IV-B (MIMAROPA),Palawan State University,200,400,800,200,400,800,200,400,800
IV-B (MIMAROPA),Romblon State University,100,300,-,100,300,-,100,300,-
IV-B (MIMAROPA),Western Philippine University,150,400,600,150,400,600,200,400,600
V (Bicol Region),Bicol University,175,400,500,175,400,500,175,400,500
V (Bicol Region),Camarines Norte State College,125,400,-,125,400,-,125,400,-
V (Bicol Region),Camarines Sur Polytechnic College,150,500,-,180,500,-,180,500,-
V (Bicol Region),Central Bicol State University of Agriculture,100,200,300,100,200,300,175,400,500
V (Bicol Region),Catanduanes State College,100,150,200,100,150,200,100,150,-
V (Bicol Region),Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,150,300,500,150,400,600,150,400,600
V (Bicol Region),Partido State University,175,500,500,175,500,500,175,400,500
V (Bicol Region),Sorsogon State College,150,200,-,150,200,-,150,200,-
VI (Western Visayas),Aklan State University,120,250,300,nd,nd,nd,120,250,300
VI (Western Visayas),Capiz State University,140,311,415,140,311,415,140,311,415
VI (Western Visayas),Carlos C. Hilado Memorial State College,150,300,400,150,300,400,150,300,400
VI (Western Visayas),Guimaras State College,142.5,300,400,nd,nd,nd,220,450,600
VI (Western Visayas),Iloilo State College of Fisheries,100,300,350,100,300,350,120,300,350
VI (Western Visayas),Negros State College of Agriculture,120,300,400,140,300,400,140,300,400
