region,suc,enrolment_2010-2011,enrolment_2011-2012,enrolment_2012-2013,graduates_2009-2010,graduates_2010-2011,graduates_2011-2012
I (Ilocos Region),Don Mariano Marcos Memorial State University,13184,12655,14320,1977,2126,1793
I (Ilocos Region),Ilocos Sur Polytechnic State College,3230,3988,4068,613,47,1551
I (Ilocos Region),Mariano Marcos State University,10334,11158,11706,1562,2353,2340
I (Ilocos Region),North Luzon Philippines State College,-,1879,2271,-,4,349
I (Ilocos Region),Pangasinan State University,19416,21692,22229,1736,2199,2543
I (Ilocos Region),University of Northern Philippines,9503,10164,9953,2479,2246,1854
II (Cagayan Valley),Batanes State College,379,286,316,33,80,116
II (Cagayan Valley),Cagayan State University,28863,31487,35478,2543,3453,3058
II (Cagayan Valley),Isabela State University,27423,29180,22220,4341,4537,3640
II (Cagayan Valley),Nueva Viscaya State University,7384,7384,7969,931,931,1071
II (Cagayan Valley),Qurino State College,1784,1925,1945,335,379,428
III (Central Luzon),Aurora State College of Technology,2762,2673,1964,319,6630,577
III (Central Luzon),Bataan Pen State University,13340,13731,14350,2610,2490,2365
III (Central Luzon),Bulacan Agric State College,2250,2560,2750,329,284,344
III (Central Luzon),Bulacan State University,25087,30383,35525,3754,4368,5346
III (Central Luzon),Central Luzon State University,7326,9652,10354,924,989,1182
III (Central Luzon),Don H Ventura Technological State University,9968,10932,12724,833,1053,1464
III (Central Luzon),Nueva Ecija University of Science and Technology,15301,15860,26834,1784,2155,2697
III (Central Luzon),Pampanga Agricultural College,2821,3472,4040,396,391,938
III (Central Luzon),Philippines Merchant Marine Academy,1103,1103,913,201,201,241
III (Central Luzon),Ramon Magsaysay Technological University,7243,8013,8027,1094,1430,1387
III (Central Luzon),Tarlac College of Agriculture,2451,2746,3125,262,326,378
III (Central Luzon),Tarlac State University,11679,12048,15601,1239,4772,1956
IV-A (CALABARZON),Batangas State University,23349,24789,27920,2939,3215,4183
IV-A (CALABARZON),Cavite State University,17553,25117,24849,2189,2643,2817
IV-A (CALABARZON),Laguna State Polytechnic University,15766,16640,15547,3304,4032,3408
IV-A (CALABARZON),Southern Luzon State University,13539,14205,14929,1897,2289,2636
IV-A (CALABARZON),University of Rizal System,15255,16179,18908,2860,3018,2650
IV-B (MIMAROPA),Marinduque State College,4585,4911,5315,659,724,924
IV-B (MIMAROPA),Mindoro State College of Agriculture and Technology,3244,4546,4965,518,560,786
IV-B (MIMAROPA),Occidental Mindoro National College,6744,7196,8567,862,1038,1103
IV-B (MIMAROPA),Palawan State University,15045,14677,17019,2177,2093,2109
IV-B (MIMAROPA),Romblon State University,4900,6017,7213,780,1028,1206
IV-B (MIMAROPA),Western Philippines University (formerly SPCP),7359,7624,7109,781,826,946
V (Bicol Region),Bicol University,21048,22376,22195,4878,4999,5997
V (Bicol Region),Camarines Norte State College,5969,7497,7030,652,940,909
V (Bicol Region),Camarines Sur Polytechnic College,5797,5907,6747,1673,2376,2514
V (Bicol Region),Central Bicol State University of Agriculture,7245,8951,8659,825,770,1005
V (Bicol Region),Catanduanes State College,6242,6557,7406,1022,1075,1285
V (Bicol Region),Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,2105,2502,3073,238,229,320
