region,suc,number_of_faculty,number_of_students,faculty_student_ratio
CAR (Cordillera Administrative Region),Benguet State University,295,8455,1 is to 29
CAR (Cordillera Administrative Region),Ifugao State University,256,7258,1 is to 28
CAR (Cordillera Administrative Region),Kalinga Apayao State College,208,4405,1 is to 21
CAR (Cordillera Administrative Region),Mountain Province State Polytechnic College,214,4748,1 is to 22
ARMM (Autonomous Region of Muslim Mindanao),Adiong Memorial Polytechnic College,10,1606,1 is to 161
ARMM (Autonomous Region of Muslim Mindanao),Basilan State College,190,3923,1 is to 21
ARMM (Autonomous Region of Muslim Mindanao),Mindanao State University - Main,1502,35042,1 is to 23
ARMM (Autonomous Region of Muslim Mindanao),MSU - Tawi-Tawi College of Technology and Oceanography,126,2061,1 is to 16
ARMM (Autonomous Region of Muslim Mindanao),Sulu State College,172,5229,1 is to 30
ARMM (Autonomous Region of Muslim Mindanao),Tawi-Tawi Regional Agricultural College,ND,5589,ND
XIII (Caraga Region),Agusan del Sur State College of Agriculture and Technology,57,2134,1 is to 37
XIII (Caraga Region),Caraga State University,255,5540,1 is to 22
XIII (Caraga Region),Surigao del Sur State University,333,8876,1 is to 27
XIII (Caraga Region),Surigao State College of Technology,240,7750,1 is to 32
IV-B (MIMAROPA),Marinduque State College,168,5315,1 is to 32
IV-B (MIMAROPA),Mindoro State College of Agriculture and Technology,197,4965,1 is to 25
IV-B (MIMAROPA),Occidental Mindoro State College,283,8567,1 is to 30
IV-B (MIMAROPA),Palawan State University,763,17019,1 is to 22
IV-B (MIMAROPA),Romblon State University,345,7213,1 is to 21
IV-B (MIMAROPA),Western Philippines University,300,7109,1 is to 24
Grand Total,Grand Total,43435,1234125,1 is to 28
