region,suc_main,bacc,ms_ma,phd,total
CAR (Cordillera Administrative Region),Kalinga Apayao State College,113,53,42,208
CAR (Cordillera Administrative Region),Mountain Province State Polytechnic College,92,96,26,214
ARMM (Autonomous Region of Muslim Mindanao),Adiong Memorial Polytechnic College,ND,9,1,10
ARMM (Autonomous Region of Muslim Mindanao),Basilan State College,160,22,8,190
ARMM (Autonomous Region of Muslim Mindanao),Mindanao State University - Main,662,652,188,1502
ARMM (Autonomous Region of Muslim Mindanao),MSU - Tawi-Tawi College of Technology and Oceanography,61,54,11,126
ARMM (Autonomous Region of Muslim Mindanao),Sulu State College,nd,147,25,172
ARMM (Autonomous Region of Muslim Mindanao),Tawi-Tawi Regional Agricultural College,nd,nd,nd,nd
XIII (Caraga Region),Agusan del Sur State College of Agriculture and Technology,30,19,8,57
XIII (Caraga Region),Caraga State University,120,98,37,255
XIII (Caraga Region),Surigao del Sur State University,118,169,46,333
XIII (Caraga Region),Surigao State College of Technology,87,126,27,240
IV-B (MIMAROPA),Marinduque State College,76,67,25,168
IV-B (MIMAROPA),Mindoro State College of Agriculture and Technology,93,73,31,197
IV-B (MIMAROPA),Occidental Mindoro State College,156,108,19,283
IV-B (MIMAROPA),Palawan State University,571,151,41,763
IV-B (MIMAROPA),Romblon State University,269,58,18,345
IV-B (MIMAROPA),Western Philippines University,186,85,29,300
Grand Total,Grand Total,20216,16611,6608,43435
