month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,35.6,1/21/1967,13.5,1/4/1986,38.8,1/13/1929,20,N,1/19/2000,1022.8,1/18/1959,997.9,1/30/1990
February,35.3,2/20/1912,14,2/10/1986,36.7,2/16/1983,19,NNE,2/10/1988,1022.6,2/1/1962,1004.6,2/28/1972
March,36.9,3/25/2000,16,3/2/1911,82.5,3/31/1960,20,N,3/9/1998,1022.8,3/30/1958,1004.9,3/29/1994
April,38.8,4/28/1994,19.5,4/1/2005,139.6,4/13/1992,26,NNW,4/8/1967,1019.8,4/5/1998,998.4,4/8/1967
May,38.2,5/5/1951,19.6,5/22/1984,237.7,5/9/1913,25,S,5/21/1996,1016.2,5/7/1959,989.4,5/23/1976
June,38.2,6/2/1987,16.8,6/22/1984,382.2,6/4/1974,36,SSE,6/15/1971,1016.2,6/6/1966,986.5,6/26/1993
July,35.4,7/4/1921,17.8,7/3/1984,594.1,7/18/1920,60,SSW,7/9/1986,1016.4,7/16/1965,976,7/13/1965
August,36.9,8/13/1987,17,8/30/1984,529.6,8/30/1968,34,SSE,8/14/1971,1015.7,8/12/1958,977.5,8/7/1964
September,35.1,9/24/1938,19,9/2/1986,393.3,9/3/1913,44,SSW,9/28/1968,1018.5,9/20/1987,986.4,9/23/1955
October,39.3,10/17/1951,17.2,10/21/1994,263.9,10/4/2009,42,W,10/24/1987,1017.8,10/30/1961,963,10/10/1971
November,36.7,11/3/1921,15.4,11/20/1984,295.7,11/24/1938,20,N,11/1/1993,1020.2,11/24/1957,984.8,12/17/1953
December,35.5,12/9/2003,14.5,12/9/1986,99,12/16/1970,20,NNW,12/10/1967,1021.5,12/7/1960,992,12/12/1949
Annual,39.3,10/17/1951,13.5,1/4/1986,594.1,7/18/1920,60,SSW,7/9/1986,1022.8,1/18/1959,963,10/10/1971
Period of Record,1903 - 2012,1903 - 2012,1903 - 2012,1903 - 2012,1903 - 2012,1903 - 2012,1965 - 2012,1965 - 2012,1965 - 2012,1949 - 2012,1949 - 2012,1949 - 2012,1949 - 2012
