month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,33.5,1/3/1988,19.8,1/21/1997,126.6,1/8/1999,30,NE,1/24/1975,1019.8,1/29/1998,995.3,1/24/1975
February,34.8,2/16/1983,20,2/16/2004,107.2,2/8/2012,22,E,2/18/1988,1019.8,2/1/1998,1003.8,2/18/2001
March,33.9,3/3/2004,19.4,3/1/2002,141.3,3/26/1982,25,SW,3/26/1982,1018.9,3/23/1998,996,3/26/1982
April,35.6,4/15/1992,22.1,4/1/2003,174,4/4/1994,30,SW,4/4/1994,1018.1,4/5/1998,998.1,4/4/1994
May,37,5/31/2010,22,5/27/2007,106,5/27/2000,20,W,5/17/1987,1015.4,5/2/1998,1000.2,5/21/1976
June,37.6,6/12/1993,22.5,6/13/1975,87.8,6/9/1984,18,SW,6/25/1992,1016.5,6/7/1997,1000.5,6/29/2004
July,35.3,7/20/1973,20.8,7/5/1990,135,7/8/2012,20,SE,7/17/1998,1015.9,7/11/1979,997.9,7/3/2001
August,35.6,8/27/1998,20.8,8/19/1981,96.6,8/17/1982,25,SW,8/15/1986,1015.7,8/11/1997,1001.5,8/1/1986
September,35.2,9/23/1987,21.5,9/18/1972,127,9/26/1989,48,NE,9/2/1984,1015.8,9/28/1997,983.4,9/2/1984
October,34.4,10/22/1987,21.6,10/24/1986,166.1,10/28/1995,25,SW,10/28/1995,1016.8,10/5/1987,996.8,10/28/1995
November,33.8,11/1/1993,20.4,11/22/1998,276.1,11/12/1990,55,S,11/12/1990,1017.4,11/8/1997,971.1,11/12/1990
December,34,12/1/2006,20,12/28/1996,185.4,12/5/2001,42,S,12/26/1993,1018.3,12/12/2002,995.1,12/26/1993
Annual,37.6,6/12/1993,19.4,3/1/2002,276.1,11/12/1990,55,S,11/12/1990,1019.8,1/29/1998,971.1,11/12/1990
Period of Record,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012,1972 - 2012
