month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,37.5,1/24/88,17.1,1/24/65,105.9,1/17/66,20,S,1/9/82,1017,1/16/59,1000.2,1/28/88
February,38,2/18/92,17.2,2/4/58,96.5,2/22/00,16,NNE,2/3/75,1016.8,2/16/53,999.7,2/15/88
March,38.9,3/28/91,16.9,3/9/63,55.6,3/15/49,18,SW,3/22/83,1017.7,3/30/58,1001.3,3/29/88
April,39,4/15/88,18.3,4/11/63,109,4/17/04,19,S,4/19/71,1016.8,4/1/66,1000.5,4/11/85
May,38.5,5/5/98,18.7,5/14/51,115.2,5/10/10,16,NNE,5/19/07,1017.3,5/9/57,1001.6,5/13/90
June,37,6/6/91,17.9,6/10/61,142,6/22/83,17,S,6/24/72,1016,6/2/66,1001.4,6/11/86
July,36.1,7/7/73,17.2,7/9/85,76,7/22/83,17,SSE,7/24/72,1017.3,7/2/65,1002.2,7/26/92
August,36.1,8/2/73,17.5,8/16/85,126,8/28/59,18,NW,8/23/00,1015.8,8/23/65,1002,8/12/86
September,37,9/23/92,18,9/5/85,189.5,9/8/77,18,SSE,9/14/72,1016,9/15/63,1001.8,9/26/88
October,37,10/16/80,18.2,10/8/61,101,10/18/70,17,S,10/12/72,1016,10/8/59,1001,10/12/70
November,37,11/1/94,18.3,11/28/51,102.1,11/9/62,25,SE,11/6/07,1018.2,11/16/65,1000.5,11/6/96
December,37.5,12/4/87,18,12/30/50,62.2,12/14/64,15,NE,12/5/97,1017.1,12/2/66,1000.9,12/8/84
Annual,39,4/15/88,16.9,3/9/63,189.5,9/8/77,20,S,1/9/82,1018.2,11/16/65,999.7,2/15/88
Period of Record,1949 - 2012,1949 - 2012,1949 - 2012,1949 - 2012,1949-2012,1949-2012,1966 - 2012,1966 - 2012,1966 - 2012,1949 - 2012,1949 - 2012,1949 - 2012,1949 - 2012
