month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,33.7,1/9/72,19.3,1/22/65,156.4,1/23/96,22,ENE,1/8/96,1018.6,1/30/98,1001,1/11/11
February,34.2,2/17/83,19.8,2/8/14,162.5,2/11/71,24,NE,2/10/82,1018.4,2/1/98,1002.9,2/8/11
March,34.2,3/10/75,19.6,3/20/97,92.2,3/5/67,19,NE,3/4/82,1018.8,3/5/05,1001,3/5/99
April,36.8,4/16/92,18.9,4/5/63,202,4/16/85,17,NE,4/25/74,1017.1,4/1/66,1002.7,4/19/03
May,36.2,5/22/98,20.7,5/6/07,96.6,5/26/07,17,NW,5/26/97,1015.7,5/10/57,1001,5/6/89
June,37.4,6/6/67,20.7,6/29/17,84.3,6/18/04,22,S,6/26/97,1015.4,6/8/97,1001.2,6/3/12
July,36.6,7/23/72,19.8,7/4/10,101.4,7/23/57,18,SW,7/8/86,1014.3,7/23/65,1000.8,7/3/01
August,36.7,8/16/75,20.5,8/24/81,157,8/1/26,22,SW,8/5/99,1015,8/11/97,1000.7,8/30/52
September,37,9/4/68,18,9/2/84,102.9,9/11/19,19,SSW,9/29/77,1015.1,9/27/63,1001.9,9/11/96
October,36.1,10/4/75,20.8,10/6/54,138.2,10/29/33,21,SSW,10/10/78,1015.7,10/5/87,999.2,10/24/88
November,34.7,11/23/67,20.4,11/29/07,208.3,11/9/38,25,W,11/12/90,1017,11/17/65,991.3,11/28/55
December,34.2,12/16/70,19.8,12/25/54,158.2,12/4/49,20,NE,12/3/01,1017.8,12/12/02,998.5,12/10/51
Annual,37.4,6/6/67,18,9/2/84,208.3,11/9/38,25,W,11/12/90,1018.8,3/5/05,991.3,11/28/55
Period of Record,1910 - 2012,1910 - 2012,1910 - 2012,1910 - 2012,1911 - 2012,1911 - 2012,1966 - 2012,1966 - 2012,1966 - 2012,1949 - 2012,1949 - 2012,1949 - 2012,1949 - 2012
