month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_mm_amount,greatest_daily_rainfall_mm_date,highest_wind_spd,highest_wind_dir,highest_wind_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,34.9,1/3/58,16,1/9/85,118.1,1/1/60,20,ENE,1/29/89,1022.1,1/30/98,1004.1,1/5/99
February,37.2,2/28/85,16.1,2/3/76,45.4,2/7/00,24,NE,2/6/82,1022.2,2/1/62,1003.7,2/8/85
March,38,3/30/84,16.2,3/3/63,69.4,3/25/01,22,ENE,3/10/89,1021.3,3/30/58,1002.9,3/27/01
April,38.3,4/5/87,17.5,4/5/63,57,4/23/96,18,SE,4/25/89,1019.4,4/4/98,1001.5,4/6/94
May,38.8,5/15/21,20,5/21/74,499.2,5/21/76,41,SW,5/17/89,1015.8,5/2/98,987.3,5/17/89
June,38,6/14/83,20.6,6/18/76,301.5,6/27/61,40,SW,6/23/84,1016.2,6/7/97,987.4,6/29/64
July,36.8,7/15/99,20,7/1/01,218.5,7/13/10,75,W,7/15/83,1015.9,7/22/59,972.1,7/4/01
August,36.7,8/23/69,20.5,8/11/96,283.6,8/24/90,40,NNE,8/12/87,1015.3,8/23/99,995.2,8/12/87
September,35.7,9/14/84,19.5,9/4/91,270.8,9/5/62,54,SSW,9/9/82,1015.7,9/5/53,987.7,9/9/82
October,37.3,10/11/75,17,10/28/01,183.2,10/28/00,70,S,10/11/89,1017.3,10/28/60,977.4,10/10/89
November,36.5,11/2/56,13.4,11/26/01,277.2,11/3/95,45,NE,11/25/87,1020,11/27/01,978.6,11/3/95
December,35.3,12/25/62,14,12/29/01,151.9,12/9/71,54,NE,12/30/50,1024.2,12/27/01,996.2,12/5/93
Annual,38.8,5/15/21,13.4,11/26/01,499.2,5/21/76,75,W,7/15/83,1024.2,12/27/01,972.1,7/4/01
Period of Record,1919-2012,1919-2012,1919-2012,1919-2012,1949-2012,1949-2012,1950-2012,1950-2012,1950-2012,1949-2012,1949-2012,1949-2012,1949-2012
