month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,35.5,1/2/08,18.4,1/2/05,149.1,1/8/72,23,SW,1/8/72,1021.3,1/18/59,1001.5,1/9/72
February,35.1,2/24/13,17,2/8/16,108.2,2/18/01,19,NE,2/9/71,1021.1,2/1/62,1003.1,2/18/01
March,35.8,3/28/12,19.7,3/22/13,133.1,3/23/75,17,N,3/1/96,1020.9,3/7/05,1002,3/6/99
April,37.5,4/29/12,20.1,4/18/80,290.6,4/16/79,51,N,4/20/78,1018.7,4/6/70,990.3,4/20/79
May,38.2,5/21/15,15.6,5/17/66,304,5/4/39,33,ESE,5/17/66,1015.7,5/9/57,985.8,5/6/51
June,38.2,6/2/15,20.6,6/22/72,337.3,6/30/22,41,WNW,6/25/71,1016.1,6/10/63,993.1,6/6/89
July,37.7,7/5/12,21.1,7/13/07,242.8,7/10/22,62,S,7/3/71,1016.1,7/28/92,992.2,7/20/74
August,35.7,8/22/17,21.2,8/31/63,226.7,8/12/87,35,W,8/6/69,1014.7,8/23/62,991.7,8/12/87
September,35.8,9/6/16,21,9/2/80,238,9/8/82,34,W,9/7/69,1016.1,9/24/67,990.9,9/26/78
October,35.3,10/16/15,20.4,10/26/13,245.4,10/21/52,33,WNW,10/13/70,1017.4,10/28/60,980.2,10/24/12
November,35.2,11/12/15,20.3,11/26/12,385.8,11/17/23,45,SSW,11/7/88,1019,11/16/65,982.1,11/7/88
December,34.1,12/16/15,18.5,12/2/04,279.7,12/21/52,39,N,12/27/66,1019.7,12/8/60,962.4,12/16/87
Annual,38.2,5/21/15,15.6,5/17/66,385.8,11/17/23,62,S,7/3/71,1021.3,1/18/59,962.4,12/16/87
Period of Record,1904 - 2012,1904 - 2012,1904 - 2012,1904 - 2012,1904 - 2012,1904 - 2012,1966 - 2012,1966 - 2012,1966 - 2012,1949 - 2012,1949 - 2012,1949 - 2012,1949 - 2012
