month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,32.9,1/16/91,19,1/22/79,210,1/1/11,27,E,1/27/11,1019.1,1/29/98,1002,1/27/89
February,33.8,2/17/83,20,2/26/91,261.9,2/13/08,30,NE,2/1/93,1019.3,2/27/83,1000,2/15/81
March,34.3,3/31/83,18,3/13/91,206,3/18/11,25,ENE,3/17/99,1019.3,3/2/83,995.8,3/16/05
April,36.1,4/18/98,19.7,4/24/91,119.9,4/15/79,37,NE,4/15/79,1017.5,4/5/98,991.1,4/15/79
May,37.6,5/30/81,20.7,5/6/07,123.6,5/21/05,33,W,5/11/06,1015.8,5/16/84,996.8,5/16/04
June,37,6/5/97,20.3,6/23/76,156.2,6/19/08,42,SW,6/20/08,1018.3,6/11/89,996.2,6/27/88
July,35.4,7/21/11,18.5,7/2/79,292.8,7/29/03,26,SW,7/22/99,1014.9,7/11/79,996.9,7/3/01
August,35,8/30/90,20.6,8/9/91,183.9,8/12/08,24,SW,8/11/87,1016.6,8/5/87,1000.6,8/17/90
September,35.8,9/1/09,20,9/28/91,108.2,9/30/73,26,NE,9/1/84,1015.9,9/28/82,998.8,9/29/95
October,34.5,10/19/79,20,10/23/91,229.1,10/23/88,28,WSW,10/20/98,1016.6,10/5/87,986.8,10/23/88
November,36,11/26/81,20,11/25/84,211.4,11/13/07,60,W,11/4/84,1016.2,11/17/82,893.9,11/30/00
December,33,12/22/98,20,12/12/75,213.4,12/25/05,48,w,12/9/06,1018.1,12/13/02,968.3,12/21/94
Annual,37.6,5/30/81,18,3/13/91,292.8,7/29/03,60,W,11/4/84,1019.3,3/2/83,893.9,11/30/00
Period of Record,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012,1973 - 2012
