city_or_municipality,position,name,nikname,party_affiliation,votes_obtained
Akbar,Mayor,"Delwasen, Paul Alingog",Cabasag,-,4564
Akbar,Mayor,"Sali, Alih Awal",Alex,-,2199
Akbar,Vice-Mayor,"Mangkabung, Hadji Darwish Amlun",Jimmy,-,1738
Akbar,Vice-Mayor,"Dangoy, Leonardo Daodaoen",Boy,-,4979
Akbar,Councilor - 1St District,"Valera, Gaspar Rabanal",Pal,-,7464
Akbar,Councilor - 1St District,"Baruiz, Ricardo Valencia",Carding,Lakas-Christian Muslim Democrats,4763
Akbar,Councilor - 1St District,"Unang, Nuruddin Musa",Bagets,Kabalikat ng Malayang Pilipino,1327
Akbar,Councilor - 1St District,"Hortelano, Jose Wanason",Joe,-,3335
Akbar,Councilor - 1St District,"Baguec, Norma Collado",Nor,-,3209
Akbar,Councilor - 1St District,"Duriguez, Romeo Viado",Ruming,-,2925
Akbar,Councilor - 1St District,"Abawag, Nicholas Balonggay",Nick,-,2891
Akbar,Councilor - 1St District,"Leguiab, Benjamin Jr. Guayen",Jun,-,3220
Akbar,Councilor - 1St District,"Fawas, Ralph Jr. Kittong",Liswid,-,2590
Akbar,Councilor - 1St District,"Alano, Jauhara Muhadjarun",Uddi,Liberal Party,1456
Akbar,Councilor - 1St District,"Alam, Sali Hakim",Intong,Kabalikat ng Malayang Pilipino,1767
Akbar,Councilor - 1St District,"Hakimin, Bassam Atalun",Hasanin,Liberal Party,1798
Akbar,Councilor - 1St District,"Labor, Richard Pusta",Dick,United Opposition,4554
Akbar,Councilor - 1St District,"Dela Cruz, Noli Tizon",Nol,Lakas-Christian Muslim Democrats,4393
Akbar,Councilor - 1St District,"Angon, Efren Villas",Fren,Lakas-Christian Muslim Democrats,4093
Akbar,Councilor - 1St District,"Dionela, Cesar Arsenio",Cesar,United Opposition,3997
Akbar,Councilor - 1St District,"Ambaru, Yasir Hasan",Bryan,Liberal Party,2017
Akbar,Councilor - 1St District,"Birung, Mohammad Abdulla",Mhadz,Liberal Party,1994
Akbar,Councilor - 1St District,"Muslimin, Nurie Eloh",Salman,Liberal Party,1903
Akbar,Councilor - 1St District,"Daligdig, Leoncio Kelang",Guiawan,-,2687
Akbar,Councilor - 1St District,"Antih, Gamal Hirayat",Gams,Liberal Party,1843
Akbar,Councilor - 1St District,"Moyaen, Reynaldo Amdengan",Rey,-,2751
Akbar,Councilor - 1St District,"Morilla, Edgardo Armamento",Gardo,Lakas-Christian Muslim Democrats,5302
Al-Barka,Mayor,"Jakilan, Karam Salam",Aram,Liberal Party,3664
Al-Barka,Vice-Mayor,"Kabukisan, Mohammad Saladuddin",Idol,Lakas-Christian Muslim Democrats,2769
Al-Barka,Councilor,"Tamma, Abdulhamid Maranie",Hj. Hamid,Liberal Party,2965
Al-Barka,Councilor,"Lasal, Absar Modjol",Salamat,Lakas-Christian Muslim Democrats,2234
Al-Barka,Councilor,"Abdasal, Abdulkahar H.",Kaharut,Lakas-Christian Muslim Democrats,2273
Al-Barka,Councilor,"Muallamin, Jam Alnuddin",Silu,Liberal Party,2322
Al-Barka,Councilor,"Nisal, Alim Aramil",Kahuh,Liberal Party,2384
Al-Barka,Councilor,"Indal, Adznan Tanjilani",Anninuh,Liberal Party,2391
Al-Barka,Councilor,"Yusoph, Bhenzar Jallaha",Ben,Liberal Party,2399
Al-Barka,Councilor,"Arawi, Jamih Ahung",Jamil,Lakas-Christian Muslim Democrats,3283
Hadji Mohammad Ajul,Mayor,"Pawaki, Talib Garingan",Tals,Liberal Party,6044
Hadji Mohammad Ajul,Vice-Mayor,"Sali, Faisal Alian",Fai,Liberal Party,4430
Hadji Mohammad Ajul,Councilor,"Saluwan, Abdulsuhud Parajan",Bigboy,Liberal Party,6615
Hadji Mohammad Ajul,Councilor,"Sali, Habier Alian",Beng,Liberal Party,4475
Hadji Mohammad Ajul,Councilor,"Camlian, Basit Jolilul",King,Liberal Party,4625
Hadji Mohammad Ajul,Councilor,"Adam, Alih Asag",Alih,Liberal Party,4748
Hadji Mohammad Ajul,Councilor,"Saupi, Bassam Aluh",Kuya,Liberal Party,5317
Hadji Mohammad Ajul,Councilor,"Undaring, Majid Aman",Madz,Liberal Party,5749
Hadji Mohammad Ajul,Councilor,"Sali, Samir Anjalin",Hadj,Liberal Party,5807
Hadji Mohammad Ajul,Councilor,"Alano, Muruwa Pawaki",Lady Ariane,Liberal Party,7538
Lamitan City,Mayor,"Furigay, Roderick Herrera",Oric,Laban ng Demokratikong Pilipino,19633
Lamitan City,Vice-Mayor,"Arleigh, Wee Eisma",Arley,Liberal Party,16056
Lamitan City,Councilor,"Said, Jubaira Sali",Bhing,Kabalikat ng Malayang Pilipino,8329
Lamitan City,Councilor,"Dalawis, Ajid Omar",Jing,Lakas-Christian Muslim Democrats,8624
Lamitan City,Councilor,"Ortega, Jaime Cuento",Jimmy,Lakas-Christian Muslim Democrats,9317
Lamitan City,Councilor,"Ramos, Donel Miranda",Don,Lakas-Christian Muslim Democrats,10445
Lamitan City,Councilor,"Mateo, Roy M.",Roy,Lakas-Christian Muslim Democrats,10928
Lamitan City,Councilor,"Flores, Jessica Eisma",Jeng,Liberal Party,11018
Lamitan City,Councilor,"Ramos, Tito Quijano",Toh,Independent,12746
Lamitan City,Councilor,"Puri, Joaquin Jr. Perez",Boy,Lakas-Christian Muslim Democrats,8153
Lantawan,Mayor,"Ismael, Tahira Salajin",Sumping,Liberal Party,7079
Lantawan,Vice-Mayor,"Akbar, Haramain Jaujohn",Maih,Liberal Party,5155
Lantawan,Councilor,"Jainuddin, Baser Usman",Bash,Independent,4331
Lantawan,Councilor,"Ampang, Said Barahim",Kap,Liberal Party,3985
Lantawan,Councilor,"Sulaiman, Adnalien Said",Lyn,Independent,4012
Lantawan,Councilor,"Hatibbon, Hji Kasim Lepai",Sheem,Liberal Party,4108
Lantawan,Councilor,"Ajijon, Abdulhamid Upao",Mid,Liberal Party,4162
Lantawan,Councilor,"Jainal, Sahi Ladjatua",Madah,Independent,4249
