city_municipality,position ,name,nickname,party_affiliation,votes_obtained
Baganga,Mayor,"Nazareno, Remigio Garcia",Reming,Nacionalista Party,15030
Baganga,Vice-Mayor,"Monday, Arturo Castillo",Turok,Nacionalista Party,11156
Baganga,Councilor,"Morales, Isagani, Sr. Aguilon",Ganing,Nacionalista Party,7756
Baganga,Councilor,"Manguiob, Leo Lowell Ferrando",Boyet,Liberal Party,8405
Baganga,Councilor,"Monday, Jo-Ann Pudpud",Joan,Nacionalista Party,8637
Baganga,Councilor,"Jualo, Edito Salde Dela",Dhit,Nacionalista Party,9514
Baganga,Councilor,"Mara, Adela Salomon",Del,Nacionalista Party,9658
Baganga,Councilor,"Manguiob, Fernando Laurente",Andot,Nacionalista Party,9745
Baganga,Councilor,"Licong, Calixto Jr. Cubero",Jon Jon,Nacionalista Party,9928
Baganga,Councilor,"Baja, Anthony Dela Salde",Tony,Nacionalista Party,9998
Banaybanay,Mayor,"Mejos, Pedro Tubio",Pete,Lakas-Kampi,6030
Banaybanay,Vice-Mayor,"Patricio, Glicerio, Jr. Ulanolan",JP,Nacionalista Party,9246
Banaybanay,Councilor,"Bagaoisan, Concordio Dumbrigue",Bagao,Lakas-Kampi,6416
Banaybanay,Councilor,"Mamukid, Casilongan Kibo",Hadji,Lakas-Kampi,6756
Banaybanay,Councilor,"Caminero, Vicente Baquiran",Entingbarako,Nacionalista Party,7205
Banaybanay,Councilor,"Garcia, Marcenio Ceniza",Mars,Nacionalista Party,8356
Banaybanay,Councilor,"Geollegue, Eva Tuvilla",Eva,Nacionalista Party,8617
Banaybanay,Councilor,"Alingalan, Flores Matoza",Flong,Lakas-Kampi,8965
Banaybanay,Councilor,"Teves, Liezel Salabao",Cel,Lakas-Kampi,9451
Banaybanay,Councilor,"Larcia, Lemuel Ian Mejos",Ian,Nacionalista Party,9547
Boston,Mayor,"Rosit, Rebecco, Sr. Butulan",Rebing,Independent,3615
Boston,Vice-Mayor,"De Jesus, Allen Sarino",Len,Independent,3159
