city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Gagaquit,Councilor,"Parba, Lita Patusa",Bebing,Liberal Party,4487
Gagaquit,Councilor,"Fugnit, David Jr. Parba",Dondon,Nationalista Party,4476
Gagaquit,Councilor,"Natad, Alex Curada",Lex,Liberal Party,4371
Gagaquit,Councilor,"Adlao, Jaime Agad",Bosjim,Independent,4222
Gagaquit,Councilor,"Egay, Alvin Arcena",Alvin,Liberal Party,4120
Mainit,Mayor,"Mondano, Ramon Beltran",Mon,Liberal Party,8237
Mainit,Vice-Mayor,"Mondano, Crisanta Olvis",Nene,Liberal Party,7602
Mainit,Councilor,"Behagan, Al Rodin Crisologo",Nonong,Liberal Party,6808
Mainit,Councilor,"Salino, Roxie Sy",Roxy,Independent,6727
Mainit,Councilor,"Recabo, Cayetano Lareza",Tano,Liberal Party,6385
Mainit,Councilor,"Garrido, Felipe Elsisura",Eping,Independent,6142
Mainit,Councilor,"Mozar, Lynda Banzon",Lyn,Liberal Party,6043
Mainit,Councilor,"Canang Ca-An, Edgar Sayson",Edgar,Liberal Party,5813
Mainit,Councilor,"Gatpolintan, Rogelio Mordeno",Roger,Nationalista Party,5771
Mainit,Councilor,"Mantilla, Erlinda Behagan",Deday,Liberal Party,5501
Malimono,Mayor,"Sinaca, Teodoro Jr. Fortich",Jun,Liberal Party,6880
Malimono,Vice-Mayor,"Caga, Rainero Gaviola",Ricky,Liberal Party,4584
Malimono,Councilor,"Macarine, Marilyn Pati",Marilyn,Nationalista Party,6186
Malimono,Councilor,"Orias, Aristedes Macarine",Teding,Independent,5628
Malimono,Councilor,"Geraldino, Dante Franca",Dan,Liberal Party,5542
Malimono,Councilor,"Ferol, Eulogio Iii Sinaca",Opaw,Liberal Party,5005
Malimono,Councilor,"Estrella, Abdon Jr. Betonio",Lad,Liberal Party,4758
Malimono,Councilor,"Apac, Hope Dagdag",Dondon,Liberal Party,4690
Malimono,Councilor,"Quinto, Gerardo Sr. Vergara",Obaw,Liberal Party,4474
Malimono,Councilor,"Fuentes, Macario Jr. Senados",Alad,Independent,4127
Pilar,Mayor,"Gonzales, Lucio Tiu",Lucio,Liberal Party,3860
Pilar,Vice-Mayor,"Resurreccion, Loreto Jr. Gerona",Sonnyboy,Liberal Party,3745
Pilar,Councilor,"Solloso, Pilar Gaspay",Pilar,Liberal Party,3867
Pilar,Councilor,"Gonzales, Jonas Paul Laplana",Pol Pugak,Liberal Party,3326
Pilar,Councilor,"Enhaynes, Jose Rosias Minguita",Sias,Liberal Party,3264
Pilar,Councilor,"Salvaloza, Edito Espa",Eddie,Liberal Party,3202
Pilar,Councilor,"Porpayas, Teofredo Escosura",Fred,Independent,3095
Pilar,Councilor,"Tesiorna, Lorna Cabrera",Lorna,Liberal Party,3023
Pilar,Councilor,"Escuyos, Lyndon Omega",Dondon,Independent,2872
Pilar,Councilor,"Brina, Cresenciana A",Esing,Independent,2847
Placer,Mayor,"Napuli, Felimon Villanueva",Monching,Liberal Party,5933
Placer,Vice-Mayor,"Rodriquez, Azucena Gasta",Diding,Liberal Party,7181
Placer,Councilor,"Pati, Cheenie Riciadelle Baje",Cheenie,Independent,9211
Placer,Councilor,"Agcol, Jon Felipe Sendiong",Jon,Liberal Party,8848
Placer,Councilor,"Adlao, Philip Moneda",Phil,Liberal Party,8339
Placer,Councilor,"Febrero, Manuel Eliot",Maning,Liberal Party,7129
Placer,Councilor,"Rivera, Roberto Pati",Robie,Liberal Party,7080
Placer,Councilor,"Seeto, Reynaldo Rosales",Boy Seeto,Liberal Party,7068
Placer,Councilor,"Villejo, Donald Sr. Pati",Dodong,Liberal Party,6550
Placer,Councilor,"Lerio, Roberto Jr. Sunico",Kadong,Independent,6479
San Benito,Mayor,"Dedumo, Rushford Pingal",Ford,Liberal Party,1885
San Benito,Vice-Mayor,"Roculas, Remelita Balacuit",Nening,Liberal Party,1678
San Benito,Councilor,"Estoque, Noel Cariaga",Noel,Liberal Party,1800
San Benito,Councilor,"Billones, Isabelo Jr. Condesa",Jun,Nationalista Party,1789
San Benito,Councilor,"Brubo, Orlando Parnes",Dodong,Liberal Party,1787
San Benito,Councilor,"Poculan, Elmer Quizon",Mer,Liberal Party,1732
San Benito,Councilor,"Toldo, Helen Gonzales",Len,Liberal Party,1646
San Benito,Councilor,"Bagot, Samuel Espanto",Sammy,Liberal Party,1637
San Benito,Councilor,"Pobe, Ludy Sr. Gorgolon",Lud,Liberal Party,1574
San Benito,Councilor,"Comandante, Marie Jane Suan",Dabing,Nationalista Party,1543
San Francisco Anao-aon,Mayor,"Bacol, Simplicia Pareja",Bebie,Liberal Party,5574
San Francisco Anao-aon,Vice-Mayor,"Plaza, Edgar Nimez",Gar,Liberal Party,5601
San Francisco Anao-aon,Councilor,"Ba, Florefel Capul",Loloy,Liberal Party,5314
San Francisco Anao-aon,Councilor,"Bacol, Roderick Pareja",Rod,Liberal Party,5138
San Francisco Anao-aon,Councilor,"Gastardo, Miguel Escobido",Mike,Nationalista Party,5046
San Francisco Anao-aon,Councilor,"Pinat, Val Palado",Val,Liberal Party,4911
San Francisco Anao-aon,Councilor,"Gesta, Peter Yongco",Pendong,Liberal Party,4903
San Francisco Anao-aon,Councilor,"Sepria, Pablo Doncila",Pabling,Liberal Party,4767
San Francisco Anao-aon,Councilor,"Orillo, Mansueto Ligad",Cito,Liberal Party,3475
San Francisco Anao-aon,Councilor,"Japzon, Ramon Cuartero",Monching,Liberal Party,3042
San Isidro,Mayor,"Dominos, Lalaine Espadero",Lyn,Liberal Party,2990
San Isidro,Vice-Mayor,"Domi, Lamberto Jr. Espadero",Balong,Liberal Party,2943
San Isidro,Councilor,"Dulpina, Robert Malaza",Dodong,Liberal Party,3021
San Isidro,Councilor,"Galigao, Rodrigo Doligol",Rudy,Liberal Party,2958
San Isidro,Councilor,"Dulpina, Samuel Malaza",Sag,Liberal Party,2844
San Isidro,Councilor,"Perucho, Arche Murillo",Loloy,Liberal Party,2786
