position,name,nickname,party_affiliation,votes_obtained
Regional Governor,"Hataman, Mujiv Sabbihi",Mujiv,Liberal Party,446227
Regional Vice-governor,"Lucman, Haroun Alrashid Jr. Alonto",Momoy,Liberal Party,472417
