year,name,nominated_by,total_number_of_votes_garnered
2005,"Sahali, Rejie M.",Lakas-Christian Muslim Democrats,60317
2005,"Matba, Romel Y.",Independent,68531
2005,"Matolo, Shameera S.",Liberal Party,36671
2008,"Sahali, Rejie Maquiso",Lakas-Christian Muslim Democrats,82734
2008,"Omar, Mustapha Joe",Independent,68531
2008,"Ahaja, Nur-Mahadil Kingking",Independent,59793
