name,nominated_by,total_number_of_votes_garnered
"Datumanong, Umbrah Ampatuan",Lakas-Christian Muslim Demcorats,185457
"Mangudadatu, Khadafeh Gaguil",Lakas-Christian Muslim Demcorats,181054
"Mentang, Pike Terando",Lakas-Christian Muslim Demcorats,172164
