name,nominated_by,total_number_of_votes_garnered
"Sinsuat, Roonie Quesada",Lakas-Christian Muslim Democrats,137479
"Ibay, Cahar Pendat",Kabalikat ng Malayang Pilipino,121219
"Tomawis, Abdulradzak Dagalangit",Kabalikat ng Malayang Pilipino,116614
