particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
          Office on Muslim Affairs,"138,438",0,0,0,0,"4,008",0,"1,343",0,"16,620",913,0,846,0,883,0,0,"10,514","15,915",0,0,"38,826",0,"228,306"
          Optical Media Board,"7,664",0,312,0,0,34,0,600,0,924,58,0,53,0,53,0,0,603,"1,244",0,0,"2,702",0,"14,247"
          Palawan Council for Sustainable Development Staff,"13,933",0,"3,977",0,0,856,0,0,0,"1,674",101,0,132,0,86,0,25,"1,343","1,573",0,0,"7,636",0,"31,336"
          Philippine Drug Enforcement Agency,"28,434",0,0,0,0,0,0,0,0,"3,327",212,0,344,0,0,0,0,844,"3,939",0,0,"4,355",0,"41,455"
          Philippine Racing Commission,"12,042",0,0,0,0,0,0,0,0,"1,331",82,0,51,0,25,0,0,667,"1,316",0,0,"3,336",0,"18,850"
          Philippine Sports Commission,"19,411",0,0,0,0,327,0,0,0,"2,354",151,0,234,0,134,0,0,"1,281","2,360",0,0,"5,731",0,"31,983"
          Presidential Commission on Good Government,"22,182",0,"8,124",0,0,0,0,0,0,"2,287",133,0,122,0,124,0,0,"2,989","2,257",0,0,"3,297",0,"41,515"
          Presidential Commission for the Urban Poor,"25,192",0,"1,256",0,0,0,0,0,0,"2,931",171,0,288,0,163,0,0,936,"2,914",0,0,"5,213",0,"39,064"
          Presidential Legislative Liaison Office,"5,594",0,0,0,0,132,0,0,0,676,31,0,68,0,29,0,266,902,623,0,0,"1,170",0,"9,491"
          Presidential Management Staff,"56,502",0,"2,943",0,0,183,0,0,0,"7,021",358,0,562,0,332,0,"5,000","6,042","6,341",0,0,"17,213",0,"102,497"
          Professional Regulation Commission,"57,478",0,383,0,0,814,0,"3,508",0,"6,815",500,0,420,0,380,0,85,"48,853","7,018",0,0,"18,516",0,"144,770"
          Securities and Exchange Commission,"117,332",0,0,0,0,380,0,13,0,"13,175",474,0,296,0,183,0,697,"3,637","12,417",0,0,"7,445",0,"156,049"
,,,,,,,,,,,,,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,"3,615,114",0,"104,543",0,0,"60,715",0,0,0,"113,579","32,248",0,"29,947",0,"31,312",0,0,"45,685","478,563",0,0,"1,023,313",0,"5,535,019"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Autonomous Regional Government in Muslim Mindanao,"3,615,114",0,"104,543",0,0,"60,715",0,0,0,"113,579","32,248",0,"29,947",0,"31,312",0,0,"45,685","478,563",0,0,"1,023,313",0,"5,535,019"
,,,,,,,,,,,,,,,,,,,,,,,,
     Joint Legislative-Executive Councils,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Legislative-Executive Development Advisory Council,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485
,,,,,,,,,,,,,,,,,,,,,,,,
