particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"75,081,907",0,"835,330",0,0,"326,805",0,"195,422",17,"8,954,486","527,453",0,"551,017",0,"419,787",0,"64,546","63,298","7,934,545",44,0,"21,533,094",0,"116,487,751"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"75,068,201",0,"834,917",0,0,"325,900",0,"195,422",0,"8,952,969","527,365",0,"550,872",0,"419,734",0,"64,546","62,064","7,933,104",44,0,"21,530,567",0,"116,465,705"
          National Book Development Board,"7,116",0,0,0,0,0,0,0,0,773,42,0,70,0,38,0,0,781,724,0,0,"1,008",0,"10,552"
          National Council for Children's Television,54,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,28,17,0,0,11,0,118
          Philippine High School for the Arts,"6,536",0,413,0,0,905,0,0,17,738,46,0,74,0,14,0,0,425,700,0,0,"1,508",0,"11,376"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"9,403,099",0,"507,279","2,188",0,"165,381",0,"20,004",85,"1,165,039","71,120",0,"82,686",0,"57,762",0,"20,901","807,656","1,323,019","2,057",0,"2,526,601",0,"16,154,877"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          National Capital Region,"2,892,997",0,"244,731",0,0,"66,184",0,524,0,"375,170","21,631",0,"24,928",0,"16,304",0,"11,700","580,023","551,306",0,0,"757,132",0,"5,542,630"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"54,790",0,"1,021",0,0,"2,028",0,0,0,"5,814",341,0,361,0,336,0,0,"1,968","5,668",0,0,"8,399",0,"80,726"
               Marikina Polytechnic College,"25,416",0,972,0,0,0,0,0,0,"2,780",188,0,120,0,122,0,0,484,"2,683",0,0,"7,201",0,"39,966"
               Philippine Normal University,"107,793",0,"2,960",0,0,0,0,0,0,"12,433",718,0,451,0,218,0,0,"56,512","11,958",0,0,"18,058",0,"211,101"
               Philippine State College of Aeronautics,"26,961",0,243,0,0,0,0,0,0,"3,228",223,0,203,0,208,0,0,"1,517","3,167",0,0,"5,575",0,"41,325"
               Polytechnic University of the Philippines,"283,621",0,"24,508",0,0,"2,760",0,0,0,"33,956","2,078",0,"1,908",0,"1,951",0,0,"74,167","33,350",0,0,"68,929",0,"527,228"
               Rizal Technological University,"70,888",0,"12,252",0,0,145,0,524,0,"8,606",506,0,868,0,485,0,50,"5,953","8,366",0,0,"16,611",0,"125,254"
               Technological University of the Philippines,"129,860",0,"11,238",0,0,"1,200",0,0,0,"16,016",937,0,987,0,934,0,"11,650","25,792","16,222",0,0,"44,690",0,"259,526"
               University of the Philippines System,"2,193,668",0,"191,537",0,0,"60,051",0,0,0,"292,337","16,640",0,"20,030",0,"12,050",0,0,"413,630","469,892",0,0,"587,669",0,"4,257,504"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"567,272",0,"36,571",0,0,"6,454",0,"1,510",0,"67,227","4,012",0,"5,743",0,"3,782",0,17,"18,112","66,681",0,0,"146,537",0,"923,918"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"192,312",0,"4,289",0,0,"1,219",0,0,0,"21,375","1,297",0,"2,093",0,"1,269",0,0,"4,279","20,851",0,0,"48,633",0,"297,617"
               Ilocos Sur Polytechnic State College,"44,651",0,984,0,0,"1,119",0,0,0,"5,317",359,0,526,0,329,0,0,694,"5,170",0,0,"13,791",0,"72,940"
               Mariano Marcos State University,"132,197",0,"18,916",0,0,509,0,0,0,"15,667",865,0,"1,371",0,805,0,0,"8,775","16,611",0,0,"32,081",0,"227,797"
               Pangasinan State University,"96,624",0,"10,194",0,0,"1,566",0,0,0,"12,792",792,0,"1,110",0,718,0,17,"2,235","12,318",0,0,"30,184",0,"168,550"
               University of Northern Philippines,"101,488",0,"2,188",0,0,"2,041",0,"1,510",0,"12,076",699,0,643,0,661,0,0,"2,129","11,731",0,0,"21,848",0,"157,014"
,,,,,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,"267,871",0,"8,644",0,0,"2,843",0,0,0,"31,895","1,935",0,"1,949",0,"1,679",0,175,"16,583","32,637",0,0,"59,431",0,"425,642"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"33,474",0,"3,087",0,0,0,0,0,0,"4,164",218,0,354,0,221,0,170,"4,422","3,994",0,0,"7,031",0,"57,135"
               Apayao State College,"16,551",0,"1,734",0,0,0,0,0,0,"1,877",117,0,189,0,113,0,0,407,"1,980",0,0,"3,708",0,"26,676"
               Benguet State University,"115,339",0,"1,669",0,0,829,0,0,0,"13,920",865,0,794,0,800,0,0,"6,169","14,612",0,0,"26,405",0,"181,402"
               Ifugao State College of Agriculture and Forestry,"40,311",0,"1,789",0,0,"1,857",0,0,0,"4,864",305,0,276,0,278,0,0,"4,029","4,495",0,0,"9,235",0,"67,439"
               Kalinga-Apayao State College,"29,603",0,365,0,0,0,0,0,0,"3,472",221,0,158,0,67,0,0,"1,312","3,500",0,0,"6,596",0,"45,294"
               Mountain Province State Polytechnic College,"32,593",0,0,0,0,157,0,0,0,"3,598",209,0,178,0,200,0,5,244,"4,056",0,0,"6,456",0,"47,696"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"416,620",0,"15,395",0,0,"14,826",0,"1,605",0,"49,872","3,632",0,"2,822",0,"2,424",0,9,"18,800","47,219",0,0,"98,382",0,"671,606"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"5,932",0,0,0,0,0,0,0,0,658,44,0,62,0,42,0,0,464,613,0,0,"1,527",0,"9,342"
               Cagayan State University,"122,517",0,"9,389",0,0,"3,074",0,630,0,"14,633",895,0,712,0,710,0,0,"9,931","14,452",0,0,"31,295",0,"208,238"
               Isabela State University,"185,343",0,"4,180",0,0,"8,053",0,0,0,"22,149","1,947",0,"1,392",0,983,0,0,"5,115","19,960",0,0,"39,752",0,"288,874"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"88,152",0,"1,826",0,0,"3,512",0,975,0,"10,673",630,0,482,0,582,0,0,"2,644","10,468",0,0,"22,232",0,"142,176"
               Quirino State College,"14,676",0,0,0,0,187,0,0,0,"1,759",116,0,174,0,107,0,9,646,"1,726",0,0,"3,576",0,"22,976"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"638,437",0,"10,922",0,0,"15,815",0,"6,707",0,"76,240","4,710",0,"5,386",0,"4,192",0,0,"14,003","74,663","2,057",0,"155,624",0,"1,008,756"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,"13,764",0,731,0,0,0,0,0,0,"1,542",109,0,149,0,96,0,0,"1,689","1,482",0,0,"2,584",0,"22,146"
               Bataan Peninsula State University,"59,993",0,"2,060",0,0,0,0,0,0,"7,186",513,0,466,0,479,0,0,635,"7,112",0,0,"12,795",0,"91,239"
               Bulacan Agricultural State College,"18,585",0,127,0,0,41,0,0,0,"2,254",154,0,158,0,142,0,0,159,"2,314",0,0,"5,705",0,"29,639"
               Bulacan State University,"72,678",0,0,0,0,"2,335",0,0,0,"8,763",541,0,873,0,512,0,0,288,"8,674",0,0,"21,836",0,"116,500"
               Central Luzon State University,"129,692",0,804,0,0,"6,737",0,"6,015",0,"15,403",993,0,887,0,878,0,0,"1,294","14,314",0,0,"30,674",0,"207,691"
               Don Honorio Ventura College of Arts and Trades,"43,439",0,"3,055",0,0,26,0,0,0,"5,394",301,0,279,0,289,0,0,819,"4,812",0,0,"9,805",0,"68,219"
               Nueva Ecija University of Science and Technology,"83,328",0,658,0,0,940,0,692,0,"9,917",535,0,845,0,516,0,0,"1,426","9,702",0,0,"17,516",0,"126,075"
               Pampanga Agricultural College,"45,123",0,"1,322",0,0,"3,274",0,0,0,"5,014",333,0,191,0,278,0,0,"2,171","6,642","2,057",0,"8,954",0,"75,359"
               Philippine Merchant Marine Academy,"28,543",0,800,0,0,30,0,0,0,"3,554",231,0,173,0,197,0,0,"2,002","2,997",0,0,"7,442",0,"45,969"
               Ramon Magsaysay Technological University,"41,810",0,"1,365",0,0,"1,777",0,0,0,"5,183",306,0,485,0,189,0,0,"1,604","4,873",0,0,"9,998",0,"67,590"
               Tarlac College of Agriculture,"43,628",0,0,0,0,404,0,0,0,"5,260",314,0,532,0,293,0,0,"1,240","5,214",0,0,"14,314",0,"71,199"
               Tarlac State University,"57,854",0,0,0,0,251,0,0,0,"6,770",380,0,348,0,323,0,0,676,"6,527",0,0,"14,001",0,"87,130"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"376,582",0,"8,243",0,0,"5,209",0,0,0,"44,352","2,786",0,"4,375",0,"2,707",0,644,"16,288","45,527",0,0,"104,418",0,"611,131"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"74,644",0,"1,561",0,0,141,0,0,0,"8,889",509,0,874,0,473,0,483,"4,310","9,899",0,0,"18,874",0,"120,657"
               Cavite State University,"77,434",0,"2,960",0,0,"1,262",0,0,0,"8,606",524,0,816,0,504,0,0,"6,313","9,364",0,0,"19,606",0,"127,389"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"65,544",0,"1,245",0,0,"2,652",0,0,0,"7,797",526,0,771,0,506,0,0,"2,778","8,020",0,0,"20,377",0,"110,216"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"54,012",0,795,0,0,"1,154",0,0,0,"6,652",412,0,666,0,409,0,161,596,"6,480",0,0,"20,024",0,"91,361"
               University of Rizal System,"104,948",0,"1,682",0,0,0,0,0,0,"12,408",815,0,"1,248",0,815,0,0,"2,291","11,764",0,0,"25,537",0,"161,508"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"244,867",0,"9,164",0,0,"1,182",0,"1,894",0,"29,827","1,921",0,"2,741",0,"1,758",0,323,"3,705","30,049",0,0,"98,081",0,"425,512"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"25,952",0,422,0,0,22,0,0,0,"3,080",183,0,246,0,154,0,0,519,"2,852",0,0,"5,980",0,"39,410"
               Mindoro State College of Agriculture and Technology,"33,854",0,0,0,0,249,0,0,0,"3,918",247,0,273,0,235,0,0,470,"4,752",0,0,"9,584",0,"53,582"
               Occidental Mindoro National College,"40,445",0,"4,134",0,0,36,0,0,0,"4,935",326,0,491,0,326,0,0,352,"5,051",0,0,"12,756",0,"68,852"
               Palawan State University,"54,816",0,836,0,0,431,0,"1,894",0,"7,135",456,0,722,0,424,0,0,974,"6,652",0,0,"41,563",0,"115,903"
               Romblon State College,"47,884",0,"1,081",0,0,288,0,0,0,"5,748",376,0,502,0,309,0,0,910,"5,621",0,0,"14,492",0,"77,211"
               Western Philippines University,"41,916",0,"2,691",0,0,156,0,0,0,"5,011",333,0,507,0,310,0,323,480,"5,121",0,0,"13,706",0,"70,554"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"459,432",0,"16,838",0,0,"4,927",0,"1,613",0,"56,947","3,496",0,"4,301",0,"2,378",0,45,"21,613","55,267",0,0,"172,449",0,"799,306"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"144,324",0,"3,111",0,0,"2,550",0,"1,613",0,"18,115","1,053",0,"1,566",0,889,0,0,"10,735","17,614",0,0,"62,612",0,"264,182"
               Camarines Norte State College,"53,323",0,997,0,0,0,0,0,0,"6,611",440,0,423,0,443,0,0,677,"6,619",0,0,"13,243",0,"82,776"
               Camarines Sur Polytechnic Colleges,"34,144",0,902,0,0,0,0,0,0,"4,064",250,0,372,0,86,0,0,"1,087","3,873",0,0,"12,282",0,"57,060"
               Camarines Sur State Agricultural College,"62,765",0,"7,160",0,0,"1,344",0,0,0,"7,492",475,0,755,0,222,0,0,"1,367","7,286",0,0,"25,575",0,"114,441"
               Catanduanes State Colleges,"68,299",0,"1,865",0,0,395,0,0,0,"8,675",504,0,399,0,338,0,0,"5,410","8,033",0,0,"25,670",0,"119,588"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"15,023",0,317,0,0,0,0,0,0,"1,927",134,0,83,0,40,0,45,616,"1,931",0,0,"5,389",0,"25,505"
               Partido State University,"40,550",0,"1,459",0,0,119,0,0,0,"4,883",329,0,206,0,99,0,0,"1,138","4,889",0,0,"14,342",0,"68,014"
               Sorsogon State College,"41,004",0,"1,027",0,0,519,0,0,0,"5,180",311,0,497,0,261,0,0,583,"5,022",0,0,"13,336",0,"67,740"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"677,143",0,"19,672",0,0,"6,428",0,"1,108",0,"81,122","5,357",0,"6,292",0,"4,502",0,939,"13,494","80,847",0,0,"192,319",0,"1,089,223"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"66,193",0,"4,233",0,0,"1,382",0,0,0,"6,842",504,0,919,0,461,0,0,856,"8,104",0,0,"13,420",0,"102,914"
               Capiz State University,"103,297",0,"2,286",0,0,"2,256",0,0,0,"12,486",769,0,702,0,726,0,0,"1,567","12,327",0,0,"27,110",0,"163,526"
               Carlos C. Hilado Memorial State College,"50,428",0,"1,044",0,0,75,0,0,0,"6,299",356,0,383,0,351,0,250,448,"6,087",0,0,"14,507",0,"80,228"
               Guimaras State College,"12,483",0,362,0,0,0,0,0,0,"1,495",98,0,90,0,93,0,0,250,"1,489",0,0,"2,982",0,"19,342"
               Iloilo State College of Fisheries,"57,504",0,"2,795",0,0,161,0,0,0,"6,887",440,0,594,0,500,0,274,289,"6,885",0,0,"18,592",0,"94,921"
               Negros State College of Agriculture,"16,121",0,380,0,0,455,0,456,0,"1,930",130,0,119,0,121,0,0,228,"1,988",0,0,"4,900",0,"26,828"
               Northern Iloilo Polytechnic State College,"82,642",0,"1,758",0,0,854,0,0,0,"10,167",633,0,916,0,528,0,0,"1,554","9,262",0,0,"20,886",0,"129,200"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"10,875",0,475,0,0,0,0,0,0,"1,332",84,0,78,0,81,0,0,387,"1,314",0,0,"2,743",0,"17,369"
               Polytechnic State College of Antique,"39,367",0,"1,225",0,0,91,0,652,0,"4,731",313,0,366,0,295,0,0,960,"4,754",0,0,"14,724",0,"67,478"
               Western Visayas College of Science and Technology,"85,416",0,"2,621",0,0,0,0,0,0,"10,182",643,0,604,0,646,0,0,"1,563","10,300",0,0,"19,547",0,"131,522"
               West Visayas State University,"152,817",0,"2,493",0,0,"1,154",0,0,0,"18,771","1,387",0,"1,521",0,700,0,415,"5,392","18,337",0,0,"52,908",0,"255,895"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"252,358",0,"2,167",0,0,"2,838",0,0,0,"35,944","2,027",0,"2,840",0,"1,677",0,0,"13,895","30,368",0,0,"90,328",0,"434,442"
