particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"152,107,319","42,206,920","4,567,585","6,835,669","602,681","72,535","14,498","86,687","18,631,356","1,089,462","1,078,256","340,310","1,001,109","319,146","1,041,618","330,358","3,300,475","17,044,532","523,461",0,"33,397,979","42,716,051","327,308,007"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"1,657,034",0,"239,881",0,"602,681","72,535","14,498",360,"198,847",0,"7,821",0,"7,326",0,"7,719",0,"36,580","170,669",0,0,"195,480",0,"3,211,431"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"521,769",0,"21,479",0,"319,197","15,221","5,347",0,"62,613",0,"2,591",0,"2,423",0,"2,521",0,"15,994","54,276",0,0,"64,770",0,"1,088,201"
               Senate Electoral Tribunal,"38,851",0,315,0,0,500,0,360,"4,663",0,204,0,192,0,201,0,"2,170","4,088",0,0,"5,100",0,"56,644"
          Commission on Appointments,"73,226",0,"2,959",0,0,"3,481","3,644",0,"8,788",0,346,0,324,0,344,0,"5,242","7,543",0,0,"8,640",0,"114,537"
          House of Representatives,"981,148",0,"215,128",0,"283,484","53,333","3,685",0,"117,738",0,"4,448",0,"4,169",0,"4,424",0,"11,115","100,293",0,0,"111,180",0,"1,890,145"
               House Electoral Tribunal,"42,040",0,0,0,0,0,"1,822",0,"5,045",0,232,0,218,0,229,0,"2,059","4,469",0,0,"5,790",0,"61,904"
,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"209,364",0,"302,637",0,0,0,0,0,"25,128",0,"1,374",0,"1,283",0,"1,310",0,"13,541","23,156",331,0,"73,407",0,"651,531"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"209,364",0,"302,637",0,0,0,0,0,"25,128",0,"1,374",0,"1,283",0,"1,310",0,"13,541","23,156",331,0,"73,407",0,"651,531"
,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"19,277",0,"7,175",0,0,0,0,0,"2,314",0,103,0,95,0,99,0,"1,385","2,032",0,0,"2,600",0,"35,080"
