particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
                     of Science and Technology,                     of Science and Technology,55482,10186,3033,0,0,0,4485,0,0,50997,10186,3033,0,0,0,0,0,0,0
               Surigao del Sur Polytechnic State College,               Surigao del Sur Polytechnic State College,84999,9262,3033,0,0,0,6939,0,0,78060,9262,3033,0,0,0,0,0,0,0
               Surigao State College of Technology,               Surigao State College of Technology,69787,7505,3033,0,0,0,5598,0,0,64189,7505,3033,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Energy,     Department of Energy,185202,4517364,34252,0,0,0,16644,4163481,33986,168558,353883,266,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,185202,4517364,34252,0,0,0,16644,4163481,33986,168558,353883,266,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Environment and Natural Resources,     Department of Environment and Natural Resources,5182270,3812574,3483523,0,0,0,403851,16086,31500,4778419,3776488,3452023,0,20000,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,3996705,2545949,3060497,0,0,0,312332,12586,0,3684373,2533363,3060497,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Environmental Management Bureau,          Environmental Management Bureau,204798,230132,178931,0,0,0,16441,3500,31500,188357,226632,147431,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Mines and Geo-Sciences Bureau,          Mines and Geo-Sciences Bureau,369050,215808,68581,0,0,0,31362,0,0,337688,195808,68581,0,20000,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Commission on Indigenous Peoples,          National Commission on Indigenous Peoples,367689,217006,5745,0,0,0,29925,0,0,337764,217006,5745,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Mapping and Resource,          National Mapping and Resource,,,,,,,,,,,,,,,,,,,
                Information Authority,                Information Authority,220501,581067,169769,0,0,0,11844,0,0,208657,581067,169769,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Palawan Council for Sustainable,          Palawan Council for Sustainable,,,,,,,,,,,,,,,,,,,
                Development Staff,                Development Staff,23527,22612,0,0,0,0,1947,0,0,21580,22612,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Finance,     Department of Finance,5920297,7597282,326373,0,0,0,405863,802022,56018,5514434,6795260,270355,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,138460,218887,87020,0,0,0,10851,0,0,127609,218887,87020,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Customs,          Bureau of Customs,1078050,3859938,0,0,0,0,87062,260000,0,990988,3599938,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Internal Revenue,          Bureau of Internal Revenue,4019033,2974118,108174,0,0,0,253121,500000,0,3765912,2474118,108174,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Local Government Finance,          Bureau of Local Government Finance,97675,74938,10400,0,0,0,8203,0,0,89472,74938,10400,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of the Treasury,          Bureau of the Treasury,283889,343525,53771,0,0,0,23708,0,0,260181,343525,53771,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Central Board of Assessment Appeals,          Central Board of Assessment Appeals,7687,1069,0,0,0,0,606,0,0,7081,1069,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Cooperative Development Authority,          Cooperative Development Authority,184350,63490,10790,0,0,0,15409,0,0,168941,63490,10790,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Fiscal Incentives Review Board,          Fiscal Incentives Review Board,0,123,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Insurance Commission,          Insurance Commission,58106,42022,56018,0,0,0,4908,42022,56018,53198,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Tax Research Center,          National Tax Research Center,24396,11299,200,0,0,0,1995,0,0,22401,11299,200,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Privatization and Management Office,          Privatization and Management Office,28651,7873,0,0,0,0,0,0,0,28651,7873,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Foreign Affairs,     Department of Foreign Affairs,5133176,6070370,835343,0,0,0,49854,0,0,5083322,6070370,835343,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,5104396,6042146,834843,0,0,0,47850,0,0,5056546,6042146,834843,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Foreign Service Institute,          Foreign Service Institute,23393,12034,500,0,0,0,1659,0,0,21734,12034,500,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Technical Cooperation Council of the Philippines,          Technical Cooperation Council of the Philippines,960,4350,0,0,0,0,50,0,0,910,4350,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          UNESCO National Commission of the Philippines,          UNESCO National Commission of the Philippines,4427,11840,0,0,0,0,295,0,0,4132,11840,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Health,     Department of Health,7348171,14337604,6117875,0,0,0,567024,28180,0,6781147,14309424,6117875,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,7225530,10244885,6114110,0,0,0,557490,28180,0,6668040,10216705,6114110,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Commission on Population,          Commission on Population,87785,311814,3189,0,0,0,6805,0,0,80980,311814,3189,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Nutrition Council,          National Nutrition Council,34856,3780905,576,0,0,0,2729,0,0,32127,3780905,576,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of the Interior and Local Government,     Department of the Interior and Local Government,50473034,7999333,3463700,0,0,0,271682,0,0,50201352,7999333,3463700,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,1670269,278525,30400,0,0,0,139267,0,0,1531002,278525,30400,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Fire Protection,          Bureau of Fire Protection,4686624,800101,1105048,0,0,0,8819,0,0,4677805,800101,1105048,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Jail Management and Penology,          Bureau of Jail Management and Penology,2215722,1745102,201620,0,0,0,1746,0,0,2213976,1745102,201620,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Local Government Academy,          Local Government Academy,14052,70370,800,0,0,0,1155,0,0,12897,70370,800,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Police Commission,          National Police Commission,947695,137591,15496,0,0,0,25316,0,0,922379,137591,15496,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine National Police,          Philippine National Police,40463741,4579498,2100336,0,0,0,88082,0,0,40375659,4579498,2100336,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Public Safety College,          Philippine Public Safety College,474931,388146,10000,0,0,0,7297,0,0,467634,388146,10000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Justice,     Department of Justice,4839358,2060859,325963,0,0,0,486526,176518,32000,4352832,1884341,293963,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,1859760,250467,160507,0,0,0,259449,0,0,1600311,250467,160507,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Corrections,          Bureau of Corrections,445714,916935,10280,0,0,0,33005,0,0,412709,916935,10280,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Immigration,          Bureau of Immigration,223363,127447,0,0,0,0,17526,0,0,205837,127447,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Commission on the Settlement of Land Problems,          Commission on the Settlement of Land Problems,20518,1688,0,0,0,0,1464,0,0,19054,1688,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Land Registration Authority,          Land Registration Authority,499101,176299,32000,0,0,0,38867,176299,32000,460234,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Bureau of Investigation,          National Bureau of Investigation,478708,306783,87800,0,0,0,36975,0,0,441733,306783,87800,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Office of the Government Corporate Counsel,          Office of the Government Corporate Counsel,48892,10289,200,0,0,0,2761,0,0,46131,10289,200,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Office of the Solicitor General,          Office of the Solicitor General,159464,94723,25000,0,0,0,12818,219,0,146646,94504,25000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Parole and Probation Administration,          Parole and Probation Administration,354202,62524,0,0,0,0,29238,0,0,324964,62524,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Presidential Commission on Good Government,          Presidential Commission on Good Government,43163,48401,176,0,0,0,2804,0,0,40359,48401,176,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Public Attorney's Office,          Public Attorney's Office,706473,65303,10000,0,0,0,51619,0,0,654854,65303,10000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Labor and Employment,     Department of Labor and Employment,2791252,3579744,491619,0,0,0,205297,0,0,2585955,3491892,475619,0,87852,16000,0,0,0,1
          Office of the Secretary,          Office of the Secretary,728084,1137164,72900,0,0,0,45571,0,0,682513,1049312,56900,0,87852,16000,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Institute for Labor Studies,          Institute for Labor Studies,13913,6800,5800,0,0,0,1121,0,0,12792,6800,5800,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Conciliation and Mediation Board,          National Conciliation and Mediation Board,62126,54637,3900,0,0,0,5180,0,0,56946,54637,3900,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Labor Relations Commission,          National Labor Relations Commission,331567,108344,21152,0,0,0,25593,0,0,305974,108344,21152,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Maritime Polytechnic,          National Maritime Polytechnic,33730,32443,38050,0,0,0,2691,0,0,31039,32443,38050,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Wages and Productivity Commission,          National Wages and Productivity Commission,75587,42807,15665,0,0,0,4470,0,0,71117,42807,15665,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Overseas Employment Administration,          Philippine Overseas Employment Administration,155602,124329,15615,0,0,0,12831,0,0,142771,124329,15615,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Professional Regulation Commission,          Professional Regulation Commission,150385,203463,89561,0,0,0,7905,0,0,142480,203463,89561,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Technical Education and Skills,          Technical Education and Skills,,,,,,,,,,,,,,,,,,,
                Development Authority,                Development Authority,1240258,1869757,228976,0,0,0,99935,0,0,1140323,1869757,228976,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of National Defense,     Department of National Defense,41333148,15162621,45340,0,0,0,164981,0,0,41168167,15162621,45340,0,0,0,0,0,0,1
          DND Proper (Office of the Secretary),          DND Proper (Office of the Secretary),88275,443895,0,0,0,0,5722,0,0,82553,443895,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Government Arsenal,          Government Arsenal,163488,207545,1640,0,0,0,11076,0,0,152412,207545,1640,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Defense College of the Philippines,          National Defense College of the Philippines,26676,26682,0,0,0,0,1725,0,0,24951,26682,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Office of Civil Defense,          Office of Civil Defense,68820,26081,0,0,0,0,5413,0,0,63407,26081,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Veterans Affairs Office,          Philippine Veterans Affairs Office,484971,553211,43700,0,0,0,30692,0,0,454279,553211,43700,0,0,0,0,0,0,1
               Philippine Veterans Affairs Office (Proper),               Philippine Veterans Affairs Office (Proper),89965,222515,0,0,0,0,5746,0,0,84219,222515,0,0,0,0,0,0,0,0
               Military Shrines Service,               Military Shrines Service,12462,11839,2700,0,0,0,968,0,0,11494,11839,2700,0,0,0,0,0,0,0
               Veterans Memorial Medical Center,               Veterans Memorial Medical Center,382544,318857,41000,0,0,0,23978,0,0,358566,318857,41000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Armed Forces of the Philippines,          Armed Forces of the Philippines,40500918,13905207,0,0,0,0,110353,0,0,40390565,13905207,0,0,0,0,0,0,0,1
               Philippine Army (Land Forces),               Philippine Army (Land Forces),25553342,4320892,0,0,0,0,20232,0,0,25533110,4320892,0,0,0,0,0,0,0,0
               Philippine Air Force (Air Forces),               Philippine Air Force (Air Forces),5510353,3466001,0,0,0,0,28147,0,0,5482206,3466001,0,0,0,0,0,0,0,0
               Philippine Navy (Maritime Forces),               Philippine Navy (Maritime Forces),6996573,3414887,0,0,0,0,18698,0,0,6977875,3414887,0,0,0,0,0,0,0,0
               General Headquarters (Proper),               General Headquarters (Proper),2440650,2703427,0,0,0,0,43276,0,0,2397374,2703427,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Public Works and Highways,     Department of Public Works and Highways,3937280,16278017,99773117,0,0,0,328761,7294979,0,3608519,8983038,99773117,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,3937280,16278017,99773117,0,0,0,328761,7294979,0,3608519,8983038,99773117,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Science and Technology,     Department of Science and Technology,1351089,3084239,1005600,0,0,0,98798,0,0,1252291,3084239,1005600,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,220615,1652367,180841,0,0,0,13895,0,0,206720,1652367,180841,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Advanced Science and Technology Institute,          Advanced Science and Technology Institute,16534,15896,0,0,0,0,850,0,0,15684,15896,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Food and Nutrition Research Institute,          Food and Nutrition Research Institute,51783,34176,12300,0,0,0,4175,0,0,47608,34176,12300,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Forest Products Research and Development Institute,          Forest Products Research and Development Institute,60508,18307,6500,0,0,0,4972,0,0,55536,18307,6500,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Industrial Technology Development Institute,          Industrial Technology Development Institute,118865,37042,4400,0,0,0,9065,0,0,109800,37042,4400,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Metals Industry Research and Development Center,          Metals Industry Research and Development Center,70616,27022,1050,0,0,0,4907,0,0,65709,27022,1050,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Academy of Science and Technology,          National Academy of Science and Technology,4850,28752,1000,0,0,0,291,0,0,4559,28752,1000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Research Council of the Philippines,          National Research Council of the Philippines,15363,16171,0,0,0,0,958,0,0,14405,16171,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
"          Philippine Atmospheric, Geophysical and","          Philippine Atmospheric, Geophysical and",,,,,,,,,,,,,,,,,,,
                Astronomical Services Administration,                Astronomical Services Administration,261450,168531,337500,0,0,0,20595,0,0,240855,168531,337500,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Council for Advanced Science,          Philippine Council for Advanced Science,,,,,,,,,,,,,,,,,,,
                and Technology Research and Development,                and Technology Research and Development,13201,73140,300,0,0,0,757,0,0,12444,73140,300,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
"          Philippine Council for Agriculture,","          Philippine Council for Agriculture,",,,,,,,,,,,,,,,,,,,
                Forestry and Natural Resources,                Forestry and Natural Resources,,,,,,,,,,,,,,,,,,,
                Research and Development,                Research and Development,60797,205099,7100,0,0,0,4931,0,0,55866,205099,7100,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Council for Aquatic and,          Philippine Council for Aquatic and,,,,,,,,,,,,,,,,,,,
                Marine Research and Development,                Marine Research and Development,15952,19552,5000,0,0,0,1120,0,0,14832,19552,5000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Council for Health Research,          Philippine Council for Health Research,,,,,,,,,,,,,,,,,,,
                and Development,                and Development,17356,38033,0,0,0,0,1293,0,0,16063,38033,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Council for Industry and,          Philippine Council for Industry and,,,,,,,,,,,,,,,,,,,
                Energy Research and Development,                Energy Research and Development,15680,28139,0,0,0,0,1112,0,0,14568,28139,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Institute of Volcanology and Seismology,          Philippine Institute of Volcanology and Seismology,57891,45431,65225,0,0,0,4416,0,0,53475,45431,65225,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Nuclear Research Institute,          Philippine Nuclear Research Institute,76536,32927,17787,0,0,0,5357,0,0,71179,32927,17787,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Science High School,          Philippine Science High School,170418,180568,352597,0,0,0,13069,0,0,157349,180568,352597,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Textile Research Institute,          Philippine Textile Research Institute,39309,13619,2000,0,0,0,2790,0,0,36519,13619,2000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Science Education Institute,          Science Education Institute,17079,401266,0,0,0,0,1039,0,0,16040,401266,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Science and Technology Information Institute,          Science and Technology Information Institute,22016,17554,2000,0,0,0,1721,0,0,20295,17554,2000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Technology Application and Promotion Institute,          Technology Application and Promotion Institute,24270,30647,10000,0,0,0,1485,0,0,22785,30647,10000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Social Welfare and Development,     Department of Social Welfare and Development,692755,8969959,842659,0,0,0,53873,0,0,638882,8969959,842659,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,678084,8940070,841659,0,0,0,52687,0,0,625397,8940070,841659,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Council for the Welfare of Children,          Council for the Welfare of Children,9810,11357,0,0,0,0,778,0,0,9032,11357,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Inter-Country Adoption Board,          Inter-Country Adoption Board,4861,18532,1000,0,0,0,408,0,0,4453,18532,1000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Tourism,     Department of Tourism,367943,1331445,39535,0,0,0,22874,0,0,345069,1331445,39535,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,246896,1265353,11035,0,0,0,13328,0,0,233568,1265353,11035,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Intramuros Administration,          Intramuros Administration,17631,16758,8500,0,0,0,1406,0,0,16225,16758,8500,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Parks Development Committee,          National Parks Development Committee,103416,49334,20000,0,0,0,8140,0,0,95276,49334,20000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Trade and Industry,     Department of Trade and Industry,938359,1434259,396403,0,0,0,68044,4715,0,870315,1429544,396403,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,780539,1235372,362854,0,0,0,55297,4715,0,725242,1230657,362854,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Board of Investments,          Board of Investments,87746,122999,26564,0,0,0,7044,0,0,80702,122999,26564,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Construction Industry Authority of the Philippines,          Construction Industry Authority of the Philippines,22739,16818,1971,0,0,0,1824,0,0,20915,16818,1971,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Construction Manpower Development Foundation,          Construction Manpower Development Foundation,11117,10810,140,0,0,0,886,0,0,10231,10810,140,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Trade Training Center,          Philippine Trade Training Center,16380,16992,3358,0,0,0,1344,0,0,15036,16992,3358,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Product Development and Design Center of,          Product Development and Design Center of,,,,,,,,,,,,,,,,,,,
                the Philippines,                the Philippines,19838,31268,1516,0,0,0,1649,0,0,18189,31268,1516,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Transportation and Communications,     Department of Transportation and Communications,4623078,5484216,13453488,0,0,0,368329,401926,361640,4254749,5082290,13091848,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,4173208,5157294,13347099,0,0,0,210570,324323,311640,3962638,4832971,13035459,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Civil Aeronautics Board,          Civil Aeronautics Board,23599,14764,3500,0,0,0,1756,0,0,21843,14764,3500,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Maritime Industry Authority,          Maritime Industry Authority,132003,152291,37589,0,0,0,10933,0,0,121070,152291,37589,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Telecommunications Commission,          National Telecommunications Commission,130289,59971,15000,0,0,0,10482,0,0,119807,59971,15000,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Office of Transportation Cooperatives,          Office of Transportation Cooperatives,10220,3429,300,0,0,0,814,0,0,9406,3429,300,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Office for Transportation Security,          Office for Transportation Security,145364,92501,50000,0,0,0,133140,77603,50000,12224,14898,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Toll Regulatory Board,          Toll Regulatory Board,8395,3966,0,0,0,0,634,0,0,7761,3966,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     National Economic and Development Authority,     National Economic and Development Authority,1101499,1131238,106098,0,0,0,81855,0,0,1019644,1129471,106098,0,1767,0,0,0,0,1
          Office of the Director-General,          Office of the Director-General,371656,257251,83028,0,0,0,29496,0,0,342160,257251,83028,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Statistical Coordination Board,          National Statistical Coordination Board,52762,34214,0,0,0,0,3548,0,0,49214,34214,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Statistics Office,          National Statistics Office,632294,806893,2720,0,0,0,45170,0,0,587124,806893,2720,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine National Volunteer Service,          Philippine National Volunteer Service,,,,,,,,,,,,,,,,,,,
                Coordinating Agency,                Coordinating Agency,6937,4948,0,0,0,0,552,0,0,6385,4948,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Statistical Research and Training Center,          Statistical Research and Training Center,7347,6418,20000,0,0,0,566,0,0,6781,4651,20000,0,1767,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Tariff Commission,          Tariff Commission,30503,21514,350,0,0,0,2523,0,0,27980,21514,350,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Office of the Press Secretary,     Office of the Press Secretary,557693,378139,24290,0,0,0,45876,0,0,511817,378139,24290,0,0,0,0,0,0,1
          Office of the Press Secretary (Proper),          Office of the Press Secretary (Proper),22201,82858,1450,0,0,0,1576,0,0,20625,82858,1450,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Broadcast Services,          Bureau of Broadcast Services,167285,103341,12050,0,0,0,14218,0,0,153067,103341,12050,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Communications Services,          Bureau of Communications Services,16792,13016,2225,0,0,0,1396,0,0,15396,13016,2225,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Printing Office,          National Printing Office,115923,16172,120,0,0,0,9441,0,0,106482,16172,120,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          News and Information Bureau,          News and Information Bureau,61250,31918,1160,0,0,0,5184,0,0,56066,31918,1160,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Philippine Information Agency,          Philippine Information Agency,142984,87753,3200,0,0,0,11449,0,0,131535,87753,3200,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Presidential Broadcast Staff (RTVM),          Presidential Broadcast Staff (RTVM),31258,43081,4085,0,0,0,2612,0,0,28646,43081,4085,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Other Executive Offices,     Other Executive Offices,2108859,3324508,284213,0,0,0,162213,1292722,78517,1946646,2031786,205696,0,0,0,0,0,0,1
          Anti-Money Laundering Council,          Anti-Money Laundering Council,0,15654,0,0,0,0,0,0,0,0,15654,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Commission on Filipinos Overseas,          Commission on Filipinos Overseas,22207,24041,280,0,0,0,1428,0,0,20779,24041,280,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Commission on Higher Education,          Commission on Higher Education,191900,1394882,0,0,0,0,15811,854000,0,176089,540882,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Commission on the Filipino Language,          Commission on the Filipino Language,19860,9406,200,0,0,0,1605,0,0,18255,9406,200,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Dangerous Drugs Board,          Dangerous Drugs Board,28864,147413,4500,0,0,0,2255,77000,0,26609,70413,4500,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Energy Regulatory Commission,          Energy Regulatory Commission,109598,64442,3600,0,0,0,9552,0,0,100046,64442,3600,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Film Development Council of the Philippines,          Film Development Council of the Philippines,6044,30889,0,0,0,0,333,30889,0,5711,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Games and Amusements Board,          Games and Amusements Board,39507,19448,375,0,0,0,3260,8750,0,36247,10698,375,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Housing and Land Use Regulatory Board,          Housing and Land Use Regulatory Board,135695,55409,0,0,0,0,11314,0,0,124381,55409,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Housing and Urban Development,          Housing and Urban Development,,,,,,,,,,,,,,,,,,,
                Coordinating Council,                Coordinating Council,34577,62215,18470,0,0,0,1984,0,0,32593,62215,18470,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Movie and Television Review and,          Movie and Television Review and,,,,,,,,,,,,,,,,,,,
                Classification Board,                Classification Board,14544,17401,11394,0,0,0,998,0,0,13546,17401,11394,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          National Anti-Poverty Commission,          National Anti-Poverty Commission,26141,52003,1550,0,0,0,630,0,0,25511,52003,1550,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
