particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
               Philippine Normal University,               Philippine Normal University,229942,49364,3012,0,0,0,14887,0,0,215055,49364,3012,0,0,0,0,0,0,0
               Philippine State College of Aeronautics,               Philippine State College of Aeronautics,49648,8729,3012,0,0,0,4014,0,0,45634,8729,3012,0,0,0,0,0,0,0
               Polytechnic University of the Philippines,               Polytechnic University of the Philippines,561229,99396,3012,0,0,0,39246,0,0,521983,99396,3012,0,0,0,0,0,0,0
               Rizal Technological University,               Rizal Technological University,133005,23386,3012,0,0,0,10464,0,0,122541,23386,3012,0,0,0,0,0,0,0
               Technological University of the Philippines,               Technological University of the Philippines,314329,75873,3012,0,0,0,23949,0,0,290380,75873,3012,0,0,0,0,0,0,0
               University of the Philippines System,               University of the Philippines System,4364874,620123,1705533,0,0,0,324857,0,0,4040017,620123,1705533,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,          Region I - ILOCOS,1046955,157422,15060,0,0,0,86785,0,0,960170,157422,15060,0,0,0,0,0,0,1
               Don Mariano Marcos Memorial State University,               Don Mariano Marcos Memorial State University,356523,40972,3012,0,0,0,29988,0,0,326535,40972,3012,0,0,0,0,0,0,0
               Ilocos Sur Polytechnic State College,               Ilocos Sur Polytechnic State College,84505,8029,3012,0,0,0,6933,0,0,77572,8029,3012,0,0,0,0,0,0,0
               Mariano Marcos State University,               Mariano Marcos State University,253343,47642,3012,0,0,0,20827,0,0,232516,47642,3012,0,0,0,0,0,0,0
               Pangasinan State University,               Pangasinan State University,182867,34200,3012,0,0,0,14888,0,0,167979,34200,3012,0,0,0,0,0,0,0
               University of Northern Philippines,               University of Northern Philippines,169717,26579,3012,0,0,0,14149,0,0,155568,26579,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,          Cordillera Administrative Region,467787,87099,18072,0,0,0,37492,0,0,430295,87099,18072,0,0,0,0,0,0,1
               Abra State Institute of Science and Technology,               Abra State Institute of Science and Technology,61748,9579,3012,0,0,0,4827,0,0,56921,9579,3012,0,0,0,0,0,0,0
               Apayao State College,               Apayao State College,30577,4633,3012,0,0,0,2391,0,0,28186,4633,3012,0,0,0,0,0,0,0
               Benguet State University,               Benguet State University,197791,36580,3012,0,0,0,16149,0,0,181642,36580,3012,0,0,0,0,0,0,0
               Ifugao State College of Agriculture,               Ifugao State College of Agriculture,,,,,,,,,,,,,,,,,,,
                     and Forestry,                     and Forestry,72896,9666,3012,0,0,0,5681,0,0,67215,9666,3012,0,0,0,0,0,0,0
               Kalinga-Apayao State College,               Kalinga-Apayao State College,51638,8877,3012,0,0,0,4085,0,0,47553,8877,3012,0,0,0,0,0,0,0
               Mountain Province State Polytechnic College,               Mountain Province State Polytechnic College,53137,17764,3012,0,0,0,4359,0,0,48778,17764,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,          Region II - CAGAYAN VALLEY,732640,126026,17073,0,0,0,60490,0,0,672150,126026,17073,0,0,0,0,0,0,1
               Batanes State College (Batanes,               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),                     Polytechnic College),12508,2072,3012,0,0,0,837,0,0,11671,2072,3012,0,0,0,0,0,0,0
               Cagayan State University,               Cagayan State University,233297,48927,3012,0,0,0,19183,0,0,214114,48927,3012,0,0,0,0,0,0,0
               Isabela State University,               Isabela State University,308575,48470,3012,0,0,0,25837,0,0,282738,48470,3012,0,0,0,0,0,0,0
               Nueva Vizcaya State University (,               Nueva Vizcaya State University (,,,,,,,,,,,,,,,,,,,
                     NVSIT and NVSPC),                     NVSIT and NVSPC),153165,21393,5025,0,0,0,12585,0,0,140580,21393,5025,0,0,0,0,0,0,0
               Quirino State College,               Quirino State College,25095,5164,3012,0,0,0,2048,0,0,23047,5164,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,          Region III - CENTRAL LUZON,1131488,226344,38156,0,0,0,92420,0,0,1039068,226344,38156,0,0,0,0,0,0,1
               Aurora State College of Technology,               Aurora State College of Technology,24565,5564,3012,0,0,0,1847,0,0,22718,5564,3012,0,0,0,0,0,0,0
               Bataan Peninsula State University,               Bataan Peninsula State University,122017,20093,5024,0,0,0,8852,0,0,113165,20093,5024,0,0,0,0,0,0,0
               Bulacan Agricultural State College,               Bulacan Agricultural State College,34212,4051,3012,0,0,0,2838,0,0,31374,4051,3012,0,0,0,0,0,0,0
               Bulacan State University,               Bulacan State University,135730,36359,3012,0,0,0,11366,0,0,124364,36359,3012,0,0,0,0,0,0,0
               Central Luzon State University,               Central Luzon State University,220790,33369,3012,0,0,0,18440,0,0,202350,33369,3012,0,0,0,0,0,0,0
               Don Honorio Ventura College of Arts,               Don Honorio Ventura College of Arts,,,,,,,,,,,,,,,,,,,
                     and Trades,                     and Trades,76013,9482,3012,0,0,0,6287,0,0,69726,9482,3012,0,0,0,0,0,0,0
               Nueva Ecija University of Science,               Nueva Ecija University of Science,,,,,,,,,,,,,,,,,,,
                     and Technology,                     and Technology,138696,24481,3012,0,0,0,11640,0,0,127056,24481,3012,0,0,0,0,0,0,0
               Pampanga Agricultural College,               Pampanga Agricultural College,73755,9348,3012,0,0,0,5927,0,0,67828,9348,3012,0,0,0,0,0,0,0
               Philippine Merchant Marine Academy,               Philippine Merchant Marine Academy,53813,37669,3012,0,0,0,4179,0,0,49634,37669,3012,0,0,0,0,0,0,0
               Ramon Magsaysay Technological University,               Ramon Magsaysay Technological University,74398,16284,3012,0,0,0,6057,0,0,68341,16284,3012,0,0,0,0,0,0,0
               Tarlac College of Agriculture,               Tarlac College of Agriculture,79268,9443,3012,0,0,0,6659,0,0,72609,9443,3012,0,0,0,0,0,0,0
               Tarlac State University,               Tarlac State University,98231,20201,3012,0,0,0,8328,0,0,89903,20201,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,          Region IV-A - CALABARZON,716117,189160,17073,0,0,0,58961,0,0,657156,189160,17073,0,0,0,0,0,0,1
               Batangas State University,               Batangas State University,154624,58160,3012,0,0,0,12786,0,0,141838,58160,3012,0,0,0,0,0,0,0
               Cavite State University,               Cavite State University,154461,30351,3012,0,0,0,12589,0,0,141872,30351,3012,0,0,0,0,0,0,0
               Laguna State Polytechnic University,               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),                     (Laguna State Polytechnic College),126462,27042,3012,0,0,0,10319,0,0,116143,27042,3012,0,0,0,0,0,0,0
               Southern Luzon State University,               Southern Luzon State University,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),                     (Southern Luzon Polytechnic College),100771,35164,3012,0,0,0,8427,0,0,92344,35164,3012,0,0,0,0,0,0,0
               University of Rizal System,               University of Rizal System,179799,38443,5025,0,0,0,14840,0,0,164959,38443,5025,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,          Region IV-B - MIMAROPA,458940,75463,18072,0,0,0,37185,0,0,421755,75463,18072,0,0,0,0,0,0,1
               Marinduque State College,               Marinduque State College,44591,8915,3012,0,0,0,3683,0,0,40908,8915,3012,0,0,0,0,0,0,0
               Mindoro State College of,               Mindoro State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,58549,6503,3012,0,0,0,4776,0,0,53773,6503,3012,0,0,0,0,0,0,0
               Occidental Mindoro National College,               Occidental Mindoro National College,76829,11176,3012,0,0,0,6118,0,0,70711,11176,3012,0,0,0,0,0,0,0
               Palawan State University,               Palawan State University,114901,27581,3012,0,0,0,9531,0,0,105370,27581,3012,0,0,0,0,0,0,0
               Romblon State College,               Romblon State College,81853,9930,3012,0,0,0,6666,0,0,75187,9930,3012,0,0,0,0,0,0,0
               Western Philippines University,               Western Philippines University,82217,11358,3012,0,0,0,6411,0,0,75806,11358,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,          Region V - BICOL,912930,171495,24096,0,0,0,74566,0,0,838364,171495,24096,0,0,0,0,0,0,1
               Bicol University,               Bicol University,300651,65381,3012,0,0,0,24780,0,0,275871,65381,3012,0,0,0,0,0,0,0
               Camarines Norte State College,               Camarines Norte State College,95544,10620,3012,0,0,0,7882,0,0,87662,10620,3012,0,0,0,0,0,0,0
               Camarines Sur Polytechnic Colleges,               Camarines Sur Polytechnic Colleges,68081,25356,3012,0,0,0,5626,0,0,62455,25356,3012,0,0,0,0,0,0,0
               Camarines Sur State Agricultural College,               Camarines Sur State Agricultural College,126976,18603,3012,0,0,0,10066,0,0,116910,18603,3012,0,0,0,0,0,0,0
               Catanduanes State Colleges,               Catanduanes State Colleges,137906,19523,3012,0,0,0,11210,0,0,126696,19523,3012,0,0,0,0,0,0,0
"               Dr. Emilio B. Espinosa, Sr.","               Dr. Emilio B. Espinosa, Sr.",,,,,,,,,,,,,,,,,,,
                     Memorial State College of,                     Memorial State College of,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,                     Agriculture and Technology,29084,6097,3012,0,0,0,2338,0,0,26746,6097,3012,0,0,0,0,0,0,0
               Partido State University,               Partido State University,78285,10242,3012,0,0,0,6400,0,0,71885,10242,3012,0,0,0,0,0,0,0
               Sorsogon State College,               Sorsogon State College,76403,15673,3012,0,0,0,6264,0,0,70139,15673,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,          Region VI - WESTERN VISAYAS,1218274,177961,33132,0,0,0,99909,0,0,1118365,177961,33132,0,0,0,0,0,0,1
               Aklan State University,               Aklan State University,127122,17699,3012,0,0,0,10251,0,0,116871,17699,3012,0,0,0,0,0,0,0
               Capiz State University,               Capiz State University,179880,27253,3012,0,0,0,14945,0,0,164935,27253,3012,0,0,0,0,0,0,0
