Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
               Polytechnic State College of Antique,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Western Visayas College of Science and Technology,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               West Visayas State University,0,0,0,0,"3,012",0,0,0,0,0,0,0,"3,012"
,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"10,448",0,0,0,612,"3,600",0,0,400,0,0,0,"15,060"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Cebu Normal University,"2,612",0,0,0,0,0,0,0,400,0,0,0,"3,012"
               Cebu State College of Science and Technology,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Central Visayas State College of,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology",0,0,0,0,612,"2,400",0,0,0,0,0,0,"3,012"
               Negros Oriental State University,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Siquijor State College,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"26,120",0,0,0,"16,812","26,589",0,0,0,0,0,0,"69,521"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Eastern Samar State University,"2,612",0,0,0,"10,000","19,388",0,0,0,0,0,0,"32,000"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,
                     Institute of Technology),0,0,0,0,"3,012",0,0,0,0,0,0,0,"3,012"
               Leyte Normal University,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Visayas State University (Leyte State University),"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Naval Institute of Technology,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Palompon Institute of Technology,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Southern Leyte State University,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"2,612",0,0,0,400,"4,401",0,0,0,0,0,0,"7,413"
               Samar State College of Agriculture and Forestry,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Samar State University (Samar State,,,,,,,,,,,,,
                     Polytechnic College),"2,612",0,0,0,400,0,0,0,0,0,0,0,"3,012"
               Tiburcio Tancinco Memorial Institute of,,,,,,,,,,,,,
                     Science and Technology,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               University of Eastern Philippines,"2,612",0,0,0,"3,000",400,0,0,0,0,0,0,"6,012"
,,,,,,,,,,,,,
          Region IX - WESTERN MINDANAO,"18,684",0,0,0,"58,000","8,424",0,0,0,0,0,0,"85,108"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Basilan State College,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               J. H. Cerilles State College,0,0,0,0,"40,000","3,012",0,0,0,0,0,0,"43,012"
               Jose Rizal Memorial State College,0,0,0,0,0,"3,012",0,0,0,0,0,0,"3,012"
               MSU-Tawi-Tawi College of Technology and Oceanography,"2,612",0,0,0,"16,000",400,0,0,0,0,0,0,"19,012"
               Sulu State College,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Tawi-Tawi Regional Agricultural College,"3,012",0,0,0,0,0,0,0,0,0,0,0,"3,012"
               Western Mindanao State University,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Zamboanga City State Polytechnic College,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Zamboanga State College of Marine,,,,,,,,,,,,,
                     Sciences and Technology,"2,612",0,0,0,"2,000",400,0,0,0,0,0,0,"5,012"
,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,"15,672",0,0,0,"17,012","2,400",0,0,0,0,0,0,"35,084"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Bukidnon State College,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Camiguin Polytechnic State College,0,0,0,0,"12,012",0,0,0,0,0,0,0,"12,012"
               Central Mindanao University,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Mindanao Polytechnic State College,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               MSU-Iligan Institute of Technology,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Misamis Oriental State College of,,,,,,,,,,,,,
                     Agriculture and Technology,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Northwestern Mindanao State College of,,,,,,,,,,,,,
                     Science and Technology,"2,612",0,0,0,"5,000",400,0,0,0,0,0,0,"8,012"
,,,,,,,,,,,,,
          Region XI - SOUTHEASTERN MINDANAO,"7,836",0,0,0,"8,012","1,200",0,0,0,0,0,0,"17,048"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Davao del Norte State College,0,0,0,0,"3,012",0,0,0,0,0,0,0,"3,012"
               Davao Oriental State College of Science,,,,,,,,,,,,,
                     and Technology,"2,612",0,0,0,"5,000",400,0,0,0,0,0,0,"8,012"
               Southern Philippines Agri-Business and,,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               University of Southeastern Philippines,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
,,,,,,,,,,,,,
          Region XII - CENTRAL MINDANAO,"10,448",0,0,"2,612","26,135","13,065",0,0,0,0,0,0,"52,260"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Adiong Memorial Polytechnic State College,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Cotabato City State Polytechnic College,0,0,0,"2,612",0,400,0,0,0,0,0,0,"3,012"
               Cotabato Foundation College of Science,,,,,,,,,,,,,
                     and Technology,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               Mindanao State University,0,0,0,0,"26,135","11,065",0,0,0,0,0,0,"37,200"
               Sultan Kudarat Polytechnic State College,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
               University of Southern Mindanao,"2,612",0,0,0,0,400,0,0,0,0,0,0,"3,012"
,,,,,,,,,,,,,
          Caraga Administrative Region,"5,224",0,0,0,"2,500","4,408",0,0,0,0,0,0,"12,132"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Agusan del Sur State College of,,,,,,,,,,,,,
                     Agriculture and Technology,0,0,0,0,"2,500",533,0,0,0,0,0,0,"3,033"
               Northern Mindanao State Institute of,,,,,,,,,,,,,
                     Science and Technology,"2,612",0,0,0,0,421,0,0,0,0,0,0,"3,033"
               Surigao del Sur Polytechnic State College,"2,612",0,0,0,0,421,0,0,0,0,0,0,"3,033"
               Surigao State College of Technology,0,0,0,0,0,"3,033",0,0,0,0,0,0,"3,033"
,,,,,,,,,,,,,
     Department of Energy,0,0,0,0,0,"6,028",0,"2,400","1,340",0,0,0,"9,768"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"6,028",0,"2,400","1,340",0,0,0,"9,768"
,,,,,,,,,,,,,
     Department of Environment and Natural Resources,0,0,0,"437,603","279,551","128,407",0,"127,900","275,715",0,"102,591",0,"1,351,767"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"437,603","249,892","122,694",0,"103,900","29,311",0,"102,591",0,"1,045,991"
          Environmental Management Bureau,0,0,0,0,"27,359",0,0,0,"6,703",0,0,0,"34,062"
          Mines and Geo-Sciences Bureau,0,0,0,0,0,"5,220",0,"5,600","25,425",0,0,0,"36,245"
          National Mapping and Resource Information Authority,0,0,0,0,"2,300",493,0,"18,400","214,276",0,0,0,"235,469"
,,,,,,,,,,,,,
     Department of Finance,0,0,0,0,"316,020","210,886",0,"7,000",110,0,0,0,"534,016"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"160,580",0,0,0,0,0,0,0,"160,580"
          Bureau of Customs,0,0,0,0,"56,578","24,838",0,0,110,0,0,0,"81,526"
          Bureau of Internal Revenue,0,0,0,0,"73,433","131,873",0,0,0,0,0,0,"205,306"
          Bureau of Local Government Finance,0,0,0,0,0,"7,274",0,0,0,0,0,0,"7,274"
          Bureau of the Treasury,0,0,0,0,0,"30,418",0,0,0,0,0,0,"30,418"
          Central Board of Assessment Appeals,0,0,0,0,0,250,0,0,0,0,0,0,250
          Cooperative Development Authority,0,0,0,0,"8,429",0,0,"7,000",0,0,0,0,"15,429"
          Insurance Commission,0,0,0,0,"17,000","16,073",0,0,0,0,0,0,"33,073"
          National Tax Research Center,0,0,0,0,0,160,0,0,0,0,0,0,160
,,,,,,,,,,,,,
