Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,,,,,,,,,,,,,
DEPARTMENTS,"97,731",0,"83,323","8,189,905","7,751,846","4,746,178",0,"1,349,524","7,806,853","90,236,767","44,218",0,"120,306,345"
,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,---------------
     Congress of the Philippines,0,0,0,0,"7,372","83,230",0,"16,559","11,155",0,0,0,"118,316"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Senate,0,0,0,0,0,"16,104",0,755,0,0,0,0,"16,859"
               Senate Electoral Tribunal,0,0,0,0,0,591,0,0,25,0,0,0,616
          Commission on Appointments,0,0,0,0,0,557,0,999,667,0,0,0,"2,223"
          House of Representatives,0,0,0,0,"7,372","61,553",0,"14,000","10,463",0,0,0,"93,388"
               House Electoral Tribunal,0,0,0,0,0,"4,425",0,805,0,0,0,0,"5,230"
,,,,,,,,,,,,,
     Office of the President,0,0,0,0,"5,000","127,391",0,"2,403",620,0,0,0,"135,414"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          The President's Offices,0,0,0,0,"5,000","127,391",0,"2,403",620,0,0,0,"135,414"
,,,,,,,,,,,,,
     Office of the Vice-President,0,0,0,0,0,609,0,"1,851",0,0,0,0,"2,460"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,,
     Department of Agrarian Reform,8,0,"83,323",0,"108,971","35,352",0,"15,843","696,264","2,478,165",0,0,"3,417,926"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,8,0,"83,323",0,"108,971","35,352",0,"15,843","696,264","2,478,165",0,0,"3,417,926"
,,,,,,,,,,,,,
     Department of Agriculture,0,0,0,0,0,"11,898",0,"2,494",191,0,0,0,"14,583"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"11,698",0,20,191,0,0,0,"11,909"
          Fertilizer and Pesticide Authority,0,0,0,0,0,100,0,"2,474",0,0,0,0,"2,574"
          Fiber Industry Development Authority,0,0,0,0,0,100,0,0,0,0,0,0,100
,,,,,,,,,,,,,
     Department of Budget and Management,0,0,0,0,"18,929","10,560",0,"23,165",0,0,0,0,"52,654"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"18,929","10,560",0,"23,165",0,0,0,0,"52,654"
,,,,,,,,,,,,,
     Department of Education,0,0,0,249,"3,880,864","2,432,648",0,"2,848","28,189",0,0,0,"6,344,798"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,249,"3,880,864","2,432,136",0,"2,848","28,117",0,0,0,"6,344,214"
          National Book Development Board,0,0,0,0,0,161,0,0,0,0,0,0,161
          Philippine High School for the Arts,0,0,0,0,0,351,0,0,72,0,0,0,423
,,,,,,,,,,,,,
     State Universities and Colleges,"62,248",0,0,604,"404,844","110,425",0,"32,193","34,128",106,0,0,"644,548"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          National Capital Region,"14,619",0,0,0,"296,708","27,765",0,"29,500","23,650",0,0,0,"392,242"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,
                     Science and Technology,0,0,0,0,0,"1,330",0,0,0,0,0,0,"1,330"
               Marikina Polytechnic College,0,0,0,0,0,400,0,0,0,0,0,0,400
               Philippine Normal University,"1,612",0,0,0,0,400,0,0,0,0,0,0,"2,012"
               Philippine State College of Aeronautics,"1,612",0,0,0,0,400,0,"25,000",0,0,0,0,"27,012"
               Polytechnic University of the Philippines,"1,612",0,0,0,"1,606",729,0,0,0,0,0,0,"3,947"
               Rizal Technological University,0,0,0,0,0,386,0,0,0,0,0,0,386
               Technological University of the Philippines,0,0,0,0,"1,282","2,220",0,0,0,0,0,0,"3,502"
               University of the Philippines System,"9,783",0,0,0,"293,820","21,900",0,"4,500","23,650",0,0,0,"353,653"
,,,,,,,,,,,,,
          Region I - ILOCOS,"1,670",0,0,0,0,"2,105",0,0,0,0,0,0,"3,775"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Don Mariano Marcos Memorial State University,0,0,0,0,0,535,0,0,0,0,0,0,535
               Ilocos Sur Polytechnic State College,0,0,0,0,0,396,0,0,0,0,0,0,396
               Mariano Marcos State University,58,0,0,0,0,384,0,0,0,0,0,0,442
               Pangasinan State University,0,0,0,0,0,410,0,0,0,0,0,0,410
               University of Northern Philippines,"1,612",0,0,0,0,380,0,0,0,0,0,0,"1,992"
,,,,,,,,,,,,,
          Cordillera Administrative Region,"4,806",0,0,0,"1,609","5,432",0,0,0,0,0,0,"11,847"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Abra State Institute of Science and Technology,226,0,0,0,0,395,0,0,0,0,0,0,621
               Apayao State College,"1,356",0,0,0,0,400,0,0,0,0,0,0,"1,756"
               Benguet State University,0,0,0,0,"1,609",550,0,0,0,0,0,0,"2,159"
               Ifugao State College of Agriculture and Forestry,"1,612",0,0,0,0,"3,611",0,0,0,0,0,0,"5,223"
               Kalinga-Apayao State College,"1,612",0,0,0,0,400,0,0,0,0,0,0,"2,012"
               Mountain Province State Polytechnic College,0,0,0,0,0,76,0,0,0,0,0,0,76
,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"2,374",0,0,91,"1,421","4,970",0,0,0,106,0,0,"8,962"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Batanes State College (Batanes,,,,,,,,,,,,,
                     Polytechnic College),400,0,0,0,0,"1,112",0,0,0,0,0,0,"1,512"
               Cagayan State University,0,0,0,0,6,297,0,0,0,0,0,0,303
               Isabela State University,"1,612",0,0,0,0,"2,400",0,0,0,0,0,0,"4,012"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,
                     and NVSPC),362,0,0,0,0,761,0,0,0,0,0,0,"1,123"
               Quirino State College,0,0,0,91,"1,415",400,0,0,0,106,0,0,"2,012"
,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"4,989",0,0,0,"9,945","7,266",0,"2,657","1,269",0,0,0,"26,126"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Aurora State College of Technology,0,0,0,0,0,14,0,0,0,0,0,0,14
               Bataan Peninsula State University,"3,224",0,0,0,0,800,0,0,0,0,0,0,"4,024"
               Bulacan Agricultural State College,0,0,0,0,"1,000","1,011",0,0,0,0,0,0,"2,011"
               Bulacan State University,0,0,0,0,"7,350","1,225",0,0,0,0,0,0,"8,575"
               Central Luzon State University,0,0,0,0,0,125,0,"2,657",0,0,0,0,"2,782"
               Don Honorio Ventura College of Arts and Trades,156,0,0,0,0,0,0,0,0,0,0,0,156
               Nueva Ecija University of Science and Technology,0,0,0,0,0,"2,003",0,0,0,0,0,0,"2,003"
               Pampanga Agricultural College,0,0,0,0,0,"1,232",0,0,0,0,0,0,"1,232"
               Philippine Merchant Marine Academy,0,0,0,0,0,0,0,0,870,0,0,0,870
               Ramon Magsaysay Technological University,"1,609",0,0,0,0,400,0,0,0,0,0,0,"2,009"
               Tarlac College of Agriculture,0,0,0,0,"1,595",0,0,0,399,0,0,0,"1,994"
               Tarlac State University,0,0,0,0,0,456,0,0,0,0,0,0,456
,,,,,,,,,,,,,
          Region IV-A - CALABARZON,0,0,0,0,"21,721","6,270",0,0,0,0,0,0,"27,991"
