psgc_muni,pov_muni_year,pov_muni_measure,estimate,standard_error,coefficient_of_variation
64518000,2003,Incidence,27.69,3.94,14.2
64519000,2003,Incidence,56.62,5.66,10
64520000,2003,Incidence,34.26,3.71,10.8
64521000,2003,Incidence,22,2.95,13.4
64522000,2003,Incidence,17.97,2.54,14.1
64523000,2003,Incidence,34.01,3.9,11.5
64532000,2003,Incidence,50.45,6.57,13
64524000,2003,Incidence,41.17,3.54,8.6
64525000,2003,Incidence,18.49,3.28,17.7
64526000,2003,Incidence,17,2.76,16.2
64529000,2003,Incidence,42.87,4.93,11.5
64530000,2003,Incidence,18,2.5,13.9
71201000,2003,Incidence,16.78,3.34,19.9
71202000,2003,Incidence,39.77,4.62,11.6
71203000,2003,Incidence,30.45,3.91,12.8
71204000,2003,Incidence,21.97,3.53,16.1
71205000,2003,Incidence,15.5,2.62,16.9
71206000,2003,Incidence,31.22,3.41,10.9
71207000,2003,Incidence,30.51,4.07,13.3
71248000,2003,Incidence,46.4,4.8,10.3
71208000,2003,Incidence,23.64,2.96,12.5
71209000,2003,Incidence,51.68,3.51,6.8
71210000,2003,Incidence,25.17,2.71,10.8
71211000,2003,Incidence,29.11,3.63,12.5
71212000,2003,Incidence,39.84,3.53,8.9
71213000,2003,Incidence,33.82,3.92,11.6
71214000,2003,Incidence,28.82,3.27,11.3
71215000,2003,Incidence,19.24,4.11,21.4
71216000,2003,Incidence,19.15,3.77,19.7
71217000,2003,Incidence,38.17,4.97,13
71218000,2003,Incidence,57.21,3.64,6.4
71219000,2003,Incidence,13.52,3.46,25.6
71220000,2003,Incidence,23.93,2.8,11.7
71221000,2003,Incidence,29.41,3.44,11.7
71222000,2003,Incidence,24.27,3.23,13.3
71223000,2003,Incidence,27.31,4.29,15.7
71224000,2003,Incidence,39.92,2.66,6.7
71225000,2003,Incidence,19.81,2.63,13.3
71226000,2003,Incidence,45.72,3.77,8.2
71227000,2003,Incidence,29.09,3.68,12.7
71228000,2003,Incidence,18.38,2.84,15.5
71229000,2003,Incidence,17.38,2.74,15.8
71230000,2003,Incidence,23.14,2.35,10.2
71231000,2003,Incidence,45.64,4.53,9.9
71232000,2003,Incidence,14.34,2.92,20.4
71233000,2003,Incidence,16.91,3.76,22.2
71234000,2003,Incidence,45.6,4.44,9.7
71235000,2003,Incidence,50.21,3.82,7.6
71236000,2003,Incidence,34.89,3.71,10.6
71237000,2003,Incidence,29.6,5.26,17.8
71238000,2003,Incidence,35.7,3.64,10.2
71239000,2003,Incidence,24.61,4.48,18.2
71240000,2003,Incidence,29.95,3.31,11.1
71241000,2003,Incidence,21.03,4.71,22.4
71242000,2003,Incidence,3.95,1.3,32.9
71243000,2003,Incidence,34.93,3.42,9.8
71244000,2003,Incidence,44.62,4.22,9.5
71245000,2003,Incidence,21.21,2.57,12.1
71246000,2003,Incidence,45.91,2.89,6.3
71247000,2003,Incidence,28.79,3.01,10.5
72201000,2003,Incidence,34.89,5.35,15.3
72202000,2003,Incidence,37.41,6.34,16.9
72203000,2003,Incidence,53.11,5.93,11.2
72204000,2003,Incidence,31.1,4.82,15.5
