brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
160301028,160301028,AGUSAN DEL SUR,BAYUGAN,Berseba,2005,421,2077,11,312,413,164,39.709438,153,67.69912,204,31.924879,-,-,-,-,226,639,6,1.92308,0,0,16,3.8004799,5,1.18765,331,78.62233,266,152,36.104511,35,8.3135405,63.182899,33,1.58883,150,35.629452,857,2,0.23337001,-,-,-,-,-,-,-,-,-,3,1,301028
160301029,160301029,AGUSAN DEL SUR,BAYUGAN,Bucac,2005,538,2621,71,445,478,114,23.849369,126,44.366199,106,13.91076,-,-,-,-,284,762,2,0.44944,0,0,30,5.57621,13,2.4574699,283,52.60223,178,86,16.0149,52,9.6654301,33.085499,32,1.220908,54,10.03717,839,30,3.57569,-,-,-,-,-,-,-,-,-,3,1,301029
160301030,160301030,AGUSAN DEL SUR,BAYUGAN,Cagbas,2005,345,1696,48,276,322,98,30.43478,87,54.71698,88,18.295219,-,-,-,-,159,481,2,0.72464001,0,0,11,3.18841,12,3.47826,237,68.695648,188,30,8.6956501,44,12.75362,54.492748,72,4.2452831,32,9.2753601,582,50,8.5910702,-,-,-,-,-,-,-,-,-,3,1,301030
160301001,160301001,AGUSAN DEL SUR,BAYUGAN,Calaitan,2005,393,1987,59,341,402,134,33.333328,134,55.833328,152,23.67601,-,-,-,-,240,642,3,0.87976998,1,1.6666666,16,4.07125,14,3.56234,279,70.992371,224,50,12.72265,143,36.386768,56.997459,37,1.8621037,54,13.74046,707,42,5.9405899,-,-,-,-,-,-,-,-,-,3,1,301001
160301031,160301031,AGUSAN DEL SUR,BAYUGAN,Canayugan,2005,208,1015,35,158,192,45,23.4375,36,29.26829,41,13.01587,-,-,-,-,123,315,0,0,0,0,10,4.8076901,10,4.8309202,104,50,75,124,62,20,9.6153803,36.05769,28,2.7586207,22,10.57692,324,23,7.0987701,-,-,-,-,-,-,-,-,-,3,1,301031
160301002,160301002,AGUSAN DEL SUR,BAYUGAN,Charito,2005,311,1632,40,249,358,103,28.77095,90,45.68528,75,13.51351,-,-,-,-,197,555,0,0,0,0,7,2.2507999,1,0.32154,242,77.813499,201,100,32.362461,23,7.4193501,64.630234,15,0.91911763,50,16.077169,480,4,0.83332998,-,-,-,-,-,-,-,-,-,3,1,301002
160301032,160301032,AGUSAN DEL SUR,BAYUGAN,Claro Cortez,2005,128,591,18,94,104,29,27.884621,36,50.704231,23,13.14286,-,-,-,-,71,175,3,3.1914899,1,5.2631578,4,3.125,3,2.3622,76,59.375,59,47,36.71875,48,37.5,46.09375,4,0.67681897,2,1.5625,179,4,2.2346399,-,-,-,-,-,-,-,-,-,3,1,301032
160301003,160301003,AGUSAN DEL SUR,BAYUGAN,Fili,2005,379,1947,41,292,348,84,24.13793,84,39.436619,91,16.221029,-,-,-,-,213,561,0,0,0,0,7,1.84697,8,2.16802,191,50.395779,134,44,11.70213,23,6.0846601,35.356201,128,6.5742168,62,16.358841,677,45,6.6469698,-,-,-,-,-,-,-,-,-,3,1,301003
160301033,160301033,AGUSAN DEL SUR,BAYUGAN,Gamao,2005,204,1005,22,167,213,59,27.69953,65,56.52174,59,17.987801,-,-,-,-,115,328,0,0,0,0,1,0.49020001,2,0.99010003,142,69.607841,110,13,6.46766,12,5.88235,53.92157,10,0.99502486,31,15.27094,310,10,3.2258101,-,-,-,-,-,-,-,-,-,3,1,301033
160301034,160301034,AGUSAN DEL SUR,BAYUGAN,Getsemane,2005,70,329,6,44,67,16,23.8806,16,41.025639,20,18.86792,-,-,-,-,39,106,0,0,0,0,0,0,0,0,59,84.285713,42,70,100,24,34.285709,60,0,0,2,2.8571401,100,0,0,-,-,-,-,-,-,-,-,-,3,1,301034
