flight,particular,numberof_flights_inbound,inbound_pounds,inbound_kilograms,inbound_tons,number_of_flights_outbound,outbound_pounds,outbound_kilograms,outbound_tons
UPS Flights,January ,47,3498123,1590055.909,1590.055909,47,3376491,1534768.636,1534.768636
UPS Flights,February,44,2014672,915760,915.76,43,2011243,914201.3636,914.2013636
UPS Flights,March,53,5637891,2562677.727,2562.677727,53,5423187,2465085,2465.085
UPS Flights,April,52,5123457,2328844.091,2328.844091,52,5211234,2368742.727,2368.742727
UPS Flights,May,51,4968720,2258509.091,2258.509091,51,4897506,2226139.091,2226.139091
UPS Flights,June,50,3997070,1816850,1816.85,50,3324991,1511359.545,1511.359545
UPS Flights,July,59,4036287,1834675.909,1834.675909,59,3447319,1566963.182,1566.963182
UPS Flights,August,50,3793491,1724314.091,1724.314091,50,3155393,1434269.545,1434.269545
UPS Flights,September,51,3888608,1767549.091,1767.549091,51,3415669,1552576.818,1552.576818
UPS Flights,October,54,3949564,1795256.364,1795.256364,54,3314158,1506435.455,1506.435455
UPS Flights,November,51,3767271,1712395.91,1712.4,51,3228915,1467688.64,1467.69
UPS Flights,December,48,3331335,1514243.18,1514.24,48,2754493,1252042.27,1252.04
UPS Flights,Total,610,48006489,21821131.36,21821.13227,609,43560599,19800272.27,19800.27136
Grand Total,Grand Total,610,48006489,21821131.36,21821.13227,609,43560599,19800272.27,19800.27136
