flight,particular,number_of_flights_inbound,inbound_pounds,inbound_kilograms,inbound_tons,number_of_flights_outbound,outbound_pounds,outbound_kilograms,outbound_tons
UPS Flights,January ,51,3621908,1646321.818,1646.321818,51,3489917,1586325.909,1586.325909
UPS Flights,February,44,3575350,1625159.091,1625.159091,43,3101874,1409942.727,1409.942727
UPS Flights,March,54,3678923,1672237.727,1672.237727,54,3462417,1573825.909,1573.825909
UPS Flights,April,50,4151250,1886931.818,1886.931818,50,3517938,1599062.727,1599.062727
UPS Flights,May,53,4078931,1854059.545,1854.059545,53,3975618,1807099.091,1807.099091
UPS Flights,June,52,3856790,1753086.364,1753.086364,52,3825396,1738816.364,1738.816364
UPS Flights,July,54,4429914,2013597.273,2013.597273,53,4049310,1840595.455,1840.595455
UPS Flights,August,48,3352487,1523857.727,1523.857727,49,3657412,1662460,1662.46
UPS Flights,September,52,3968752,1803978.182,1803.978182,52,4023681,1828945.909,1828.945909
UPS Flights,October,51,3876541,1762064.091,1762.064091,51,3568512,1622050.909,1622.050909
UPS Flights,November,51,3627901,1649045.909,1649.045909,51,3512784,1596720,1596.72
UPS Flights,December,54,4189763,1904437.727,1904.437727,55,4231223,1923283.182,1923.283182
UPS Flights,Total,614,46408510,21094777.27,21094.77727,614,44416082,20189128.18,20189.12818
