description,appropriation,expenditures,balance,balance_or_approriations_percentage
MOOE,111535501.6,71300373.97,40235127.67,36.07
Capital Outlay,30000000,1210505,28789495,95.96
Total,141535501.6,72510878.97,69024622.67,48.77
