region,airport,airline_operation, january , february , march , april , may , june , july , august , september , october , november , december ,total
II (Cagayan Valley),Palanan,North Sky Air,1230,-,-,195, - , - ,2772,40,-, - , - , - ,4237
II (Cagayan Valley),Palanan,wcc,12613, - ,14066,12604,17880,14835,10874,10347,9956, - , - , - ,103175
II (Cagayan Valley),Palanan,Military, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (International),G. Aviation, - , - ,-, - , - , - , - ,-,-, - , - , - , -   
II (Cagayan Valley),Tuguegarao (International),Military, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,77975,79030,107780,106259,103156,100150,93362,95509,89062,-,-, - ,852283
II (Cagayan Valley),Tuguegarao (Domestic),Air Philippine,28872,24832,43977,37843,36893,34051,40501,34297,24906, - , - , - ,306172
II (Cagayan Valley),Tuguegarao (Domestic),Florida Air, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),Royal Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),North Sky Air,14166,10513,16368,21828,22477,21522,14628,16803,17562, - , - , - ,155867
II (Cagayan Valley),Tuguegarao (Domestic),Lion Air, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),Chemtrad, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),WCC,21139,17990,26481,27493,32291,28052,22781,21603,22782, - , - , - ,220612
II (Cagayan Valley),Tuguegarao (Domestic),Mid Sea Express, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone Airways, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),ATX, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),Royal Air, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),Skypasada WCC , - , - ,-, - , - , - , - ,-, - , - , - , - , -   
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,700,175,3001,340,2226,4500, - ,-,170, - , - , - ,11112
II (Cagayan Valley),Tuguegarao (Domestic),Military, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
III (Central Luzon),Iba,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
III (Central Luzon),Subic,International, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
III (Central Luzon),Subic,Domestic, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
III (Central Luzon),Subic,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
III (Central Luzon),Diosdado Macapagal International Airport,International, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
III (Central Luzon),Diosdado Macapagal International Airport,Domestic, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
III (Central Luzon),Diosdado Macapagal International Airport,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
III (Central Luzon),Diosdado Macapagal International Airport,MILITARY, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
III (Central Luzon),Plaridel,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
NCR,NAIA,International,28470260,27842930,33027910,27451300,27483280,25516470,25045010,25228880,24165130,25995590,24460090,24458340,319145190
NCR,NAIA,Domestic,11331030,11204110,8383540,23480630,24535060,25013440,28699570,29481140,29217650,18143490,26348610,29367500,265205770
NCR,NAIA,G. Aviation,32340,32420,18940,15470,16860,9160,14010,10290,20200,46410,9770,22380,248250
IV-A (CALABARZON)),Alabat,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
III (Central Luzon),Baler,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),Busuanga,Air Philippine,77132,79320,79748,113244,102289,102091,54762,60512,48341,49771,41384, - ,808594
IV-B (MIMAROPA),Busuanga,Cebu Pacific or Cebgo,127556,115919,124017,119060,70053,58025,72661,85314,69822,75557,75476, - ,993460
IV-B (MIMAROPA),Busuanga,Zest Air,-, - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),Busuanga,sky jet,1669, - ,1538,20742,23065,9729,5652,8799,5949,11362,12511, - ,101016
IV-B (MIMAROPA),Busuanga,Chemtrad, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
IV-B (MIMAROPA),Busuanga,Air Juan,2064,15535,2635,3182,2250,1903,1064,1294,1102,1804,2003, - ,34836
IV-B (MIMAROPA),Busuanga,G. Aviation,103270,102724,23163,22161,41139,20680,43403,38827,56162,54964,22248, - ,528741
IV-B (MIMAROPA),Busuanga,MILITARY, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),Calapan,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
IV-B (MIMAROPA),Cuyo,Seair, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
IV-B (MIMAROPA),Cuyo,G. Aviation, - ,12344,18913, - , - , - , - ,-, - , - ,8286,7796,47339
IV-A (CALABARZON)),Jomalig,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
IV-B (MIMAROPA),Lubang,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),Mamburao,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),Marinduque,Zest Air, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),Marinduque,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),Pto.Princesa International,PAL, - , - ,13985,21098, - ,19747,20753,12928,16521,15552,12726,304,133614
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,PAL, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,PALEX,283726,338465,482943,582354, - ,591929,504799,533615,498700,518782,283870,400560,5019743
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,Cebu Pacific,700291,265457,299335,389188, - ,382162,365973,283708,403225,398946,280653,347082,4116020
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,Air Juan, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,Air Asia or Zest Air,335467,399848,308713,311008, - ,467853,413926,394008,391146,438839,415293,531082,4407183
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,Seair or Tiger Air,76996,112992,96383,110256, - ,108685,88413,72550,69246, - , - , - ,735521
IV-B (MIMAROPA),Romblon,PALEX, - , - ,-,10252,8458,4750,5352,3805,5404,4612,3761,6593,52987
IV-B (MIMAROPA),Romblon,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),Romblon,Seair, - ,-,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),San Jose,PAL, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),San Jose,Air Philippine, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IV-B (MIMAROPA),San Jose,Cebu Pacific,9821,10048,13607,14106,17073,13675,6782,9419,12730,12851,8029,4936,133077
IV-B (MIMAROPA),San Jose,Zest Air, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
