region,province,municipality,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage
III (Central Luzon),Pampanga,Minalin,6,5,6,5,1,6,10,3,5,9,56,
III (Central Luzon),Pampanga,Porac,25,28,34,27,3,20,29,22,37,42,267,
III (Central Luzon),Pampanga,San Fernando (Capital),95,72,88,95,16,98,92,91,111,100,858,
III (Central Luzon),Pampanga,San Luis,4,11,4,8,2,4,5,7,9,7,61,
III (Central Luzon),Pampanga,San Simon,4,3,10,6,-,11,9,7,10,14,74,
III (Central Luzon),Pampanga,Santa Ana,12,14,17,11,3,9,12,7,7,12,104,
III (Central Luzon),Pampanga,Santa Rita,14,22,23,19,1,18,19,11,22,19,168,
III (Central Luzon),Pampanga,Santo Tomas,8,9,7,9,-,10,10,9,7,9,78,
III (Central Luzon),Pampanga,Sasmuan (Sexmoan),3,-,7,3,1,1,9,3,3,7,37,
III (Central Luzon),Tarlac,Anao,1,1,-,1,-,2,1,2,1,3,12,
III (Central Luzon),Tarlac,Bamban,14,9,13,10,1,18,19,17,31,32,164,
III (Central Luzon),Tarlac,Camiling,29,29,22,32,3,14,26,24,16,33,228,
III (Central Luzon),Tarlac,Capas,27,23,40,34,8,30,34,29,47,33,305,
III (Central Luzon),Tarlac,Concepcion,20,29,28,30,1,20,30,30,40,41,269,
III (Central Luzon),Tarlac,Gerona,13,11,7,9,2,7,14,14,17,13,107,
III (Central Luzon),Tarlac,La Paz,9,9,8,7,-,8,2,8,15,12,78,
III (Central Luzon),Tarlac,Mayantoc,6,8,8,1,-,8,5,4,4,6,50,
III (Central Luzon),Tarlac,Moncada,7,10,13,11,4,7,7,9,11,9,88,
III (Central Luzon),Tarlac,Paniqui,19,21,28,23,4,25,22,25,19,30,216,
III (Central Luzon),Tarlac,Pura,1,4,-,2,-,3,1,-,3,3,17,
III (Central Luzon),Tarlac,Ramos,2,5,8,4,-,3,4,4,10,4,44,
III (Central Luzon),Tarlac,San Clemente,-,2,3,3,1,1,3,6,1,3,23,
III (Central Luzon),Tarlac,San Manuel,6,4,5,5,1,3,2,5,5,2,38,
III (Central Luzon),Tarlac,Santa Ignacia,7,9,9,7,2,3,12,6,15,1,71,
III (Central Luzon),Tarlac,City of Tarlac (Capital),64,65,82,96,15,63,96,82,78,100,741,
III (Central Luzon),Tarlac,Victoria,6,5,6,9,2,7,4,6,7,13,65,
III (Central Luzon),Tarlac,San Jose,1,2,1,2,-,1,5,5,2,3,22,
III (Central Luzon),Zambales,Botolan,8,9,10,14,1,6,10,13,16,18,105,
III (Central Luzon),Zambales,Cabangan,3,1,3,2,-,5,5,4,4,7,34,
III (Central Luzon),Zambales,Candelaria,5,6,6,5,2,5,12,12,11,8,72,
III (Central Luzon),Zambales,Castillejos,13,8,17,17,4,19,20,16,10,14,138,
III (Central Luzon),Zambales,Iba (Capital),12,6,4,14,3,15,8,9,6,6,83,
III (Central Luzon),Zambales,Masinloc,17,7,10,13,-,15,7,7,15,9,100,
III (Central Luzon),Zambales,Olongapo City,181,197,155,178,23,144,192,182,179,226,1657,
III (Central Luzon),Zambales,Palauig,4,5,6,5,3,7,10,5,5,9,59,
III (Central Luzon),Zambales,San Antonio,12,15,7,15,4,20,13,14,16,13,129,
III (Central Luzon),Zambales,San Felipe,10,6,6,8,-,8,9,7,8,7,69,
III (Central Luzon),Zambales,San Marcelino,6,8,5,11,4,10,9,10,5,7,75,
III (Central Luzon),Zambales,San Narciso,8,12,9,13,1,8,7,3,16,11,88,
III (Central Luzon),Zambales,Santa Cruz,3,7,4,5,1,11,5,5,12,8,61,
III (Central Luzon),Zambales,Subic,41,41,35,53,6,30,44,49,46,47,392,
III (Central Luzon),Aurora,Baler  (Capital),3,-,2,-,1,1,2,1,3,1,14,
III (Central Luzon),Aurora,Casiguran,2,-,-,-,-,2,1,1,1,-,7,
III (Central Luzon),Aurora,Dilasag,1,-,-,-,-,-,1,-,1,-,3,
III (Central Luzon),Aurora,Dinalungan,-,2,1,-,-,-,1,-,-,-,4,
III (Central Luzon),Aurora,Dingalan,-,-,-,-,1,-,3,1,2,2,9,
III (Central Luzon),Aurora,Dipaculao,-,3,-,1,-,2,2,-,3,-,11,
III (Central Luzon),Aurora,Maria Aurora,3,2,2,3,1,1,4,2,5,-,23,
III (Central Luzon),Aurora,San Luis,-,1,2,-,-,-,1,2,1,3,10,
III (Central Luzon),No City or Municipality Reported,No City or Municipality Reported,-,3,2,1,-,-,-,-,-,-,6,
IV-A (CALABARZON),Batangas,Agoncillo,1,3,4,5,1,-,1,1,5,3,24,
IV-A (CALABARZON),Batangas,Alitagtag,7,4,4,4,-,2,-,3,3,4,31,
IV-A (CALABARZON),Batangas,Balayan,8,7,9,8,-,8,9,5,8,11,73,
IV-A (CALABARZON),Batangas,Balete,-,-,-,-,2,-,2,-,-,1,5,
IV-A (CALABARZON),Batangas,Batangas City (Capital),29,39,37,31,4,42,34,38,44,56,354,
IV-A (CALABARZON),Batangas,Bauan,10,7,7,12,1,8,13,9,6,11,84,
IV-A (CALABARZON),Batangas,Calaca,1,2,2,2,1,2,4,6,6,8,34,
IV-A (CALABARZON),Batangas,Calatagan,1,3,-,2,1,2,1,6,4,2,22,
IV-A (CALABARZON),Batangas,Cuenca,1,1,5,2,-,5,3,2,7,7,33,
IV-A (CALABARZON),Batangas,Ibaan,2,2,4,2,-,5,1,3,8,1,28,
IV-A (CALABARZON),Batangas,Laurel,3,1,2,-,-,1,2,3,3,2,17,
IV-A (CALABARZON),Batangas,Lemery,5,6,6,11,-,5,8,5,11,5,62,
IV-A (CALABARZON),Batangas,Lian,3,3,3,2,1,9,6,6,7,6,46,
IV-A (CALABARZON),Batangas,Lipa City,33,54,37,39,10,40,51,48,35,59,406,
IV-A (CALABARZON),Batangas,Lobo,2,3,2,2,1,2,-,5,5,-,22,
IV-A (CALABARZON),Batangas,Mabini,1,2,5,6,-,4,4,3,7,5,37,
IV-A (CALABARZON),Batangas,Malvar,8,2,2,3,-,7,3,6,5,6,42,
IV-A (CALABARZON),Batangas,Mataas Na Kahoy,1,2,3,3,-,4,-,2,5,6,26,
IV-A (CALABARZON),Batangas,Nasugbu,11,8,12,14,1,9,14,10,8,9,96,
IV-A (CALABARZON),Batangas,Padre Garcia,1,1,1,5,-,6,5,2,6,3,30,
IV-A (CALABARZON),Batangas,Rosario,7,8,12,14,-,6,12,13,9,11,92,
IV-A (CALABARZON),Batangas,San Jose,1,6,11,15,1,9,3,2,6,4,58,
IV-A (CALABARZON),Batangas,San Juan,6,3,8,4,-,3,7,8,13,8,60,
IV-A (CALABARZON),Batangas,San Luis,2,2,1,5,1,6,1,1,3,6,28,
IV-A (CALABARZON),Batangas,San Nicolas,1,4,-,3,-,3,3,-,4,2,20,
IV-A (CALABARZON),Batangas,San Pascual,8,8,12,6,-,10,13,8,12,5,82,
IV-A (CALABARZON),Batangas,Santa Teresita,2,2,4,3,1,1,4,1,1,2,21,
IV-A (CALABARZON),Batangas,Santo Tomas,15,7,14,17,2,7,17,16,26,26,147,
IV-A (CALABARZON),Batangas,Taal,3,8,3,7,-,6,3,8,8,4,50,
IV-A (CALABARZON),Batangas,Talisay,5,2,7,9,1,6,4,4,5,9,52,
IV-A (CALABARZON),Batangas,Tanauan,19,15,24,12,3,27,17,25,15,27,184,
IV-A (CALABARZON),Batangas,Taysan,1,-,5,3,2,5,2,1,5,1,25,
IV-A (CALABARZON),Batangas,Tingloy,-,-,-,-,-,-,-,-,1,-,1,
IV-A (CALABARZON),Batangas,Tuy,1,2,4,4,2,2,-,-,6,5,26,
IV-A (CALABARZON),Cavite,Alfonso,4,5,10,6,-,3,10,6,11,7,62,
IV-A (CALABARZON),Cavite,Amadeo,4,3,4,6,2,7,4,6,8,8,52,
IV-A (CALABARZON),Cavite,Bacoor,179,192,204,201,35,196,205,207,221,215,1855,
IV-A (CALABARZON),Cavite,Carmona,7,9,15,18,3,14,26,16,24,34,166,
IV-A (CALABARZON),Cavite,Cavite City,63,47,61,48,8,36,55,48,41,43,450,
IV-A (CALABARZON),Cavite,Dasmarinas,134,151,165,214,33,187,230,218,266,249,1847,
IV-A (CALABARZON),Cavite,General Emilio Aguinaldo,1,3,1,1,-,-,-,1,4,4,15,
IV-A (CALABARZON),Cavite,General Trias,33,39,50,60,9,53,78,66,81,116,585,
IV-A (CALABARZON),Cavite,Imus,131,141,148,171,29,153,166,155,177,171,1442,
IV-A (CALABARZON),Cavite,Indang,8,6,7,6,1,7,12,4,12,12,75,
IV-A (CALABARZON),Cavite,Kawit,28,31,39,37,5,31,35,23,28,27,284,
IV-A (CALABARZON),Cavite,Magallanes,-,2,2,3,1,-,3,-,1,1,13,
IV-A (CALABARZON),Cavite,Maragondon,4,4,5,7,2,7,6,3,5,4,47,
IV-A (CALABARZON),Cavite,Mendez (Mendez-Nunez),9,3,7,4,1,4,-,3,7,2,40,
IV-A (CALABARZON),Cavite,Naic,24,27,24,27,3,21,34,32,38,34,264,
IV-A (CALABARZON),Cavite,Noveleta,14,24,26,23,2,25,14,14,18,15,175,
IV-A (CALABARZON),Cavite,Rosario,27,22,29,18,4,19,20,19,22,23,203,
IV-A (CALABARZON),Cavite,Silang,30,43,51,46,7,52,75,74,75,96,549,
IV-A (CALABARZON),Cavite,Tagaytay City,3,8,9,5,2,15,18,11,11,16,98,
IV-A (CALABARZON),Cavite,Tanza,31,33,30,55,5,29,47,44,42,49,365,
IV-A (CALABARZON),Cavite,Ternate,1,6,5,5,-,4,3,5,2,6,37,
IV-A (CALABARZON),Cavite,Trece Martires City (Capital),12,11,14,20,5,18,18,18,16,24,156,
IV-A (CALABARZON),Cavite,Gen. Mariano Alvarez,36,38,38,60,5,50,68,48,83,94,520,
IV-A (CALABARZON),Laguna,Alaminos,7,4,8,11,-,3,7,7,13,5,65,
IV-A (CALABARZON),Laguna,Bay,5,7,8,9,-,9,7,11,10,13,79,
IV-A (CALABARZON),Laguna,Binan,69,68,81,80,13,65,80,72,83,78,689,
IV-A (CALABARZON),Laguna,Cabuyao,38,34,43,59,7,51,64,57,66,69,488,
IV-A (CALABARZON),Laguna,Calamba,44,47,70,50,8,73,77,80,85,83,617,
IV-A (CALABARZON),Laguna,Calauan,4,3,7,10,-,11,2,6,9,14,66,
IV-A (CALABARZON),Laguna,Cavinti,6,6,9,3,1,7,4,2,4,4,46,
IV-A (CALABARZON),Laguna,Famy,-,2,1,2,-,1,3,-,2,1,12,
IV-A (CALABARZON),Laguna,Kalayaan,-,1,-,3,-,3,3,1,-,-,11,
IV-A (CALABARZON),Laguna,Liliw,4,3,5,6,2,-,3,8,4,4,39,
IV-A (CALABARZON),Laguna,Los Banos,27,19,29,27,5,25,29,37,39,28,265,
IV-A (CALABARZON),Laguna,Luisiana,1,5,2,-,-,1,1,1,-,-,11,
IV-A (CALABARZON),Laguna,Lumban,1,3,6,3,1,2,2,3,5,5,31,
IV-A (CALABARZON),Laguna,Mabitac,1,3,3,1,-,1,2,4,2,2,19,
IV-A (CALABARZON),Laguna,Magdalena,2,2,2,3,-,4,3,3,-,6,25,
IV-A (CALABARZON),Laguna,Majayjay,3,3,1,3,-,5,2,6,1,3,27,
IV-A (CALABARZON),Laguna,Nagcarlan,6,8,2,10,-,8,7,4,10,12,67,
IV-A (CALABARZON),Laguna,Paete,6,5,4,4,1,4,10,3,4,6,47,
IV-A (CALABARZON),Laguna,Pagsanjan,6,9,10,8,2,4,6,15,11,7,78,
IV-A (CALABARZON),Laguna,Pakil,5,7,1,2,-,1,1,2,-,4,23,
IV-A (CALABARZON),Laguna,Pangil,4,4,1,8,-,7,1,3,11,4,43,
IV-A (CALABARZON),Laguna,Pila,10,6,6,10,-,7,6,8,6,7,66,
IV-A (CALABARZON),Laguna,Rizal,3,5,11,2,1,4,3,3,3,4,39,
IV-A (CALABARZON),Laguna,San Pablo City,50,39,74,71,10,46,48,43,53,68,502,
IV-A (CALABARZON),Laguna,San Pedro,106,93,116,138,22,98,110,111,143,129,1066,
IV-A (CALABARZON),Laguna,Santa Cruz (Capital),26,37,33,39,3,20,27,18,29,25,257,
IV-A (CALABARZON),Laguna,Santa Maria,2,3,2,2,1,-,3,2,-,3,18,
IV-A (CALABARZON),Laguna,Santa Rosa,67,67,86,75,13,58,85,78,79,94,702,
IV-A (CALABARZON),Laguna,Siniloan,1,7,7,7,1,-,1,1,3,5,33,
IV-A (CALABARZON),Laguna,Victoria,8,5,9,9,1,7,3,4,3,6,55,
IV-A (CALABARZON),Quezon,Agdangan,-,-,-,3,-,-,1,1,4,-,9,
IV-A (CALABARZON),Quezon,Alabat,-,2,-,-,-,-,-,-,-,-,2,
IV-A (CALABARZON),Quezon,Atimonan,6,2,7,8,-,5,5,6,6,7,52,
IV-A (CALABARZON),Quezon,Buenavista,2,-,-,-,-,-,2,-,-,-,4,
IV-A (CALABARZON),Quezon,Burdeos,-,-,-,-,-,-,-,-,1,-,1,
IV-A (CALABARZON),Quezon,Calauag,3,-,6,3,-,6,1,2,1,5,27,
IV-A (CALABARZON),Quezon,Candelaria,9,13,10,18,2,13,9,11,14,17,116,
IV-A (CALABARZON),Quezon,Catanauan,-,-,1,1,-,-,2,1,1,4,10,
IV-A (CALABARZON),Quezon,Dolores,4,4,8,5,1,-,1,3,2,4,32,
IV-A (CALABARZON),Quezon,General Luna,1,-,1,-,-,-,-,1,-,-,3,
IV-A (CALABARZON),Quezon,General Nakar,-,-,1,-,-,-,2,-,-,1,4,
IV-A (CALABARZON),Quezon,Guinayangan,-,-,-,1,-,4,-,2,1,1,9,
IV-A (CALABARZON),Quezon,Gumaca,6,5,6,7,1,3,2,9,5,4,48,
IV-A (CALABARZON),Quezon,Infanta,4,6,2,6,1,3,5,3,3,5,38,
IV-A (CALABARZON),Quezon,Jomalig,-,-,-,-,-,-,-,-,-,1,1,
IV-A (CALABARZON),Quezon,Lopez,2,1,3,4,1,1,6,6,2,4,30,
IV-A (CALABARZON),Quezon,Lucban,6,8,4,9,-,5,6,9,14,13,74,
IV-A (CALABARZON),Quezon,Lucena City (Capital),58,42,47,60,8,56,44,40,43,71,469,
IV-A (CALABARZON),Quezon,Macalelon,-,1,-,-,-,-,-,2,-,-,3,
IV-A (CALABARZON),Quezon,Mauban,1,1,4,3,1,1,4,6,3,1,25,
IV-A (CALABARZON),Quezon,Mulanay,-,1,-,-,-,4,1,1,2,1,10,
IV-A (CALABARZON),Quezon,Padre Burgos,-,-,-,1,-,-,1,1,1,-,4,
IV-A (CALABARZON),Quezon,Pagbilao,6,7,7,4,-,5,12,3,7,4,55,
IV-A (CALABARZON),Quezon,Panukulan,-,-,1,-,-,-,-,-,-,-,1,
IV-A (CALABARZON),Quezon,Perez,-,1,-,-,-,-,-,-,-,2,3,
IV-A (CALABARZON),Quezon,Pitogo,-,-,1,1,-,2,1,-,-,-,5,
IV-A (CALABARZON),Quezon,Plaridel,-,-,-,-,-,1,-,-,1,-,2,
IV-A (CALABARZON),Quezon,Polillo,-,-,-,1,-,-,2,3,4,-,10,
IV-A (CALABARZON),Quezon,Quezon,-,1,-,-,-,1,1,-,-,1,4,
IV-A (CALABARZON),Quezon,Real,-,1,1,2,-,2,3,6,2,3,20,
IV-A (CALABARZON),Quezon,Sampaloc,-,1,1,-,-,-,1,2,-,-,5,
IV-A (CALABARZON),Quezon,San Andres,-,1,1,-,-,-,1,-,1,2,6,
IV-A (CALABARZON),Quezon,San Antonio,2,1,3,1,-,-,-,4,4,6,21,
IV-A (CALABARZON),Quezon,San Francisco (Aurora),-,-,3,1,-,2,-,1,1,-,8,
IV-A (CALABARZON),Quezon,San Narciso,-,-,1,-,-,-,-,-,-,-,1,
IV-A (CALABARZON),Quezon,Sariaya,8,10,19,18,1,8,5,10,15,13,107,
IV-A (CALABARZON),Quezon,Tagkawayan,-,1,1,-,1,1,1,2,1,3,11,
IV-A (CALABARZON),Quezon,Tayabas,7,2,2,8,3,12,12,13,5,12,76,
IV-A (CALABARZON),Quezon,Tiaong,3,9,11,15,2,3,16,10,15,11,95,
IV-A (CALABARZON),Quezon,Unisan,1,-,1,-,-,1,-,-,-,-,3,
IV-A (CALABARZON),Rizal,Angono,28,37,32,37,3,29,26,32,27,27,278,
IV-A (CALABARZON),Rizal,City of Antipolo,140,162,190,178,15,173,169,205,215,211,1658,
IV-A (CALABARZON),Rizal,Baras,2,2,6,5,1,5,7,2,6,5,41,
IV-A (CALABARZON),Rizal,Binangonan,41,47,58,50,4,43,48,47,38,52,428,
IV-A (CALABARZON),Rizal,Cainta,77,92,117,141,13,93,133,115,110,140,1031,
IV-A (CALABARZON),Rizal,Cardona,10,14,8,9,2,6,12,11,7,12,91,
IV-A (CALABARZON),Rizal,Jala-Jala,1,-,3,3,1,1,5,2,-,3,19,
IV-A (CALABARZON),Rizal,Rodriguez (Montalban),43,37,43,55,3,60,59,61,73,70,504,
IV-A (CALABARZON),Rizal,Morong,15,15,19,14,4,12,17,15,9,7,127,
IV-A (CALABARZON),Rizal,Pililla,5,6,7,4,-,7,4,9,7,12,61,
IV-A (CALABARZON),Rizal,San Mateo,60,56,73,63,1,55,54,60,43,54,519,
IV-A (CALABARZON),Rizal,Tanay,12,19,22,16,1,20,24,8,17,16,155,
IV-A (CALABARZON),Rizal,Taytay,51,60,78,75,7,70,51,59,79,54,584,
IV-A (CALABARZON),Rizal,Teresa,4,7,6,6,-,3,9,9,2,11,57,
IV-A (CALABARZON),Rizal,No City or Municipality Reported,1,1,2,1,1,-,-,-,-,-,6,
IV-B (MIMAROPA),Marinduque,Boac (Capital),3,3,3,1,-,2,1,1,2,3,19,
IV-B (MIMAROPA),Marinduque,Buenavista,-,1,-,-,-,-,-,1,1,-,3,
IV-B (MIMAROPA),Marinduque,Gasan,1,3,4,1,-,3,2,1,1,2,18,
IV-B (MIMAROPA),Marinduque,Mogpog,-,-,1,2,2,1,1,2,2,-,11,
IV-B (MIMAROPA),Marinduque,Santa Cruz,2,1,1,1,-,1,2,1,2,2,13,
IV-B (MIMAROPA),Marinduque,Torrijos,-,1,1,1,-,1,-,-,-,2,6,
IV-B (MIMAROPA),Occidental Mindoro,Abra De Ilog,-,-,1,2,-,1,-,-,1,1,6,
IV-B (MIMAROPA),Occidental Mindoro,Calintaan,1,1,2,1,1,1,1,1,1,-,10,
IV-B (MIMAROPA),Occidental Mindoro,Looc,1,-,-,-,-,1,-,-,-,-,2,
IV-B (MIMAROPA),Occidental Mindoro,Lubang,-,-,1,-,-,-,-,-,-,-,1,
IV-B (MIMAROPA),Occidental Mindoro,Magsaysay,-,1,2,-,1,1,1,1,1,1,9,
IV-B (MIMAROPA),Occidental Mindoro,Mamburao (Capital),-,1,1,-,1,-,-,1,2,2,8,
IV-B (MIMAROPA),Occidental Mindoro,Paluan,-,-,-,-,-,1,1,1,-,-,3,
IV-B (MIMAROPA),Occidental Mindoro,Rizal,-,-,-,1,-,1,1,-,1,-,4,
IV-B (MIMAROPA),Occidental Mindoro,Sablayan,-,2,-,-,-,5,2,1,5,3,18,
IV-B (MIMAROPA),Occidental Mindoro,San Jose,5,7,12,5,1,6,13,7,11,12,79,
IV-B (MIMAROPA),Occidental Mindoro,Santa Cruz,-,-,-,2,-,-,-,2,-,1,5,
IV-B (MIMAROPA),Oriental Mindoro,Baco,-,3,4,2,-,3,2,1,2,6,23,
IV-B (MIMAROPA),Oriental Mindoro,Bansud,-,1,-,1,-,2,-,-,-,4,8,
IV-B (MIMAROPA),Oriental Mindoro,Bongabong,2,3,3,4,-,1,3,7,2,5,30,
IV-B (MIMAROPA),Oriental Mindoro,Bulalacao (San Pedro),-,-,1,-,-,-,-,-,-,1,2,
IV-B (MIMAROPA),Oriental Mindoro,City of Calapan (Capital),14,11,13,15,2,14,16,11,15,20,131,
IV-B (MIMAROPA),Oriental Mindoro,Gloria,1,2,5,1,-,-,2,4,6,2,23,
IV-B (MIMAROPA),Oriental Mindoro,Mansalay,-,-,2,2,-,-,1,1,2,4,12,
IV-B (MIMAROPA),Oriental Mindoro,Naujan,1,1,5,3,1,2,2,2,3,8,28,
IV-B (MIMAROPA),Oriental Mindoro,Pinamalayan,1,4,4,2,1,6,7,9,9,5,48,
IV-B (MIMAROPA),Oriental Mindoro,Pola,-,2,2,1,1,2,-,1,2,1,12,
IV-B (MIMAROPA),Oriental Mindoro,Puerto Galera,10,9,14,4,-,15,12,14,16,19,113,
IV-B (MIMAROPA),Oriental Mindoro,Roxas,2,3,1,6,-,4,5,8,1,4,34,
IV-B (MIMAROPA),Oriental Mindoro,San Teodoro,2,-,-,2,-,-,1,2,2,3,12,
IV-B (MIMAROPA),Oriental Mindoro,Socorro,2,3,2,1,-,2,3,2,5,3,23,
IV-B (MIMAROPA),Oriental Mindoro,Victoria,1,1,3,2,-,3,5,3,3,2,23,
IV-B (MIMAROPA),Palawan,Aborlan,1,2,-,2,-,2,2,2,1,1,13,
IV-B (MIMAROPA),Palawan,Bataraza,-,1,-,1,-,1,1,2,-,-,6,
IV-B (MIMAROPA),Palawan,Brooke`S Point,-,2,-,-,-,2,1,1,1,2,9,
IV-B (MIMAROPA),Palawan,Busuanga,1,1,-,-,-,-,-,-,-,2,4,
IV-B (MIMAROPA),Palawan,Cagayancillo,-,-,-,-,-,-,-,-,-,-,-,
IV-B (MIMAROPA),Palawan,Coron,2,-,1,-,-,-,2,-,1,1,7,
IV-B (MIMAROPA),Palawan,Cuyo,-,-,-,-,-,1,-,-,-,-,1,
IV-B (MIMAROPA),Palawan,El Nido (Bacuit),1,-,2,-,1,1,2,1,1,3,12,
IV-B (MIMAROPA),Palawan,Narra,3,6,1,1,1,2,2,4,-,3,23,
IV-B (MIMAROPA),Palawan,Puerto Princesa City (Capital),14,28,14,26,1,21,32,28,36,60,260,
IV-B (MIMAROPA),Palawan,Quezon,-,-,-,-,-,-,1,-,-,-,1,
IV-B (MIMAROPA),Palawan,Roxas,1,2,-,1,-,-,1,-,-,1,6,
IV-B (MIMAROPA),Palawan,San Vicente,-,1,-,1,-,1,-,-,1,-,4,
IV-B (MIMAROPA),Palawan,Taytay,-,-,2,-,-,-,1,1,1,1,6,
IV-B (MIMAROPA),Palawan,Culion,1,-,-,-,-,-,1,1,-,2,5,
IV-B (MIMAROPA),Palawan,Rizal (Marcos),-,1,-,1,-,-,-,-,-,2,4,
IV-B (MIMAROPA),Palawan,Sofronio Espa_ola,1,-,-,-,-,-,-,-,-,1,2,
IV-B (MIMAROPA),Romblon,Alcantara,-,-,-,-,-,-,2,2,-,-,4,
IV-B (MIMAROPA),Romblon,Cajidiocan,1,-,1,-,-,1,-,-,-,-,3,
IV-B (MIMAROPA),Romblon,Calatrava,-,-,-,1,-,-,1,-,1,1,4,
IV-B (MIMAROPA),Romblon,Concepcion,-,-,-,-,-,1,-,-,-,-,1,
IV-B (MIMAROPA),Romblon,Looc,1,2,1,-,-,-,-,1,-,1,6,
IV-B (MIMAROPA),Romblon,Magdiwang,-,-,1,-,-,1,-,-,2,1,5,
IV-B (MIMAROPA),Romblon,Odiongan,-,1,3,2,-,3,5,2,1,4,21,
IV-B (MIMAROPA),Romblon,Romblon (Capital),1,2,3,-,-,2,2,-,4,3,17,
IV-B (MIMAROPA),Romblon,San Agustin,-,-,-,1,-,1,-,-,-,-,2,
IV-B (MIMAROPA),Romblon,San Andres,-,-,-,-,-,-,-,-,-,1,1,
IV-B (MIMAROPA),Romblon,San Fernando,-,1,-,1,-,-,-,-,-,-,2,
IV-B (MIMAROPA),Romblon,San Jose,1,2,2,-,1,-,-,-,2,3,11,
IV-B (MIMAROPA),Romblon,Santa Fe,-,1,1,1,-,-,-,1,-,-,4,
IV-B (MIMAROPA),Romblon,Ferrol,-,3,1,-,-,1,-,-,-,2,7,
IV-B (MIMAROPA),Romblon,Santa Maria (Imelda),-,-,1,-,-,-,1,-,-,-,2,
IV-B (MIMAROPA),No City or Municipality Reported,No City or Municipality Reported,-,-,-,-,-,-,-,-,-,-,-,
V (Bicol Region),Albay,Bacacay,3,1,7,6,-,2,1,3,1,3,27,
V (Bicol Region),Albay,Camalig,4,3,3,4,-,6,-,2,3,-,25,
V (Bicol Region),Albay,Daraga (Locsin),5,18,8,11,1,4,12,6,12,9,86,
V (Bicol Region),Albay,Guinobatan,2,5,12,10,-,3,3,4,6,5,50,
V (Bicol Region),Albay,Jovellar,-,-,-,-,-,-,-,-,-,1,1,
V (Bicol Region),Albay,Legazpi City  (Capital),21,19,25,28,3,15,28,23,27,28,217,
V (Bicol Region),Albay,Libon,2,6,-,5,-,2,3,2,3,1,24,
V (Bicol Region),Albay,Ligao,5,8,9,9,2,1,3,4,7,4,52,
V (Bicol Region),Albay,Malilipot,3,2,4,3,-,-,-,1,-,1,14,
V (Bicol Region),Albay,Malinao,2,1,2,2,1,-,4,2,2,1,17,
V (Bicol Region),Albay,Manito,-,-,1,-,-,-,1,-,2,-,4,
V (Bicol Region),Albay,Oas,2,1,4,3,-,3,1,1,2,1,18,
V (Bicol Region),Albay,Pio Duran,1,4,1,2,-,4,4,2,2,1,21,
V (Bicol Region),Albay,Polangui,6,5,4,2,2,7,8,9,7,3,53,
V (Bicol Region),Albay,Rapu-Rapu,-,-,-,3,-,1,-,-,-,-,4,
V (Bicol Region),Albay,Santo Domingo (Libog),3,4,3,4,-,5,3,3,6,2,33,
V (Bicol Region),Albay,Tabaco,10,6,14,7,2,9,5,11,9,11,84,
V (Bicol Region),Albay,Tiwi,2,3,1,2,-,4,4,3,7,5,31,
V (Bicol Region),Camarines Norte,Basud,2,3,3,-,-,1,2,3,1,2,17,
V (Bicol Region),Camarines Norte,Capalonga,-,-,1,-,1,4,-,2,-,3,11,
V (Bicol Region),Camarines Norte,Daet (Capital),10,18,19,13,2,11,7,6,10,16,112,
V (Bicol Region),Camarines Norte,San Lorenzo Ruiz (Imelda),-,1,-,-,1,2,-,-,-,-,4,
V (Bicol Region),Camarines Norte,Jose Panganiban,2,4,6,2,-,4,4,2,1,3,28,
V (Bicol Region),Camarines Norte,Labo,4,2,3,7,-,2,6,3,7,6,40,
V (Bicol Region),Camarines Norte,Mercedes,2,5,2,2,-,3,2,2,4,1,23,
V (Bicol Region),Camarines Norte,Paracale,2,1,-,4,-,-,3,-,3,2,15,
V (Bicol Region),Camarines Norte,San Vicente,-,-,2,-,1,-,1,2,-,1,7,
V (Bicol Region),Camarines Norte,Santa Elena,-,3,2,2,-,1,-,-,1,-,9,
V (Bicol Region),Camarines Norte,Talisay,3,1,3,1,-,1,3,1,3,2,18,
V (Bicol Region),Camarines Norte,Vinzons,2,-,2,3,-,1,-,1,4,3,16,
V (Bicol Region),Camarines Sur,Baao,2,3,3,4,2,1,2,3,3,5,28,
V (Bicol Region),Camarines Sur,Balatan,2,-,-,3,-,-,-,-,-,1,6,
V (Bicol Region),Camarines Sur,Bato,3,2,3,-,-,2,1,4,2,3,20,
V (Bicol Region),Camarines Sur,Bombon,1,5,3,1,-,-,-,-,1,2,13,
V (Bicol Region),Camarines Sur,Buhi,5,1,5,6,2,5,5,3,3,5,40,
V (Bicol Region),Camarines Sur,Bula,1,-,1,4,-,1,2,2,5,1,17,
V (Bicol Region),Camarines Sur,Cabusao,-,2,1,2,1,1,-,2,2,-,11,
V (Bicol Region),Camarines Sur,Calabanga,7,4,7,5,1,5,6,8,4,7,54,
V (Bicol Region),Camarines Sur,Camaligan,3,3,1,5,1,6,2,-,1,6,28,
V (Bicol Region),Camarines Sur,Canaman,2,5,4,4,1,6,7,4,6,4,43,
V (Bicol Region),Camarines Sur,Caramoan,-,1,-,-,-,1,1,-,-,1,4,
V (Bicol Region),Camarines Sur,Del Gallego,-,-,-,-,-,-,2,-,-,1,3,
V (Bicol Region),Camarines Sur,Gainza,1,-,-,-,-,-,-,-,-,-,1,
