region,province,municipality,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage
II (Cagayan Valley),Cagayan,Buguey,3,-,2,3,-,2,-,2,2,3,17,
II (Cagayan Valley),Cagayan,Calayan,-,-,-,-,-,-,-,1,-,-,1,
II (Cagayan Valley),Cagayan,Camalaniugan,1,2,2,2,-,2,1,-,1,1,12,
II (Cagayan Valley),Cagayan,Claveria,3,4,3,7,-,7,8,5,6,4,47,
II (Cagayan Valley),Cagayan,Enrile,2,1,1,7,-,2,1,3,2,1,20,
II (Cagayan Valley),Cagayan,Gattaran,5,5,3,5,-,4,3,5,2,2,34,
II (Cagayan Valley),Cagayan,Gonzaga,5,4,5,-,-,1,3,-,6,3,27,
II (Cagayan Valley),Cagayan,Iguig,-,3,2,1,1,1,-,1,1,-,10,
II (Cagayan Valley),Cagayan,Lal-Lo,1,5,2,1,-,3,2,2,4,4,24,
II (Cagayan Valley),Cagayan,Lasam,1,1,4,-,1,1,3,2,3,5,21,
II (Cagayan Valley),Cagayan,Pamplona,1,1,2,-,-,1,2,2,-,2,11,
II (Cagayan Valley),Cagayan,Penablanca,-,3,1,3,1,2,5,3,2,4,24,
II (Cagayan Valley),Cagayan,Piat,1,-,-,-,-,3,2,1,-,4,11,
II (Cagayan Valley),Cagayan,Rizal,-,1,2,1,-,-,1,1,-,-,6,
II (Cagayan Valley),Cagayan,Sanchez-Mira,2,2,5,5,2,2,5,4,3,4,34,
II (Cagayan Valley),Cagayan,Santa Ana,2,5,2,4,-,1,4,-,2,2,22,
II (Cagayan Valley),Cagayan,Santa Praxedes,-,-,2,1,1,2,-,-,-,-,6,
II (Cagayan Valley),Cagayan,Santa Teresita,-,-,-,-,-,1,2,1,2,-,6,
II (Cagayan Valley),Cagayan,Santo Nino (Faire),-,-,1,1,-,-,1,-,-,2,5,
II (Cagayan Valley),Cagayan,Solana,1,3,3,5,1,2,-,1,4,5,25,
II (Cagayan Valley),Cagayan,Tuao,3,4,4,4,-,1,3,2,3,5,29,
II (Cagayan Valley),Cagayan,Tuguegarao (Capital),20,10,30,12,1,29,23,16,28,26,195,
II (Cagayan Valley),Isabela,Alicia,9,7,7,4,-,4,6,7,7,7,58,
II (Cagayan Valley),Isabela,Angadanan,3,3,1,2,1,2,1,1,4,2,20,
II (Cagayan Valley),Isabela,Aurora,2,3,2,5,-,4,3,3,1,3,26,
II (Cagayan Valley),Isabela,Benito Soliven,-,-,1,1,-,1,-,-,-,1,4,
II (Cagayan Valley),Isabela,Burgos,3,3,1,2,1,1,1,3,4,3,22,
II (Cagayan Valley),Isabela,Cabagan,1,2,7,5,1,3,7,3,7,4,40,
II (Cagayan Valley),Isabela,Cabatuan,2,9,4,9,2,7,4,4,3,8,52,
II (Cagayan Valley),Isabela,Cauayan,9,10,10,13,4,9,13,15,15,9,107,
II (Cagayan Valley),Isabela,Cordon,2,2,6,4,-,3,2,2,4,5,30,
II (Cagayan Valley),Isabela,Divilican,-,-,-,1,-,-,-,-,-,-,1,
II (Cagayan Valley),Isabela,Echague,3,3,4,2,-,2,6,7,3,6,36,
II (Cagayan Valley),Isabela,Gamu,3,3,2,3,1,1,2,3,2,3,23,
II (Cagayan Valley),Isabela,Ilagan (Capital),6,6,7,4,1,10,9,5,13,7,68,
II (Cagayan Valley),Isabela,Jones,2,1,3,3,1,3,6,5,1,3,28,
II (Cagayan Valley),Isabela,Luna,3,-,3,4,1,2,1,2,3,6,25,
II (Cagayan Valley),Isabela,Maconacon,-,-,-,-,-,-,-,-,-,-,-,
II (Cagayan Valley),Isabela,Delfin Albano (Magsaysay),2,-,3,2,-,2,6,3,2,3,23,
II (Cagayan Valley),Isabela,Mallig,2,3,3,2,-,1,1,2,1,2,17,
II (Cagayan Valley),Isabela,Naguilian,1,1,3,3,-,1,3,2,-,4,18,
II (Cagayan Valley),Isabela,Palanan,-,-,-,-,-,1,-,-,-,1,2,
II (Cagayan Valley),Isabela,Quezon,2,2,1,-,-,-,1,2,-,-,8,
II (Cagayan Valley),Isabela,Quirino,-,2,2,2,2,1,1,-,1,1,12,
II (Cagayan Valley),Isabela,Ramon,5,6,5,5,2,3,7,3,2,6,44,
II (Cagayan Valley),Isabela,Reina Mercedes,1,2,2,1,-,2,1,2,4,3,18,
II (Cagayan Valley),Isabela,Roxas,2,6,4,6,-,5,4,4,4,12,47,
II (Cagayan Valley),Isabela,San Agustin,-,3,-,1,-,2,-,4,1,-,11,
II (Cagayan Valley),Isabela,San Guillermo,1,1,-,-,-,1,1,-,-,-,4,
II (Cagayan Valley),Isabela,San Isidro,2,5,2,4,-,1,2,1,-,3,20,
II (Cagayan Valley),Isabela,San Manuel,1,3,3,5,1,2,2,3,2,3,25,
II (Cagayan Valley),Isabela,San Mariano,4,1,1,3,1,2,5,-,-,1,18,
II (Cagayan Valley),Isabela,San Mateo,5,3,7,4,1,4,14,9,8,6,61,
II (Cagayan Valley),Isabela,San Pablo,2,3,2,1,-,2,1,1,4,-,16,
II (Cagayan Valley),Isabela,Santa Maria,1,-,2,-,-,-,-,-,-,1,4,
II (Cagayan Valley),Isabela,City of Santiago,16,20,24,23,4,16,20,13,24,28,188,
II (Cagayan Valley),Isabela,Santo Tomas,2,1,2,1,-,1,3,6,1,4,21,
II (Cagayan Valley),Isabela,Tumauini,3,7,6,4,-,3,9,2,6,9,49,
II (Cagayan Valley),Nueva Vizcaya,Ambaguio,-,-,-,-,-,-,-,-,-,-,-,
II (Cagayan Valley),Nueva Vizcaya,Aritao,3,1,3,5,-,1,2,1,2,5,23,
II (Cagayan Valley),Nueva Vizcaya,Bagabag,7,5,4,7,1,7,5,-,6,10,52,
II (Cagayan Valley),Nueva Vizcaya,Bambang,10,3,8,5,1,3,6,10,7,6,59,
II (Cagayan Valley),Nueva Vizcaya,Bayombong (Capital),6,7,9,10,3,8,14,15,6,11,89,
II (Cagayan Valley),Nueva Vizcaya,Diadi,1,2,1,1,1,2,1,1,2,2,14,
II (Cagayan Valley),Nueva Vizcaya,Dupax Del Norte,3,5,-,-,-,-,2,3,4,3,20,
II (Cagayan Valley),Nueva Vizcaya,Dupax Del Sur,2,2,4,2,-,-,2,1,-,-,13,
II (Cagayan Valley),Nueva Vizcaya,Kasibu,-,-,-,-,-,-,1,-,-,1,2,
II (Cagayan Valley),Nueva Vizcaya,Kayapa,-,-,-,-,-,-,1,1,-,-,2,
II (Cagayan Valley),Nueva Vizcaya,Quezon,1,1,-,-,-,-,-,-,1,-,3,
