country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage
USA,3314,5549,8921,8676,8235,6733,5564,6743,6496,4755,5390,5642,6898,7724,7022,8165,8621,10190,11789,8333,10111,9411,9442,10194,183918,42.36
Japan,2149,4820,4910,5147,5448,4901,6374,5932,4814,4240,4547,5146,5250,5464,5297,5430,6322,8601,6114,4142,3197,2698,2322,2105,115370,26.57
Australia,1401,1370,1423,1482,1892,1536,1444,1358,1191,1253,1210,1067,1304,1271,1239,1414,1677,1541,1267,1348,1596,1489,1659,1853,34285,7.9
Canada,225,238,479,573,713,773,844,818,623,681,765,549,711,660,915,872,974,988,978,1011,960,1089,1061,990,18490,4.26
Germany,137,382,596,662,967,924,843,757,774,724,680,655,624,604,540,443,467,528,441,417,471,521,542,616,14315,3.3
South Korea,4,14,10,19,46,37,80,337,290,303,456,232,311,442,375,486,725,415,804,809,1551,1694,1903,1754,13097,3.02
UK,170,353,368,286,212,199,227,243,308,353,346,255,275,327,319,414,506,619,600,500,556,702,736,818,9692,2.23
Taiwan,38,132,206,215,439,483,616,660,619,516,561,451,461,440,287,251,293,282,207,195,261,247,292,301,8453,1.95
Sweden,24,59,69,61,74,112,93,86,117,121,106,117,126,183,187,207,210,278,269,256,343,306,279,339,4022,0.93
Norway,12,36,31,33,42,36,48,89,137,204,169,150,171,193,227,244,222,284,314,253,275,209,313,307,3999,0.92
Others,345,903,990,1186,1285,1114,1316,1553,1476,1338,1089,904,918,988,991,1007,1083,1178,1144,1172,1289,1410,1685,2132,28496,6.56
Total,7819,13856,18003,18340,19353,16848,17449,18576,16845,14488,15319,15168,17049,18296,17399,18933,21100,24904,23927,18436,20610,19776,20234,21409,434137,100
Percent Change,,77.2,29.9,1.9,5.5,-12.9,3.6,6.5,-9.3,-14,5.7,-1,12.4,7.3,-4.9,8.8,11.4,18,-3.9,-22.9,11.8,-4,2.3,5.8,-,-
