gender,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage
Male,13,152,1506,1934,2275,2194,1524,1715,1604,1150,1307,1302,1620,1606,1666,1687,1818,1408,2199,1582,1807,1761,1645,1940,37415,8.62
Female,7806,13704,16497,16406,17078,14654,15925,16861,15241,13338,14012,13866,15429,16690,15733,17356,19282,23496,21618,16854,18803,18015,18589,19469,396722,91.38
Year Total,7819,13856,18003,18340,19353,16848,17449,18576,16845,14488,15319,15168,17049,18296,17399,18933,21100,24904,23927,18436,20610,19776,20234,21409,434137,100
