city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Impasug-ong,Councilor,"Pepito, Maria Norly Tasani",Norly,Bangon Pilipinas Party,10278
Impasug-ong,Councilor,"Pad-Ay, Henry Bulintao",Henry,Bangon Pilipinas Party,9026
Impasug-ong,Councilor,"Jitgano, Miguel Dadong",Eggy,Bangon Pilipinas Party,7570
Impasug-ong,Councilor,"Gante, Raymundo Tabian",Totoy,Bangon Pilipinas Party,6260
Impasug-ong,Councilor,"Bangis, Eriberto Danico",Bert,Bangon Pilipinas Party,5395
Impasug-ong,Councilor,"Fernandez, Antonio Equid",Tanie,Bangon Pilipinas Party,5292
Kadingilan,Mayor,"Canoy, Jerry Sr. Obial",Jer,Independent,9762
Kadingilan,Vice-Mayor,"Baliguat, Nestor Sr. Mejorada",Nes,Bangon Pilipinas Party,8740
Kadingilan,Councilor,"Bag-Ao, Julio Datoy",Oyoy,Independent,8422
Kadingilan,Councilor,"Canoy, Magno Jr. Obial",Jun,Independent,7993
Kadingilan,Councilor,"Lu, Jean Hallasgo",Jean,Independent,7301
Kadingilan,Councilor,"Jovellar, Helbert Abaday",Jovi,Independent,7214
Kadingilan,Councilor,"Bullecer, Gilbert Pates",Gibs,Bangon Pilipinas Party,7131
Kadingilan,Councilor,"Tadeo, Segundo Jr. Robles",Jhun,Bangon Pilipinas Party,7070
Kadingilan,Councilor,"Damasing, Marybeth Canoy",Abeth,Independent,7067
Kadingilan,Councilor,"Ani, Ramil Sr. Layam",Ramil,Bangon Pilipinas Party,6998
Kalilangan,Mayor,"Pizarro, Omaradji Castro",Radji,Independent,8365
Kalilangan,Vice-Mayor,"Quintila, Danny Ferrer",Gamay,Independent,8099
Kalilangan,Councilor,"Padsing, Joel Logang-A",Joel,Independent,8050
Kalilangan,Councilor,"Germia, Maria Aurora Gloria Taco",Ma'Am Germia,Bangon Pilipinas Party,7658
Kalilangan,Councilor,"Padsing, Johnny Sr. Padanon",Bestfriend,Bangon Pilipinas Party,7240
Kalilangan,Councilor,"Navarro, George Balayo",George,Bangon Pilipinas Party,6658
Kalilangan,Councilor,"Piquero, Anacorito Vallentos",Sir Peks,Bangon Pilipinas Party,6629
Kalilangan,Councilor,"Nacasabog, Alpio, Jr. Gamba",Toto,Bangon Pilipinas Party,6216
Kalilangan,Councilor,"Campugan, Hadrian Charles Redoblado",Bong,Bangon Pilipinas Party,6140
Kalilangan,Councilor,"Eleazar, Karl Sylvester Concemino",Karl,Independent,6129
Kibawe,Mayor,"Casinabe, Minerva Camello",Bing2X,Bangon Pilipinas Party,9673
Kibawe,Vice-Mayor,"Ligan, Luciano Guipetacio",Loloy,Bangon Pilipinas Party,10410
Kibawe,Councilor,"Batao, Raymundo Jr. Avellanosa",Nonong,Bangon Pilipinas Party,8392
Kibawe,Councilor,"Tumongcay, Penuel Yacapin",Penuel,Bangon Pilipinas Party,7616
Kibawe,Councilor,"Montalbo, Desideria Yting",Inday Daria,Bangon Pilipinas Party,7100
Kibawe,Councilor,"Solis, Baltazar Pangahin",Nazar,Bangon Pilipinas Party,6575
Kibawe,Councilor,"Laswe, Amado Sr. Tac-An",Mado,Bangon Pilipinas Party,5879
Kibawe,Councilor,"Tubog, Bienvenido Roy",Dodong,Bangon Pilipinas Party,5697
Kibawe,Councilor,"Cabug-Os, Gregoria Sacay",Gerlie,Bangon Pilipinas Party,5507
Kibawe,Councilor,"Lauron, Jovencio Flor",Vens,Bangon Pilipinas Party,5428
Kitaotao,Mayor,"Gawilan, Lorenzo Jr. Ayubat",Tata,Bangon Pilipinas Party,10338
Kitaotao,Vice-Mayor,"Rafisura, Rodito Beltran",Boy,Bangon Pilipinas Party,9683
Kitaotao,Councilor,"Abucayan, Edwin Pajo",Able,Bangon Pilipinas Party,8506
Kitaotao,Councilor,"Gumahin, Rey Rafisura",Rey,Bangon Pilipinas Party,8192
Kitaotao,Councilor,"Tambog, Rufino Liwanan",Rufino,Bangon Pilipinas Party,7712
Kitaotao,Councilor,"Ubanan, Joel Gubaton",Joy-Joy,Bangon Pilipinas Party,7614
Kitaotao,Councilor,"Gawilan, Monte Ayubat",Mon,Bangon Pilipinas Party,6708
Kitaotao,Councilor,"Nala, Villarosa Paderanga",Inday,Bangon Pilipinas Party,6530
