educational_attainment,number_of_registered_participants
High School Level,71
High School Graduate,387
Vocational Level,64
Vocational Graduate,264
College Level,496
College Graduate,1055
Post Graduate Level,5
Post Graduate,1
Not Reported or No Response,5
Total by Educational Attainment,2348
