region,province,city_or_municipality,2012
IV-B (MIMAROPA),Oriental Mindoro,Roxas,1
IV-B (MIMAROPA),Oriental Mindoro,San Teodoro,0
IV-B (MIMAROPA),Oriental Mindoro,Socorro,0
IV-B (MIMAROPA),Oriental Mindoro,Victoria,0
IV-B (MIMAROPA),Oriental Mindoro,Total Oriental Mindoro,14
IV-B (MIMAROPA),Palawan,Aborlan,0
IV-B (MIMAROPA),Palawan,Bataraza,0
IV-B (MIMAROPA),Palawan,Brooke's Point,0
IV-B (MIMAROPA),Palawan,Busuanga,0
IV-B (MIMAROPA),Palawan,Cagayancillo,0
IV-B (MIMAROPA),Palawan,Coron,0
IV-B (MIMAROPA),Palawan,Cuyo,0
IV-B (MIMAROPA),Palawan,El Nido (Bacuit),0
IV-B (MIMAROPA),Palawan,Narra,0
IV-B (MIMAROPA),Palawan,Puerto Princesa City (Capital),1
IV-B (MIMAROPA),Palawan,Quezon,0
IV-B (MIMAROPA),Palawan,Roxas,1
IV-B (MIMAROPA),Palawan,San Vicente,0
IV-B (MIMAROPA),Palawan,Taytay,0
IV-B (MIMAROPA),Palawan,Culion,0
IV-B (MIMAROPA),Palawan,Rizal (Marcos),0
IV-B (MIMAROPA),Palawan,Sofronio Espanola,0
IV-B (MIMAROPA),Palawan,Total Palawan,2
IV-B (MIMAROPA),Romblon,Alcantara,0
IV-B (MIMAROPA),Romblon,Cajidiocan,0
IV-B (MIMAROPA),Romblon,Calatrava,0
IV-B (MIMAROPA),Romblon,Concepcion,0
IV-B (MIMAROPA),Romblon,Looc,0
IV-B (MIMAROPA),Romblon,Magdiwang,0
IV-B (MIMAROPA),Romblon,Odiongan,0
IV-B (MIMAROPA),Romblon,Romblon (Capital),0
IV-B (MIMAROPA),Romblon,San Agustin,0
IV-B (MIMAROPA),Romblon,San Andres,0
IV-B (MIMAROPA),Romblon,San Fernando,0
IV-B (MIMAROPA),Romblon,San Jose,0
IV-B (MIMAROPA),Romblon,Santa Fe,0
IV-B (MIMAROPA),Romblon,Ferrol,0
IV-B (MIMAROPA),Romblon,Santa Maria (Imelda),0
IV-B (MIMAROPA),Romblon,Total Romblon,0
IV-B (MIMAROPA),No City/Municipality Reported,No City/Municipality Reported,0
IV-B (MIMAROPA),Total MIMAROPA,Total MIMAROPA,20
V (Bicol Region),Albay,Bacacay,1
V (Bicol Region),Albay,Camalig,0
V (Bicol Region),Albay,Daraga (Locsin),0
V (Bicol Region),Albay,Guinobatan,0
V (Bicol Region),Albay,Jovellar,0
V (Bicol Region),Albay,Legazpi City  (Capital),3
V (Bicol Region),Albay,Libon,0
V (Bicol Region),Albay,Ligao,0
V (Bicol Region),Albay,Malilipot,0
V (Bicol Region),Albay,Malinao,1
V (Bicol Region),Albay,Manito,0
V (Bicol Region),Albay,Oas,0
V (Bicol Region),Albay,Pio Duran,0
V (Bicol Region),Albay,Polangui,0
V (Bicol Region),Albay,Rapu-Rapu,0
V (Bicol Region),Albay,Santo Domingo (Libog),0
V (Bicol Region),Albay,Tabaco,0
V (Bicol Region),Albay,Tiwi,0
V (Bicol Region),Albay,Total Albay,5
V (Bicol Region),Camarines Norte,Basud,0
V (Bicol Region),Camarines Norte,Capalonga,0
V (Bicol Region),Camarines Norte,Daet (Capital),1
V (Bicol Region),Camarines Norte,San Lorenzo Ruiz (Imelda),0
V (Bicol Region),Camarines Norte,Jose Panganiban,1
V (Bicol Region),Camarines Norte,Labo,1
V (Bicol Region),Camarines Norte,Mercedes,0
V (Bicol Region),Camarines Norte,Paracale,1
V (Bicol Region),Camarines Norte,San Vicente,0
V (Bicol Region),Camarines Norte,Santa Elena,0
V (Bicol Region),Camarines Norte,Talisay,0
V (Bicol Region),Camarines Norte,Vinzons,0
V (Bicol Region),Camarines Norte,Total Camarines Norte,4
V (Bicol Region),Camarines Sur,Baao,1
V (Bicol Region),Camarines Sur,Balatan,0
V (Bicol Region),Camarines Sur,Bato,0
V (Bicol Region),Camarines Sur,Bombon,0
V (Bicol Region),Camarines Sur,Buhi,1
V (Bicol Region),Camarines Sur,Bula,1
V (Bicol Region),Camarines Sur,Cabusao,0
V (Bicol Region),Camarines Sur,Calabanga,1
V (Bicol Region),Camarines Sur,Camaligan,5
V (Bicol Region),Camarines Sur,Canaman,0
V (Bicol Region),Camarines Sur,Caramoan,0
V (Bicol Region),Camarines Sur,Del Gallego,0
V (Bicol Region),Camarines Sur,Gainza,0
V (Bicol Region),Camarines Sur,Garchitorena,0
V (Bicol Region),Camarines Sur,Goa,0
V (Bicol Region),Camarines Sur,Iriga City,3
V (Bicol Region),Camarines Sur,Lagonoy,0
V (Bicol Region),Camarines Sur,Libmanan,1
V (Bicol Region),Camarines Sur,Lupi,0
V (Bicol Region),Camarines Sur,Magarao,0
V (Bicol Region),Camarines Sur,Milaor,0
V (Bicol Region),Camarines Sur,Minalabac,1
V (Bicol Region),Camarines Sur,Nabua,0
V (Bicol Region),Camarines Sur,Naga City,7
V (Bicol Region),Camarines Sur,Ocampo,0
V (Bicol Region),Camarines Sur,Pamplona,0
V (Bicol Region),Camarines Sur,Pasacao,0
V (Bicol Region),Camarines Sur,Pili (Capital),0
V (Bicol Region),Camarines Sur,Presentacion (Parubcan),0
V (Bicol Region),Camarines Sur,Ragay,0
V (Bicol Region),Camarines Sur,Sagnay,0
V (Bicol Region),Camarines Sur,San Fernando,0
V (Bicol Region),Camarines Sur,San Jose,0
V (Bicol Region),Camarines Sur,Sipocot,1
V (Bicol Region),Camarines Sur,Siruma,0
V (Bicol Region),Camarines Sur,Tigaon,0
V (Bicol Region),Camarines Sur,Tinambac,0
V (Bicol Region),Camarines Sur,Total Camarines Sur,22
V (Bicol Region),Catanduanes,Bagamanoc,0
V (Bicol Region),Catanduanes,Baras,0
V (Bicol Region),Catanduanes,Bato,0
V (Bicol Region),Catanduanes,Caramoran,0
V (Bicol Region),Catanduanes,Gigmoto,0
V (Bicol Region),Catanduanes,Pandan,0
V (Bicol Region),Catanduanes,Panganiban (Payo),0
V (Bicol Region),Catanduanes,San Andres (Calolbon),1
V (Bicol Region),Catanduanes,San Miguel,0
V (Bicol Region),Catanduanes,Viga,1
V (Bicol Region),Catanduanes,Virac (Capital),0
V (Bicol Region),Catanduanes,Total Catanduanes,2
V (Bicol Region),Masbate,Aroroy,0
V (Bicol Region),Masbate,Baleno,0
V (Bicol Region),Masbate,Balud,0
V (Bicol Region),Masbate,Batuan,0
V (Bicol Region),Masbate,Cataingan,0
V (Bicol Region),Masbate,Cawayan,0
V (Bicol Region),Masbate,Claveria,0
V (Bicol Region),Masbate,Dimasalang,0
V (Bicol Region),Masbate,Esperanza,1
V (Bicol Region),Masbate,Mandaon,0
V (Bicol Region),Masbate,Masbate (Capital),1
V (Bicol Region),Masbate,Milagros,0
V (Bicol Region),Masbate,Mobo,0
V (Bicol Region),Masbate,Monreal,0
V (Bicol Region),Masbate,Palanas,0
V (Bicol Region),Masbate,Pio V. Corpuz (Limbuhan),0
V (Bicol Region),Masbate,Placer,0
V (Bicol Region),Masbate,San Fernando,0
V (Bicol Region),Masbate,San Jacinto,0
V (Bicol Region),Masbate,San Pascual,0
V (Bicol Region),Masbate,Uson,0
V (Bicol Region),Masbate,Total Masbate,2
V (Bicol Region),Sorsogon,Bacon,0
V (Bicol Region),Sorsogon,Barcelona,0
V (Bicol Region),Sorsogon,Bulan,0
V (Bicol Region),Sorsogon,Bulusan,0
V (Bicol Region),Sorsogon,Casiguran,0
V (Bicol Region),Sorsogon,Castilla,1
V (Bicol Region),Sorsogon,Donsol,1
V (Bicol Region),Sorsogon,Gubat,0
V (Bicol Region),Sorsogon,Irosin,0
V (Bicol Region),Sorsogon,Juban,1
V (Bicol Region),Sorsogon,Magallanes,0
V (Bicol Region),Sorsogon,Matnog,0
V (Bicol Region),Sorsogon,Pilar,0
V (Bicol Region),Sorsogon,Prieto Diaz,0
V (Bicol Region),Sorsogon,Santa Magdalena,0
V (Bicol Region),Sorsogon,Sorsogon (Capital),0
V (Bicol Region),Sorsogon,Total Sorsogon,3
V (Bicol Region),No City/Municipality Reported,No City/Municipality Reported,0
V (Bicol Region),Total Bicol Region,Total Bicol Region,38
VI (Western Visayas),Aklan,Altavas,0
VI (Western Visayas),Aklan,Balete,1
VI (Western Visayas),Aklan,Banga,1
VI (Western Visayas),Aklan,Batan,0
VI (Western Visayas),Aklan,Buruanga,0
VI (Western Visayas),Aklan,Ibajay,2
VI (Western Visayas),Aklan,Kalibo (Capital),3
VI (Western Visayas),Aklan,Lezo,0
VI (Western Visayas),Aklan,Libacao,2
VI (Western Visayas),Aklan,Madalag,0
VI (Western Visayas),Aklan,Makato,0
VI (Western Visayas),Aklan,Malay,0
VI (Western Visayas),Aklan,Malinao,1
VI (Western Visayas),Aklan,Nabas,1
VI (Western Visayas),Aklan,New Washington,0
VI (Western Visayas),Aklan,Numancia,1
VI (Western Visayas),Aklan,Tangalan,1
VI (Western Visayas),Aklan,Total Aklan,13
VI (Western Visayas),Antique,Anini-Y,0
VI (Western Visayas),Antique,Barbaza,1
VI (Western Visayas),Antique,Belison,0
VI (Western Visayas),Antique,Bugasong,2
VI (Western Visayas),Antique,Caluya,2
VI (Western Visayas),Antique,Culasi,1
VI (Western Visayas),Antique,Tobias Fornier (Dao),3
VI (Western Visayas),Antique,Hamtic,2
VI (Western Visayas),Antique,Laua-An,0
VI (Western Visayas),Antique,Libertad,0
VI (Western Visayas),Antique,Pandan,2
VI (Western Visayas),Antique,Patnongon,1
VI (Western Visayas),Antique,San Jose (Capital),3
VI (Western Visayas),Antique,San Remigio,0
VI (Western Visayas),Antique,Sebaste,1
VI (Western Visayas),Antique,Sibalom,4
VI (Western Visayas),Antique,Tibiao,0
VI (Western Visayas),Antique,Valderrama,0
VI (Western Visayas),Antique,Total Antique,22
VI (Western Visayas),Capiz,Cuartero,1
VI (Western Visayas),Capiz,Dao,0
VI (Western Visayas),Capiz,Dumalag,1
VI (Western Visayas),Capiz,Dumarao,4
VI (Western Visayas),Capiz,Ivisan,4
VI (Western Visayas),Capiz,Jamindan,1
VI (Western Visayas),Capiz,Ma-Ayon,0
VI (Western Visayas),Capiz,Mambusao,1
VI (Western Visayas),Capiz,Panay,1
VI (Western Visayas),Capiz,Panitan,1
VI (Western Visayas),Capiz,Pilar,1
VI (Western Visayas),Capiz,Pontevedra,2
VI (Western Visayas),Capiz,President Roxas,0
VI (Western Visayas),Capiz,Roxas City (Capital),9
VI (Western Visayas),Capiz,Sapi-An,0
VI (Western Visayas),Capiz,Sigma,0
VI (Western Visayas),Capiz,Tapaz,0
VI (Western Visayas),Capiz,Total Capiz,26
VI (Western Visayas),Iloilo,Ajuy,0
VI (Western Visayas),Iloilo,Alimodian,2
VI (Western Visayas),Iloilo,Anilao,2
VI (Western Visayas),Iloilo,Badiangan,1
VI (Western Visayas),Iloilo,Balasan,1
VI (Western Visayas),Iloilo,Banate,3
VI (Western Visayas),Iloilo,Barotac Nuevo,2
VI (Western Visayas),Iloilo,Barotac Viejo,0
VI (Western Visayas),Iloilo,Batad,0
VI (Western Visayas),Iloilo,Bingawan,2
VI (Western Visayas),Iloilo,Cabatuan,6
VI (Western Visayas),Iloilo,Calinog,3
VI (Western Visayas),Iloilo,Carles,0
VI (Western Visayas),Iloilo,Concepcion,1
VI (Western Visayas),Iloilo,Dingle,5
VI (Western Visayas),Iloilo,Duenas,1
VI (Western Visayas),Iloilo,Dumangas,4
VI (Western Visayas),Iloilo,Estancia,2
VI (Western Visayas),Iloilo,Guimbal,3
VI (Western Visayas),Iloilo,Igbaras,1
VI (Western Visayas),Iloilo,Iloilo City (Capital),28
VI (Western Visayas),Iloilo,Janiuay,4
VI (Western Visayas),Iloilo,Lambunao,4
VI (Western Visayas),Iloilo,Leganes,0
VI (Western Visayas),Iloilo,Lemery,1
VI (Western Visayas),Iloilo,Leon,2
VI (Western Visayas),Iloilo,Maasin,0
VI (Western Visayas),Iloilo,Miagao,8
VI (Western Visayas),Iloilo,Mina,0
VI (Western Visayas),Iloilo,New Lucena,1
VI (Western Visayas),Iloilo,Oton,5
VI (Western Visayas),Iloilo,City of Passi,3
VI (Western Visayas),Iloilo,Pavia,1
VI (Western Visayas),Iloilo,Pototan,3
VI (Western Visayas),Iloilo,San Dionisio,0
VI (Western Visayas),Iloilo,San Enrique,0
VI (Western Visayas),Iloilo,San Joaquin,3
VI (Western Visayas),Iloilo,San Miguel,3
VI (Western Visayas),Iloilo,San Rafael,0
VI (Western Visayas),Iloilo,Santa Barbara,8
VI (Western Visayas),Iloilo,Sara,0
VI (Western Visayas),Iloilo,Tigbauan,3
VI (Western Visayas),Iloilo,Tubungan,1
VI (Western Visayas),Iloilo,Zarraga,0
VI (Western Visayas),Iloilo,Total Iloilo,117
VI (Western Visayas),Negros Occidental,Bacolod City (Capital),15
VI (Western Visayas),Negros Occidental,Bago City,1
VI (Western Visayas),Negros Occidental,Binalbagan,1
VI (Western Visayas),Negros Occidental,Cadiz City,1
VI (Western Visayas),Negros Occidental,Calatrava,1
VI (Western Visayas),Negros Occidental,Candoni,0
VI (Western Visayas),Negros Occidental,Cauayan,2
VI (Western Visayas),Negros Occidental,Enrique B. Magalona (Saravia),2
VI (Western Visayas),Negros Occidental,Escalante,1
VI (Western Visayas),Negros Occidental,Himamaylan,2
VI (Western Visayas),Negros Occidental,Hinigaran,3
VI (Western Visayas),Negros Occidental,Hinoba-An (Asia),0
VI (Western Visayas),Negros Occidental,Ilog,0
VI (Western Visayas),Negros Occidental,Isabela,0
VI (Western Visayas),Negros Occidental,City of Kabankalan,1
VI (Western Visayas),Negros Occidental,La Carlota City,1
VI (Western Visayas),Negros Occidental,La Castellana,1
VI (Western Visayas),Negros Occidental,Manapla,0
VI (Western Visayas),Negros Occidental,Moises Padilla (Magallon),0
VI (Western Visayas),Negros Occidental,Murcia,0
VI (Western Visayas),Negros Occidental,Pontevedra,0
VI (Western Visayas),Negros Occidental,Pulupandan,0
VI (Western Visayas),Negros Occidental,Sagay City,2
VI (Western Visayas),Negros Occidental,San Carlos City,0
VI (Western Visayas),Negros Occidental,San Enrique,0
VI (Western Visayas),Negros Occidental,Silay City,4
VI (Western Visayas),Negros Occidental,Sipalay,0
VI (Western Visayas),Negros Occidental,City of Talisay,0
VI (Western Visayas),Negros Occidental,Toboso,0
VI (Western Visayas),Negros Occidental,Valladolid,1
VI (Western Visayas),Negros Occidental,City of Victorias,3
VI (Western Visayas),Negros Occidental,Salvador Benedicto,0
VI (Western Visayas),Negros Occidental,Total Negros Occidental,42
VI (Western Visayas),Guimaras,Buenavista,0
VI (Western Visayas),Guimaras,Jordan (Capital),4
VI (Western Visayas),Guimaras,Nueva Valencia,1
VI (Western Visayas),Guimaras,San Lorenzo,3
VI (Western Visayas),Guimaras,Sibunag,0
VI (Western Visayas),Guimaras,Total Guimaras,8
VI (Western Visayas),No City/Municipality Reported,No City/Municipality Reported,0
VI (Western Visayas),Total Western Visayas,Total Western Visayas,228
VII (Central Visayas),Bohol,Alburquerque,2
VII (Central Visayas),Bohol,Alicia,2
VII (Central Visayas),Bohol,Anda,0
VII (Central Visayas),Bohol,Antequera,5
VII (Central Visayas),Bohol,Baclayon,5
VII (Central Visayas),Bohol,Balilihan,1
VII (Central Visayas),Bohol,Batuan,0
VII (Central Visayas),Bohol,Bilar,8
VII (Central Visayas),Bohol,Buenavista,1
VII (Central Visayas),Bohol,Calape,5
VII (Central Visayas),Bohol,Candijay,2
VII (Central Visayas),Bohol,Carmen,15
VII (Central Visayas),Bohol,Catigbian,1
VII (Central Visayas),Bohol,Clarin,3
VII (Central Visayas),Bohol,Corella,0
VII (Central Visayas),Bohol,Cortes,1
VII (Central Visayas),Bohol,Dagohoy,8
VII (Central Visayas),Bohol,Danao,2
VII (Central Visayas),Bohol,Dauis,13
VII (Central Visayas),Bohol,Dimiao,3
VII (Central Visayas),Bohol,Duero,2
VII (Central Visayas),Bohol,Garcia Hernandez,2
VII (Central Visayas),Bohol,Guindulman,5
VII (Central Visayas),Bohol,Inabanga,4
VII (Central Visayas),Bohol,Jagna,5
VII (Central Visayas),Bohol,Jetafe,1
VII (Central Visayas),Bohol,Lila,2
VII (Central Visayas),Bohol,Loay,1
VII (Central Visayas),Bohol,Loboc,11
VII (Central Visayas),Bohol,Loon,4
VII (Central Visayas),Bohol,Mabini,2
VII (Central Visayas),Bohol,Maribojoc,0
VII (Central Visayas),Bohol,Panglao,7
VII (Central Visayas),Bohol,Pilar,63
VII (Central Visayas),Bohol,Pres. Carlos P. Garcia (Pitogo),0
VII (Central Visayas),Bohol,Sagbayan (Borja),1
VII (Central Visayas),Bohol,San Isidro,1
VII (Central Visayas),Bohol,San Miguel,13
VII (Central Visayas),Bohol,Sevilla,5
VII (Central Visayas),Bohol,Sierra Bullones,20
VII (Central Visayas),Bohol,Sikatuna,0
VII (Central Visayas),Bohol,Tagbilaran City (Capital),35
VII (Central Visayas),Bohol,Talibon,1
VII (Central Visayas),Bohol,Trinidad,2
VII (Central Visayas),Bohol,Tubigon,0
VII (Central Visayas),Bohol,Ubay,3
VII (Central Visayas),Bohol,Valencia,6
VII (Central Visayas),Bohol,Bien Unido,5
VII (Central Visayas),Bohol,Total Bohol,278
VII (Central Visayas),Cebu,Alcantara,0
VII (Central Visayas),Cebu,Alcoy,0
VII (Central Visayas),Cebu,Alegria,0
VII (Central Visayas),Cebu,Aloguinsan,1
VII (Central Visayas),Cebu,Argao,3
VII (Central Visayas),Cebu,Asturias,0
VII (Central Visayas),Cebu,Badian,1
VII (Central Visayas),Cebu,Balamban,1
VII (Central Visayas),Cebu,Bantayan,3
VII (Central Visayas),Cebu,Barili,0
VII (Central Visayas),Cebu,Bogo,1
VII (Central Visayas),Cebu,Boljoon,0
VII (Central Visayas),Cebu,Borbon,0
VII (Central Visayas),Cebu,Carcar,2
VII (Central Visayas),Cebu,Carmen,0
VII (Central Visayas),Cebu,Catmon,1
VII (Central Visayas),Cebu,Cebu City (Capital),29
VII (Central Visayas),Cebu,Compostela,0
VII (Central Visayas),Cebu,Consolacion,2
VII (Central Visayas),Cebu,Cordoba,0
VII (Central Visayas),Cebu,Daanbantayan,1
VII (Central Visayas),Cebu,Dalaguete,1
VII (Central Visayas),Cebu,Danao City,5
VII (Central Visayas),Cebu,Dumanjug,0
VII (Central Visayas),Cebu,Ginatilan,0
VII (Central Visayas),Cebu,Lapu-Lapu City (Opon),11
VII (Central Visayas),Cebu,Liloan,3
VII (Central Visayas),Cebu,Madridejos,1
VII (Central Visayas),Cebu,Malabuyoc,0
VII (Central Visayas),Cebu,Mandaue City,7
VII (Central Visayas),Cebu,Medellin,5
VII (Central Visayas),Cebu,Minglanilla,6
VII (Central Visayas),Cebu,Moalboal,0
VII (Central Visayas),Cebu,Naga,4
VII (Central Visayas),Cebu,Oslob,1
VII (Central Visayas),Cebu,Pilar,0
VII (Central Visayas),Cebu,Pinamungahan,2
VII (Central Visayas),Cebu,Poro,0
VII (Central Visayas),Cebu,Ronda,0
VII (Central Visayas),Cebu,Samboan,1
VII (Central Visayas),Cebu,San Fernando,4
VII (Central Visayas),Cebu,San Francisco,0
VII (Central Visayas),Cebu,San Remigio,0
VII (Central Visayas),Cebu,Santa Fe,0
VII (Central Visayas),Cebu,Santander,3
VII (Central Visayas),Cebu,Sibonga,0
VII (Central Visayas),Cebu,Sogod,0
VII (Central Visayas),Cebu,Tabogon,0
VII (Central Visayas),Cebu,Tabuelan,0
VII (Central Visayas),Cebu,Talisay,3
VII (Central Visayas),Cebu,Toledo City,1
VII (Central Visayas),Cebu,Tuburan,0
VII (Central Visayas),Cebu,Tudela,0
VII (Central Visayas),Cebu,Total Cebu,103
VII (Central Visayas),Negros Oriental,Amlan (Ayuquitan),1
VII (Central Visayas),Negros Oriental,Ayungon,1
VII (Central Visayas),Negros Oriental,Bacong,1
VII (Central Visayas),Negros Oriental,Bais City,1
VII (Central Visayas),Negros Oriental,Basay,0
VII (Central Visayas),Negros Oriental,Bayawan (Tulong),2
VII (Central Visayas),Negros Oriental,Bindoy (Payabon),1
VII (Central Visayas),Negros Oriental,Canlaon City,1
VII (Central Visayas),Negros Oriental,Dauin,0
VII (Central Visayas),Negros Oriental,Dumaguete City (Capital),2
VII (Central Visayas),Negros Oriental,Guihulngan,0
VII (Central Visayas),Negros Oriental,Jimalalud,0
VII (Central Visayas),Negros Oriental,La Libertad,1
VII (Central Visayas),Negros Oriental,Mabinay,0
VII (Central Visayas),Negros Oriental,Manjuyod,1
VII (Central Visayas),Negros Oriental,Pamplona,0
VII (Central Visayas),Negros Oriental,San Jose,1
VII (Central Visayas),Negros Oriental,Santa Catalina,2
VII (Central Visayas),Negros Oriental,Siaton,1
VII (Central Visayas),Negros Oriental,Sibulan,1
VII (Central Visayas),Negros Oriental,Tanjay,0
VII (Central Visayas),Negros Oriental,Tayasan,0
VII (Central Visayas),Negros Oriental,Valencia (Luzurriaga),1
VII (Central Visayas),Negros Oriental,Vallehermoso,0
VII (Central Visayas),Negros Oriental,Zamboanguita,0
VII (Central Visayas),Negros Oriental,Total Negros Oriental,18
VII (Central Visayas),Siquijor,Enrique Villanueva,0
VII (Central Visayas),Siquijor,Larena,0
VII (Central Visayas),Siquijor,Lazi,0
VII (Central Visayas),Siquijor,Maria,0
VII (Central Visayas),Siquijor,San Juan,0
VII (Central Visayas),Siquijor,Siquijor (Capital),0
VII (Central Visayas),Siquijor,Total Siquijor, -   
VII (Central Visayas),No City/Municipality Reported,No City/Municipality Reported,0
VII (Central Visayas),Total Central Visayas,Total Central Visayas,399
VIII (Eastern Visayas),Eastern Samar,Arteche,0
VIII (Eastern Visayas),Eastern Samar,Balangiga,0
VIII (Eastern Visayas),Eastern Samar,Balangkayan,0
VIII (Eastern Visayas),Eastern Samar,Borongan (Capital),1
VIII (Eastern Visayas),Eastern Samar,Can-Avid,0
VIII (Eastern Visayas),Eastern Samar,Dolores,0
VIII (Eastern Visayas),Eastern Samar,General MacArthur,0
VIII (Eastern Visayas),Eastern Samar,Giporlos,0
VIII (Eastern Visayas),Eastern Samar,Guiuan,1
VIII (Eastern Visayas),Eastern Samar,Hernani,1
VIII (Eastern Visayas),Eastern Samar,Jipapad,0
VIII (Eastern Visayas),Eastern Samar,Lawaan,0
VIII (Eastern Visayas),Eastern Samar,Llorente,0
VIII (Eastern Visayas),Eastern Samar,Maslog,0
VIII (Eastern Visayas),Eastern Samar,Maydolong,0
VIII (Eastern Visayas),Eastern Samar,Mercedes,0
VIII (Eastern Visayas),Eastern Samar,Oras,0
VIII (Eastern Visayas),Eastern Samar,Quinapondan,1
VIII (Eastern Visayas),Eastern Samar,Salcedo,0
VIII (Eastern Visayas),Eastern Samar,San Julian,0
VIII (Eastern Visayas),Eastern Samar,San Policarpo,0
VIII (Eastern Visayas),Eastern Samar,Sulat,0
VIII (Eastern Visayas),Eastern Samar,Taft,0
VIII (Eastern Visayas),Eastern Samar,Total Eastern Samar,4
VIII (Eastern Visayas),Leyte,Abuyog,2
VIII (Eastern Visayas),Leyte,Alangalang,0
VIII (Eastern Visayas),Leyte,Albuera,1
VIII (Eastern Visayas),Leyte,Babatngon,0
VIII (Eastern Visayas),Leyte,Barugo,5
VIII (Eastern Visayas),Leyte,Bato,2
VIII (Eastern Visayas),Leyte,Baybay,2
VIII (Eastern Visayas),Leyte,Burauen,0
VIII (Eastern Visayas),Leyte,Calubian,0
VIII (Eastern Visayas),Leyte,Capoocan,0
VIII (Eastern Visayas),Leyte,Carigara,0
VIII (Eastern Visayas),Leyte,Dagami,0
VIII (Eastern Visayas),Leyte,Dulag,2
VIII (Eastern Visayas),Leyte,Hilongos,3
VIII (Eastern Visayas),Leyte,Hindang,1
VIII (Eastern Visayas),Leyte,Inopacan,0
VIII (Eastern Visayas),Leyte,Isabel,0
VIII (Eastern Visayas),Leyte,Jaro,0
VIII (Eastern Visayas),Leyte,Javier (Bugho),0
VIII (Eastern Visayas),Leyte,Julita,0
VIII (Eastern Visayas),Leyte,Kananga,0
VIII (Eastern Visayas),Leyte,Lapaz,0
VIII (Eastern Visayas),Leyte,Leyte,0
VIII (Eastern Visayas),Leyte,Macarthur,0
VIII (Eastern Visayas),Leyte,Mahaplag,1
VIII (Eastern Visayas),Leyte,Matag-Ob,0
VIII (Eastern Visayas),Leyte,Matalom,0
VIII (Eastern Visayas),Leyte,Mayorga,1
VIII (Eastern Visayas),Leyte,Merida,0
VIII (Eastern Visayas),Leyte,Ormoc City,0
VIII (Eastern Visayas),Leyte,Palo,0
VIII (Eastern Visayas),Leyte,Palompon,0
VIII (Eastern Visayas),Leyte,Pastrana,0
VIII (Eastern Visayas),Leyte,San Isidro,0
VIII (Eastern Visayas),Leyte,San Miguel,1
VIII (Eastern Visayas),Leyte,Santa Fe,0
VIII (Eastern Visayas),Leyte,Tabango,0
VIII (Eastern Visayas),Leyte,Tabontabon,0
VIII (Eastern Visayas),Leyte,Tacloban City (Capital),3
VIII (Eastern Visayas),Leyte,Tanauan,0
VIII (Eastern Visayas),Leyte,Tolosa,0
VIII (Eastern Visayas),Leyte,Tunga,0
VIII (Eastern Visayas),Leyte,Villaba,0
VIII (Eastern Visayas),Leyte,Total Leyte,24
VIII (Eastern Visayas),Northern Samar,Allen,0
VIII (Eastern Visayas),Northern Samar,Biri,0
VIII (Eastern Visayas),Northern Samar,Bobon,0
VIII (Eastern Visayas),Northern Samar,Capul,0
VIII (Eastern Visayas),Northern Samar,Catarman (Capital),1
VIII (Eastern Visayas),Northern Samar,Catubig,0
VIII (Eastern Visayas),Northern Samar,Gamay,0
VIII (Eastern Visayas),Northern Samar,Laoang,0
VIII (Eastern Visayas),Northern Samar,Lapinig,0
VIII (Eastern Visayas),Northern Samar,Las Navas,0
VIII (Eastern Visayas),Northern Samar,Lavezares,0
VIII (Eastern Visayas),Northern Samar,Lope De Vega,0
VIII (Eastern Visayas),Northern Samar,Mapanas,0
VIII (Eastern Visayas),Northern Samar,Mondragon,0
VIII (Eastern Visayas),Northern Samar,Palapag,0
VIII (Eastern Visayas),Northern Samar,Pambujan,0
VIII (Eastern Visayas),Northern Samar,Rosario,0
VIII (Eastern Visayas),Northern Samar,San Antonio,0
VIII (Eastern Visayas),Northern Samar,San Isidro,1
VIII (Eastern Visayas),Northern Samar,San Jose,0
VIII (Eastern Visayas),Northern Samar,San Roque,0
VIII (Eastern Visayas),Northern Samar,San Vicente,0
VIII (Eastern Visayas),Northern Samar,Victoria,0
VIII (Eastern Visayas),Northern Samar,Total Northern Samar,2
VIII (Eastern Visayas),Samar,Almagro,0
VIII (Eastern Visayas),Samar,Basey,0
VIII (Eastern Visayas),Samar,Calbayog City,0
VIII (Eastern Visayas),Samar,Calbiga,0
VIII (Eastern Visayas),Samar,Catbalogan (Capital),2
VIII (Eastern Visayas),Samar,Daram,1
VIII (Eastern Visayas),Samar,Gandara,0
VIII (Eastern Visayas),Samar,Hinabangan,0
VIII (Eastern Visayas),Samar,Jiabong,0
VIII (Eastern Visayas),Samar,Marabut,0
VIII (Eastern Visayas),Samar,Matuguinao,0
VIII (Eastern Visayas),Samar,Motiong,0
VIII (Eastern Visayas),Samar,Pinabacdao,0
VIII (Eastern Visayas),Samar,San Jose De Buan,0
VIII (Eastern Visayas),Samar,San Sebastian,1
VIII (Eastern Visayas),Samar,Santa Margarita,0
VIII (Eastern Visayas),Samar,Santa Rita,0
VIII (Eastern Visayas),Samar,Santo Nino,0
VIII (Eastern Visayas),Samar,Talalora,3
VIII (Eastern Visayas),Samar,Tarangnan,0
VIII (Eastern Visayas),Samar,Villareal,0
VIII (Eastern Visayas),Samar,Paranas (Wright),0
VIII (Eastern Visayas),Samar,Zumarraga,0
VIII (Eastern Visayas),Samar,Tagapul-An,0
