function_program_project_activity_1,function_program_project_activity_2,code,annuual_appropriation,allotments,obligation,balances_of_appropriation,balances_of_allotments
General Services,20% DF-Rehabilitation and Maintenance Provincial Roads,023-200,12499000,12499000,12409781.96,-,89218.04
General Services,20% DF- PRMF Road Rehab Projects,072-200,7866000,7866000,-,-,7866000
Economic Services,20% RUDProects (RUDF),020-200,34007000,34007000,34007000,-,-
Economic Services,20% DF-RUDP for LGU-Cities or Municipality or Barangays ,067-200,46239326,46239326,46234326,-,5000
Other Purposes,20% DF-DBP Loan Repayment,070-200,13100000,13100000,12689661.26,-,410338.74
Other Purposes,20% DF-PVB Loan Repayment for Interest,071-200,7750000,7750000,5122315.49,-,2627684.51
Grand Total,Grand Total,-,121461326,121461326,110463084.7,-,10998241.29
