function_program_project_activity_1,function_program_project_activity_2,code,annuual_appropriation,allotments,obligation,balances_of_appropriation,balances_of_allotments
General Services,20% DF-Rehabilitation and Maintenance Provincial Roads,023-200,12829000,12829000,10493142.7,-,2335857.24
General Services,20% DF-PRMF Road Rehabilitation Projects,072-200,8416000,4208000,-,4208000,4208000
Economic Services,20% RUD Projects (RUDP),020-200,35037000,26277750,18951147.95,8759250,7326602.05
Economic Services,20% DF-RUDP for LGU-Cities or Mun or Brgys,067-200,47000000,35250000,27985000,11750000,7265000
Other Purposes,20% DF-DBP Loan Repayment,070-200,13100000,6550000,5381350.83,6550000,1168649.17
Other Purposes,20% DF-PVB Loan Repayment for Interest,071-200,7750000,3875000,1153652.61,3875000,2721347.39
Grand Total,Grand Total,-,124132000,88989750,63964294.15,35142250,25025455.85
