brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
51601001,51601001,CAMARINES NORTE,BASUD,Angas,2006,-,-,7,50,84,16,19,17,43.599998,20,16.299999,-,-,-,-,-,123,2,4,0,0,3,3.9000001,1,1.3,-,50,-,38,50,-,11.8,26.299999,0,0,0,0,-,24,20.700001,45,0,0,-,-,-,-,-,-,16,1,1601001
51601002,51601002,CAMARINES NORTE,BASUD,Bactas,2006,-,-,32,206,263,49,18.6,41,31.5,36,9.1999998,-,-,-,-,-,393,26,12.6,0,0,4,1.3,5,1.7,-,46.799999,-,80,26.6,-,12,31.6,2,0.1,2,0.69999999,-,30,5.5999999,176,0,0,-,-,-,-,-,-,16,1,1601002
51601003,51601003,CAMARINES NORTE,BASUD,Binatagan,2006,-,-,4,47,67,12,17.9,16,55.200001,21,21.9,-,-,-,-,-,96,1,2.0999999,0,0,3,3.4000001,2,2.3,-,85.099998,-,86,98.900002,-,41.400002,65.5,0,0,4,4.5999999,-,13,9.3000002,43,0,0,-,-,-,-,-,-,16,1,1601003
51601004,51601004,CAMARINES NORTE,BASUD,Caayunan,2006,-,-,44,226,236,43,18.200001,48,41.700001,54,15.4,-,-,-,-,-,351,9,4,2,4.3000002,20,7.5,6,2.2,-,82.800003,-,99,36.900002,-,16.799999,65.699997,0,0,15,5.5999999,-,41,8.6000004,181,0,0,-,-,-,-,-,-,16,1,1601004
51601005,51601005,CAMARINES NORTE,BASUD,Guinatungan,2006,-,-,25,122,140,25,17.9,42,47.700001,48,21.1,-,-,-,-,-,228,6,4.9000001,0,0,2,1.3,1,0.60000002,-,48.099998,-,105,65.599998,-,16.9,31.9,3,0.40000001,1,0.60000002,-,14,5.3000002,101,1,1,-,-,-,-,-,-,16,1,1601005
51601006,51601006,CAMARINES NORTE,BASUD,Hinampacan,2006,-,-,11,88,131,23,17.6,28,43.099998,30,15.3,-,-,-,-,-,196,10,11.4,0,0,1,0.69999999,3,2.0999999,-,35.599998,-,42,28.799999,-,20.5,13,5,0.69999999,3,2.0999999,-,12,4.1999998,71,1,0,-,-,-,-,-,-,16,1,1601006
51601007,51601007,CAMARINES NORTE,BASUD,Langa,2006,-,-,23,121,158,18,11.4,37,41.099998,33,13.3,-,-,-,-,-,248,17,14,0,0,7,4,15,8.6000004,-,60.299999,-,158,90.800003,-,13.8,46,0,0,3,1.7,-,38,12.1,107,0,0,-,-,-,-,-,-,16,1,1601007
51601008,51601008,CAMARINES NORTE,BASUD,Laniton,2006,-,-,26,181,233,41,17.6,36,32.400002,43,12.5,-,-,-,-,-,344,12,6.5999999,0,0,9,3.7,22,9.1000004,-,52.900002,-,136,56.200001,-,11.2,38.400002,9,0.69999999,25,10.3,-,56,13.2,144,0,0,-,-,-,-,-,-,16,1,1601008
51601009,51601009,CAMARINES NORTE,BASUD,Lidong,2006,-,-,10,74,64,12,18.799999,25,71.400002,26,26.299999,-,-,-,-,-,99,2,2.7,0,0,0,0,1,1.1,-,75.300003,-,82,88.199997,-,54.799999,55.900002,1,0.2,0,0,-,15,9.6000004,62,1,0,-,-,-,-,-,-,16,1,1601009
51601010,51601010,CAMARINES NORTE,BASUD,Mampili,2006,-,-,9,133,202,55,27.200001,31,33.700001,44,15,-,-,-,-,-,294,6,4.5,0,0,4,2,5,2.5,-,70.800003,-,97,48,-,7.4000001,48,27,2.7,4,2,-,60,15.6,105,1,0,-,-,-,-,-,-,16,1,1601010
51601011,51601011,CAMARINES NORTE,BASUD,Mandazo,2006,-,-,24,119,148,21,14.2,39,53.400002,37,16.700001,-,-,-,-,-,221,4,3.4000001,0,0,4,2.7,0,0,-,85.599998,-,134,91.800003,-,29.5,71.900002,0,0,2,1.4,-,22,7.5,92,0,0,-,-,-,-,-,-,16,1,1601011
51601012,51601012,CAMARINES NORTE,BASUD,Mangcamagong,2006,-,-,54,256,294,62,21.1,63,47,77,18,-,-,-,-,-,428,20,7.8000002,0,0,25,8.6999998,5,1.7,-,66,-,266,92.400002,-,9,44.099998,10,0.69999999,2,0.69999999,-,40,7.3000002,215,1,1,-,-,-,-,-,-,16,1,1601012
51601014,51601014,CAMARINES NORTE,BASUD,Manmuntay,2006,-,-,21,114,107,17,15.9,28,40.599998,28,15.9,-,-,-,-,-,176,5,4.4000001,0,0,3,2.2,2,1.5,-,70.400002,-,133,98.5,-,39.299999,36.299999,0,0,0,0,-,37,15.8,95,0,0,-,-,-,-,-,-,16,1,1601014
51601015,51601015,CAMARINES NORTE,BASUD,Mantugawe,2006,-,-,14,121,199,29,14.6,48,44,38,12.3,-,-,-,-,-,308,10,8.3000002,0,0,7,3.7,3,1.6,-,60.099998,-,138,73.400002,-,9.6000004,42,0,0,3,1.6,-,61,17.5,98,0,0,-,-,-,-,-,-,16,1,1601015
51601016,51601016,CAMARINES NORTE,BASUD,Matnog,2006,-,-,61,379,479,80,16.700001,81,31.799999,80,10.9,-,-,-,-,-,734,49,12.9,0,0,13,2.4000001,10,1.8,-,37.900002,-,116,21,-,8,19.700001,105,4,3,0.5,-,103,10,322,1,1,-,-,-,-,-,-,16,1,1601016
51601017,51601017,CAMARINES NORTE,BASUD,Mocong,2006,-,-,18,108,142,27,19,24,32,20,9.1999998,-,-,-,-,-,217,10,9.3000002,0,0,8,4.3000002,3,1.6,-,41.799999,-,1,0.5,-,10.9,27.200001,4,0.5,2,1.1,-,69,22,90,0,0,-,-,-,-,-,-,16,1,1601017
51601018,51601018,CAMARINES NORTE,BASUD,Oliva,2006,-,-,36,155,174,24,13.8,47,61.799999,45,18,-,-,-,-,-,250,5,3.2,0,0,2,1.1,3,1.7,-,88.099998,-,137,77.800003,-,36.400002,80.099998,0,0,1,0.60000002,-,24,9.3999996,132,2,0,-,-,-,-,-,-,16,1,1601018
51601019,51601019,CAMARINES NORTE,BASUD,Pagsangahan,2006,-,-,22,200,283,45,15.9,69,45.700001,79,18.200001,-,-,-,-,-,434,33,16.5,1,4.3000002,1,0.40000001,3,1.2,-,63.599998,-,142,56.099998,-,7.0999999,43.099998,0,0,3,1.2,-,50,11.4,162,0,0,-,-,-,-,-,-,16,1,1601019
51601020,51601020,CAMARINES NORTE,BASUD,Pinagwarasan,2006,-,-,26,147,188,33,17.6,46,39.299999,54,17.700001,-,-,-,-,-,305,11,7.5,0,0,11,5.4000001,12,5.9000001,-,59.799999,-,153,75,-,11.8,43.099998,30,2.9000001,2,1,-,52,11.9,117,0,0,-,-,-,-,-,-,16,1,1601020
51601021,51601021,CAMARINES NORTE,BASUD,Plaridel,2006,-,-,26,150,189,32,16.9,45,39.5,50,16.5,-,-,-,-,-,303,8,5.3000002,0,0,4,1.8,39,17.9,-,60.099998,-,203,93.099998,-,9.1999998,40.799999,1,0.1,5,2.3,-,28,10.8,127,1,1,-,-,-,-,-,-,16,1,1601021
51601022,51601022,CAMARINES NORTE,BASUD,Poblacion 1,2006,-,-,58,387,506,107,21.1,71,25.9,71,9.1000004,-,-,-,-,-,780,19,4.9000001,0,0,7,1.2,15,2.5999999,-,57.5,-,1,0.2,-,5.0999999,36.099998,46,1.6,2,0.30000001,-,76,8,315,0,0,-,-,-,-,-,-,16,1,1601022
51601034,51601034,CAMARINES NORTE,BASUD,Poblacion 2,2006,-,-,44,297,419,83,19.799999,65,24.9,44,6.5,-,-,-,-,-,680,4,1.3,0,0,5,0.89999998,15,2.8,-,36.200001,-,60,11.3,-,0.80000001,21.9,5,0.2,4,0.80000001,-,112,11.7,245,2,1,-,-,-,-,-,-,16,1,1601034
51601025,51601025,CAMARINES NORTE,BASUD,San Felipe,2006,-,-,13,67,95,10,10.5,6,12.2,5,3.5,-,-,-,-,-,144,0,0,0,0,1,0.89999998,1,0.89999998,-,52.700001,-,6,5.4000001,-,8.8999996,33.900002,2,0.40000001,22,19.6,-,40,19.299999,51,0,0,-,-,-,-,-,-,16,1,1601025
51601027,51601027,CAMARINES NORTE,BASUD,San Jose,2006,-,-,17,84,106,23,21.700001,29,64.400002,38,25.200001,-,-,-,-,-,151,14,16.700001,0,0,0,0,0,0,-,53.599998,-,83,74.099998,-,38.400002,33.900002,14,2.7,11,9.8000002,-,2,1,71,1,1,-,-,-,-,-,-,16,1,1601027
51601028,51601028,CAMARINES NORTE,BASUD,San Pascual,2006,-,-,49,260,315,59,18.700001,106,67.099998,117,24.700001,-,-,-,-,-,473,7,2.7,1,2,1,0.40000001,1,0.40000001,-,67,-,36,12.8,-,22,44.299999,3,0.2,8,2.8,-,26,4.6999998,209,0,0,-,-,-,-,-,-,16,1,1601028
51601030,51601030,CAMARINES NORTE,BASUD,Taba-taba,2006,-,-,18,100,77,19,24.700001,20,35.099998,23,17.200001,-,-,-,-,-,134,12,12,0,0,4,3.3,5,4.0999999,-,70.199997,-,35,28.9,-,31.4,44.599998,1,0.2,2,1.7,-,22,10.5,85,0,0,-,-,-,-,-,-,16,1,1601030
51601031,51601031,CAMARINES NORTE,BASUD,Tacad,2006,-,-,14,134,164,29,17.700001,34,34.299999,34,12.9,-,-,-,-,-,263,14,10.4,1,6.6999998,6,3,1,0.5,-,68.199997,-,132,66.699997,-,23.700001,48.5,41,4.4000001,0,0,-,31,8.5,105,2,0,-,-,-,-,-,-,16,1,1601031
51601032,51601032,CAMARINES NORTE,BASUD,Taisan,2006,-,-,27,147,222,30,13.5,35,29.200001,22,6.4000001,-,-,-,-,-,342,21,14.3,1,3.5999999,9,3.8,3,1.3,-,64.5,-,151,64.5,-,26.9,49.599998,1,0.1,36,15.4,-,72,17.299999,125,0,0,-,-,-,-,-,-,16,1,1601032
51601033,51601033,CAMARINES NORTE,BASUD,Tuaca,2006,-,-,41,270,300,51,17,85,46.400002,88,18.200001,-,-,-,-,-,483,38,14.1,0,0,24,8.3999996,54,18.799999,-,70.699997,-,117,40.799999,-,22.299999,50.5,7,0.40000001,8,2.8,-,35,6.5999999,218,1,0,-,-,-,-,-,-,16,1,1601033
51602001,51602001,CAMARINES NORTE,CAPALONGA,Alayao,2006,-,-,52,367,464,72,15.5,99,42.299999,99,14.2,-,-,-,-,-,698,24,6.5,0,0,29,6.5,19,4.3000002,-,69.800003,-,270,60.799999,-,30,55.599998,5,0.2,10,2.3,-,93,15.7,300,0,0,-,-,-,-,-,-,16,2,1602001
51602002,51602002,CAMARINES NORTE,CAPALONGA,Binawangan,2006,-,-,43,314,384,63,16.4,94,60.299999,111,20.6,-,-,-,-,-,540,28,8.8999996,0,0,0,0,10,3.2,-,94.800003,-,308,99.699997,-,63.400002,89.599998,0,0,15,4.9000001,-,45,10.9,256,2,1,-,-,-,-,-,-,16,2,1602002
51602003,51602003,CAMARINES NORTE,CAPALONGA,Calabaca,2006,-,-,69,522,596,102,17.1,126,41.299999,106,11.8,-,-,-,-,-,901,49,9.3999996,0,0,26,4.4000001,27,4.5999999,-,81.300003,-,464,78.199997,-,33.700001,66.800003,0,0,26,4.4000001,-,107,11.1,432,3,3,-,-,-,-,-,-,16,2,1602003
51602004,51602004,CAMARINES NORTE,CAPALONGA,Camagsaan,2006,-,-,12,145,161,33,20.5,60,76.900002,77,32.200001,-,-,-,-,-,239,10,6.9000001,0,0,0,0,18,12.2,-,94.599998,-,122,83,-,76.900002,85.699997,1,0.1,7,4.8000002,-,15,6.1999998,122,2,1,-,-,-,-,-,-,16,2,1602004
51602005,51602005,CAMARINES NORTE,CAPALONGA,Catabaguangan,2006,-,-,10,103,147,23,15.6,16,29.6,18,9,-,-,-,-,-,201,13,12.6,0,0,8,5.6999998,33,23.6,-,61.400002,-,106,75.699997,-,26.4,43.599998,2,0.30000001,1,0.69999999,-,18,8.8000002,85,2,2,-,-,-,-,-,-,16,2,1602005
