name_of_candidate,political_party,grand_total
"Roxas, Mar Manuel A.",Liberal Party,19372888
"Bong Revilla, Ramon Jr. B.",Lakas-Christian Muslim Democrats,15801531
"Pimentel, Aquilino Jr. Q.",Koalisyon ng Nagkakaisang Pilipino (KNP),13519998
"Madrigal, Jamby A.S.",Koalisyon ng Nagkakaisang Pilipino (KNP),13253692
"Gordon, Richard J.",Lakas-Christian Muslim Democrats,12707151
"Cayetano, Pilar Juliana S.",Lakas-Christian Muslim Democrats,12542054
"Defensor-Santiago, Miriam",People's Reform Party,12187401
"Lim, Alfredo S.",Koalisyon ng Nagkakaisang Pilipino (KNP),11286428
"Enrile, Juan P.",Koalisyon ng Nagkakaisang Pilipino (KNP),11191162
"Estrada, Jinggoy E.",Koalisyon ng Nagkakaisang Pilipino (KNP),11094120
"Lapid, Manuel M.",Lakas-Christian Muslim Democrats,10970941
"Biazon, Rodolfo G.",Liberal Party,10635270
"Barbers, Robert Z.",Lakas-Christian Muslim Democrats,10624585
"Maceda, Ernesto M.",Koalisyon ng Nagkakaisang Pilipino (KNP),9944328
"Osmena, John R.",Independent,9914179
"Mercado, Orlando S.",Lakas-Christian Muslim Democrats,8295024
"Jaworski, Robert S.",Lakas-Christian Muslim Democrats,6921425
"Anson-Roa, Maria Elisa C.",Koalisyon ng Nagkakaisang Pilipino (KNP),5873845
"Tatad, Francisco",Pwersa ng Masang Pilipino,5718740
"Alvarez, Heherson T.",Independent,4791085
"Herrera, Ernesto F.",Koalisyon ng Nagkakaisang Pilipino (KNP),4612036
"Yasay, Perfecto Jr. R.",Aksyon Demokratiko,4408808
"Chavez, Frank I.",Reporma-LM,4286838
"Padilla, Carlos M.",Independent,3863693
"Escudero, Salvador III H.",Koalisyon ng Nagkakaisang Pilipino (KNP),3780469
"Rasul, Amina T.",Koalisyon ng Nagkakaisang Pilipino (KNP),3456480
" Sonza, Jose Y.",Aksyon Demokratiko,2839442
"Hussin, Parouk S.",Lakas-Christian Muslim Democrats,2821522
"Dilangalen, Didagen P.",Koalisyon ng Nagkakaisang Pilipino (KNP),2222069
"Mauricio, Melanio Jr. L.",Aksyon Demokratiko,1144279
"Pilapil, Pilar V.",Independent,692137
"Joson, Eduardo Nonato N.",Aksyon Demokratiko,631041
"Ilarde, Edgar U.",Independent,527865
"Gatmaytan, Nicanor Jr. B.",Aksyon Demokratiko,453693
"Coo, Olivia G.",Aksyon Demokratiko,338846
"Lozano, Oliver O.",Kilusang Bagong Lipunan,238272
"Almirante, Alvin Alvincent G.",Kilusang Bagong Lipunan,206097
"Montano, Ramon E.",Partido Isang Bansa Isang Diwa,159735
"Usop, Matuan A.",Partido Isang Bansa Isang Diwa,137376
"Rosario, Angel C.",Partido Isang Bansa Isang Diwa,98932
"Aparri, Ismael D.",Partido Isang Bansa Isang Diwa,97430
"Nueva, Norma C.",Kilusang Bagong Lipunan,96129
"Borja, Carmen X.",Partido Isang Bansa Isang Diwa,95755
"Decampong, Pendatun M.",Partido Isang Bansa Isang Diwa,94713
"Del Mundo, Gerardo A.",Independent,88962
"Fajardo, El Cid C.",Partido Isang Bansa Isang Diwa,79471
"Pagunuran, Iderlina P.",Partido Isang Bansa Isang Diwa,59712
"Estuita, Arturo V.",Partido Isang Bansa Isang Diwa,39094
