region,prov,proj_type,title,address,,
RFU I,Pangasinan,Farm-To-Market Road,"FMR Dagupan, Pangasinan 336 M","Barangay Lucao Dagupan, Pangasinan ",,
RFU II,Quirino,Other PHF,"San Marcos, Cabarroguis Flatbed Dryer","San Marcos, Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Del Pilar FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Cabugao FMR,"Aglipay, Quirino",,
RFU II,Quirino,Organic Trading Post,"2014 Organic Trading Post, Quirino","Diffun, Quirino",,
RFU II,Quirino,Green House,Nagtipunan GreenHouse,"Municipal Hall Compound, Nagtipunan, Quirino",,
RFU II,Quirino,Windmill,DA UPROS Windpump,"Dungo, Aglipay, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Eden FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Palay Shed,"Liwayway, Diffun Palay Shed","Liwayway, Diffun, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Banuar FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Green House,Cabarroguis GreenHouse,"Municipal Hall Compound,Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Gomez FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of San Marcos FMR (Section 1),"Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Zamora FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Debibi FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Small Water Impounding System (SWIP),"SWIP Ponggo, Nagtipunan Quirino",-,,
RFU II,Quirino,Multi Purpose Drying Pavement (MPDP),"Quirino State University, Diffun MPDP","Quirino Sta.te University, Diffun, Quirino",,
RFU II,Quirino,Multi Purpose Drying Pavement (MPDP),"Dumanisi, Diffun MPDP","Dumanisi, Diffun, Quirino",,
RFU II,Quirino,Multi Purpose Drying Pavement (MPDP),"Disimungal, Nagtipunan MPDP","Disimungal, Nagtipunan, Quirino",,
RFU II,Quirino,Multi Purpose Drying Pavement (MPDP),"San Marcos (SWIP), Cabarroguis MPDP","San Marcos, Cabarroguis, Quirino",,
RFU II,Quirino,Multi Purpose Drying Pavement (MPDP),"Dibul, Saguday MPDP","Dibul, Saguday, Quirino",,
RFU II,Quirino,Multi Purpose Drying Pavement (MPDP),"Rizal, Saguday MPDP","Rizal, Saguday, Quirino",,
RFU II,Quirino,Farm-To-Market Road,FMR Saguday,Saguday Quirino,,
RFU II,Quirino,Farm-To-Market Road,FMR Ricarte Norte,"Ricarte Norte, Diffun Quirino",,
RFU II,Quirino,Palay Shed,Palay Shed,"Rizal, Saguday, Quirino",,
RFU II,Quirino,Multi Purpose Drying Pavement (MPDP),"MPDP Isidro Paredes Diffun, Quirino","Isidro Paredes Diffun, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of San Marcos FMR (Section 2),"Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Burgos FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Bagsakan Center/Food Terminals,"Ricarte Sur, Diffun Barangay Food Terminal","Ricarte Sur, Diffun, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Sto. Domingo FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Dingasan FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Bagsakan Center/Food Terminals,"Centro, Diffun Barangay Food Terminal","Centro,Diffun,Quirino",,
RFU II,Quirino,Palay Shed,"Lusod, Maddela Palay Shed","Lusod, Maddela, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Gundaway FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of San Marcos FMR (Section 3) FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Packing House,Packaging House,-,,
RFU II,Quirino,Green House,DA UPROS Green House,"Dungo, Aglipay, Cagayan",,
RFU II,Quirino,Rehabilitationilitation of Research Sta.tion Facility,Cagayan Valley Upland Research Outreach Sta.tion,-,,
RFU II,Quirino,Other PHF,"Maria Clara, Diffun Flatbed Dryer","Maria Clara, Diffun, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of San Benigno FMR (Section 2),"Cabarroguis, Quirino",,
RFU II,Quirino,Green House,Saguday Green House,"Municipal Hall Compound, Saguday, Quirino",,
RFU II,Quirino,Farm-To-Market Road,FMR Dumanisi ,"Dumanisi, Diffun, Quirino",,
RFU II,Quirino,Palay Shed,"Andress Bonifacio (QSU), Diffun Palay Shed","Andress Bonifacio, Diffun, Quirino",,
RFU II,Quirino,Green House,Maddela Green House,"Municipal Hall Compound, Maddela, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Villapena FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Calaocan FMR,"Cabarroguis, Quirino",,
RFU II,Quirino,Farm-To-Market Road,Improvement/Gravelling Of Dumabel FMR,"Aglipay, Quirino",,
RFU II,Quirino,Green House,Aglipay Green House,"Municipal Hall Compound, Aglipay, Quirino",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"MPDP Baguian, Abulug","Barangay Banguian, Abulug",,
RFU II,Cagayan,Other PHF,"Naguilian, Lallo Flatbed Dryer","Naguilian, Lallo, Cagayan",,
RFU II,Cagayan,National Irrigation System (NIS),Magapit Pump Irrigation System Extension Project ,"Camalaniugan and Baggao, Cagayan",,
RFU II,Cagayan,National Irrigation System (NIS),Baggao Irrigation System Improvement And Extension Project  ,"Baggao, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Dassun, Solana MPDP","Dassun, Solana, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Manga (Zone 01), Penablanca MPDP","Manga (Zone 01), Penablanca, Cagayan",,
RFU II,Cagayan,Farm-To-Market Road,Improvement and Opening of San Antonio,"San Antonio, Baggao, Cagayan",,
