sector,amount_appropriation,amount_allocated,amount_utilized,percent_of_utilization,remarks
General Public Service,25500000,25500000,24086431,94.46,Barangay and Municipal Development Projects - on-going
Economic Services,142203654.7,142203654.7,100253332.4,70.5,"Out of 23 Project on Concreting/Rehabilitation of Provincial Roads, 14 project were already completed. Livestock and Poultry Program - 100 percent completed. Agriculture Enhancement for Growth and Productivity - on-going."
Social Services,25006527.3,25006527.3,16423972.45,65.68,Construction of Day Care Center - almost completed. Construction of TESDA ADS PSTC - completed. Upgrading of Development Spring Water Source - completed. Upgrading of Nutri Village - completed. Repair and renovation of tiolet of BDH - completed. Construction of Premiter Fence at esperanza MCH - completed
Total,192710182,192710182,140763736.8,73.04,-
