sector,amount_appropriated,amount_allocated,amount_utilized,percent_of_utilization
General Public Services,35500000,35500000,5475000,15.42
Economic Services,132207150,132207150,58043235.25,43.9
Social Services,46700000,46700000,7401184,15.85
Total,214407150,214407150,70919419.25,33.08
