sector,amount_appropriation,amount_allocated,amount_utilized,percent_of_utilization,remarks
General Public Service,25500000,23900000,23406431,91.79,86.9 percent fund release to Barngay Development Project and 100 percent fund releases to Municipal Development Project
Economic Services,142203654.7,74060816.56,73368744.13,51.59,"Partial funds released to Agricultural Enhancement for Growth and Productivity, Livestock and Puoltry Program, Rehabilitation of Roads. "
Social Services,25006527.3,15401027.3,14790040.38,59.14,"Out of 19 Project under Social Services Sector, 10 Project had 100 percent released from their Appropriation"
Total,192719182,113361843.9,111565215.5,57.89,-
