flight_type,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,grand_total
Domestic,Air Asia Philippines,-,-,32,229,248,240,241,248,214,220,214,94,1980
Domestic,Cebu Pacific,26,26,26,25,27,26,26,28,24,28,26,26,314
Domestic,PAL Express,-,-,12,120,124,120,98,82,72,82,64,98,872
Domestic,Seair,19,16,-,-,32,30,36,34,34,36,34,36,307
Domestic,Simirara Mining Corp,-,-,-,-,-,-,2,-,-,-,-,-,2
Domestic,Zest Air,-,-,-,-,-,-,-,-,-,10,10,6,26
Domestic,Total,45,42,70,374,431,416,403,392,344,376,348,260,3501
International,Air Asia,124,116,124,120,124,120,124,124,120,120,120,124,1460
International,Air Asia Philippines,-,-,-,-,-,44,112,184,180,186,178,192,1076
International,Asiana Airlines,62,64,64,60,62,56,62,62,58,62,60,78,750
International,Cebu Pacific,186,173,186,189,202,175,148,151,156,162,162,178,2068
International,China Southern Airlines,-,-,-,2,-,-,-,-,-,-,-,-,2
International,Dragon Air,-,-,-,-,6,60,60,50,44,48,38,56,362
International,Jin-Air,26,26,26,24,28,22,18,16,18,18,26,32,280
International,PAL Express,40,56,42,-,29,58,45,32,24,38,60,62,486
International,Seair,272,170,186,205,225,190,210,214,230,241,254,278,2675
International,Zest Air,-,-,-,-,-,-,-,-,-,17,69,68,154
International,Total,710,605,628,600,676,725,779,833,830,892,967,1068,9313
G. Aviation,G. Aviation,1074,766,1367,957,1635,1422,1216,999,783,1530,1723,1739,15211
Military,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Total,Grand Total,1829,1413,2065,1931,2742,2563,2398,2224,1957,2798,3038,3067,28025
