flight_type,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,grand_total
Domestic,Cebu Pacific,58,48,32,31,34,34,26,28,24,28,26,26,395
Domestic,Seair,53,46,55,87,76,58,60,64,60,64,66,78,767
Domestic,Total,111,94,87,118,110,92,86,92,84,92,92,104,1162
International,Air Asia,124,112,124,120,124,120,118,124,122,124,120,124,1456
International,Asiana Airlines,52,40,44,41,42,41,45,41,46,44,61,65,562
International,Deer Air,-,-,-,-,-,-,-,-,-,-,-,2,2
International,Hong Kong Airlines,30,24,26,32,62,60,2,-,-,-,-,-,236
International,Hong Kong Express,-,-,-,-,-,-,-,-,-,-,-,2,2
International,Shanghai Airlines,4,4,-,-,4,-,-,-,-,-,-,-,12
International,Tiger Airways,186,168,174,134,124,130,144,138,118,124,120,124,1684
International,Total,396,348,368,327,356,351,309,303,286,292,301,317,3954
G. Aviation,G. Aviation,343,517,334,219,293,256,193,189,231,211,334,335,3455
Military,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Total,Grand Total,850,959,789,664,759,699,588,584,601,595,727,756,8571
