particulars_1,particulars_2,code,amount
Estimated Revenue from Regular Sources ,Estimated Revenue from Regular Sources ,-,1416362160
Calamity Fund,Calamity Fund,-,70818108
Less - Disbursements,Post -Disaster Programs,-,21245432
Less - Disbursements,Post -Disaster Programs - Subsidy to LGUs,874,300000
Balance,Balance,-,20945432.4
