province,city_municipality,position ,name,nickname,party_affiliation,votes_obtained
Ilocos Norte ,Badoc,Mayor,"Torralba, Arlene Monje",Arlene,Nacionalista Party,10382
Ilocos Norte ,Badoc,Vice-Mayor,"Torralba, Thomas Nicolas",Tom,Nacionalista Party,12250
Ilocos Norte ,Badoc,Councilor,"Gorospe, Jennice Salem",Jan,Nacionalista Party,6325
Ilocos Norte ,Badoc,Councilor,"Cajigal, Maximo Dahilig",Maxie,Lakas-Kampi,6398
Ilocos Norte ,Badoc,Councilor,"Prieto, Pedro Tangonan",Peter,Nacionalista Party,6941
Ilocos Norte ,Badoc,Councilor,"Rodriguez, Bayani Antiporda",Otso-Otso,Idependent,7096
Ilocos Norte ,Badoc,Councilor,"Coloma, Jason Reginald Arzadon",Jason,Nacionalista Party,8174
Ilocos Norte ,Badoc,Councilor,"Coloma, Sheryl Pagaling",She,Nacionalista Party,9138
Ilocos Norte ,Badoc,Councilor,"Torralba, Roman Salviejo",Romy,Liberal Party,9199
Ilocos Norte ,Badoc,Councilor,"Rubio, Alwyn Gabriel",Alu,Nacionalista Party,9977
Ilocos Norte ,Bangui,Mayor,"Cimatu, Salvacion Sales",Vacie,Lakas-Kampi,6041
Ilocos Norte ,Bangui,Vice-Mayor,"Gaces, Wilfred Alupay",Willy,Lakas-Kampi,6527
Ilocos Norte ,Bangui,Councilor,"Cascayan, Larry Manuel",Larry,Lakas-Kampi,3270
Ilocos Norte ,Bangui,Councilor,"Campanano, Anthony Navarro",Tony,Nacionalista Party,3444
Ilocos Norte ,Bangui,Councilor,"Ragudo, Redenta Padron",Reden,Kilusang Bagong Lipunan (Marcos Wing),3523
Ilocos Norte ,Bangui,Councilor,"Tomas, Rolando Ragasa",Lando,Lakas-Kampi,3594
Ilocos Norte ,Bangui,Councilor,"Velasco, Fely Castro",Fely,Idependent,3730
Ilocos Norte ,Bangui,Councilor,"Sales, Joseph Torres",Joseph,Lakas-Kampi,3963
Ilocos Norte ,Bangui,Councilor,"Garvida, Denton Lawrence Go",Denton,Nacionalista Party,4807
Ilocos Norte ,Bangui,Councilor,"Balbag, Rogerick Cambe",Gerick,Lakas-Kampi,5642
Ilocos Norte ,Banna Espiritu,Mayor,"Abadilla, Carlito Nolasco",Lito,Nacionalista Party,6363
Ilocos Norte ,Banna Espiritu,Vice-Mayor,"Abadilla Ii, Carlito Aguilar",Carly,Nacionalista Party,7527
Ilocos Norte ,Banna Espiritu,Councilor,"Rondal, Camilo, Jr. Cacayorin",Boy,Liberal Party,4181
Ilocos Norte ,Banna Espiritu,Councilor,"Rupisan, Liberato Lorenzo",Liber,Nacionalista Party,4399
Ilocos Norte ,Banna Espiritu,Councilor,"Acuna, Heinrich Manligas",Henry,Idependent,4766
Ilocos Norte ,Banna Espiritu,Councilor,"Maximo, Jaime Casticimo",Jimmy,Nacionalista Party,4980
Ilocos Norte ,Banna Espiritu,Councilor,"Macasio, Florendo, Jr. Sugui",Enging,Nacionalista Party,5001
Ilocos Norte ,Banna Espiritu,Councilor,"Sanchez, Dennis Jambaro",Den,Nacionalista Party,5065
Ilocos Norte ,Banna Espiritu,Councilor,"Lucas, Nelson Sebastian",N. Lucas,Nacionalista Party,5632
Ilocos Norte ,Banna Espiritu,Councilor,"Taroma, Ruben Guiang",Ruben,Nacionalista Party,6486
Ilocos Norte ,Batac City ,Mayor,"Nalupta, Jeffrey Jubal Castro",Jef,Lakas-Kampi,14453
Ilocos Norte ,Batac City ,Vice-Mayor,"Nalupta, Ronald Allan Marders",Alan,Lakas-Kampi,19518
Ilocos Norte ,Batac City ,Councilor,"Abellon, Amable Arcangel",Tonette,Lakas-Kampi,9349
Ilocos Norte ,Batac City ,Councilor,"Pungtilan, Elmer Dela Cruz",Elmer,Idependent,10001
Ilocos Norte ,Batac City ,Councilor,"Crisostomo, Avelard Ibarra Franco",Bubot,Nacionalista Party,10017
