description_of_project,function_or_program_or_project_1,function_or_program_or_project_2,location,appropriations,obligations
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of basketball court bleacher,Wawa I Rosario,358772,358772
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court,Iba Silang,3465000,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court (15m x 30m),Ipil I Silang,3432000,3432000
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court (15m x 30m),Biga Tanza,3103600,3103600
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court,"Daang Bukid, Bacoor",3209000,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Delivery of materials for the constrution of multi-purpose,"San Agustin, Magallanes",268076,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court,Ipil II Silang,3629800,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of multi-purpose hall,"Lumil, Silang",2936500,-
Social Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of 2 storey multi-purpose hall,Punta II Tanza,1318700,-
Economic Development,"Constructions or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",-,-,46037979.79,35056472.46
Economic Development,"Construction or rehabilitation of communal irrigation or water impounding system and purchase of post harvest facilities (farm or hand tractor with trailer, threhers and mechanical dryer) ",Delivery of pipes for Paangil Demo Farm,Pamil Amadeo,109000,-
Economic Development,"Construction or rehabilitation of communal irrigation or water impounding system and purchase of post harvest facilities (farm or hand tractor with trailer, threhers and mechanical dryer) ",Delivery of maaterials for the upgrading of electrical facilitities of demo farm,Pamil Amadeo,190000,-
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of road,"Poblacion 5, Alfonso",2737600,2737600
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Contruction of reinforced concrete double box culverts(8m),"Poblacion 6,Sitio Manda Amadeo",2368848,2368848
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Upgrading of pathways,"Maliksi 1, Bacoor",589607,589607
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of road,"Molino 1, Bacoor",306800,-
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of road,Poblacion 4 Blk. 44 Gen M. Alvarez,642500,-
