description_of_project_1,description_of_project_2,description_of_project_3,location,obligations
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Asphalt overlay (Phase 1),"Mabuhay, Carmona",2500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Asphalt overlay,"Barangay 21 Scorpio, Barlan St., Cavite City",1533040
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Asphalting of road,"San Antonio I and II, Cavite City",8000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Delivery of materials for the concreting of pathwalk,"Fatima III, Phases 4 and 6, City of Dasmarinas",130350
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Delivery of materials for the concreting of road,"Sta. Fe, Block II Extension Lot, City of Dasmarinas",159859
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Batas Dao, Gen. Aguinaldo",750000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Rehabilitation or Improvement of Dikay Bridge,"Sitio Dikay, Kabulusan, Gen. Aguinaldo",500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Kaypaaba, Gen. Aguinaldo",500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Delivery of materials for the improvement of pathwalk and railings,"Nicolasa Virata, Gen. M. Alvarez",864200
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Const. of embankment protection wall of Bacao 2 EPZA road,"Bacao 2, Gen. Trias",7158250
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Asphalting of road,"Bayan Luma 2 (Lamsun Ave-Market Rd.), Imus",2965000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Construction of flat slab bridge,"Malagasang II-C, Imus",2853527.5
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Asphalt overlay,"Poblacion IV-C Dimasalang St., Imus",4178600
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of barangay road,"Carasuchi, Indang",932300
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Bucal I, Maragondon",249768
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Banayad, Mendez",338000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Repair of pathway,"Anahaw I, Silang",122900
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of barangay road,"Balubad, Silang",2144800
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Asphalt overlay,"Biluso, Silang",3355000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of pathwalk,"Old Bulihan, Silang",478000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"San Miguel II, Silang",1058600
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Sapang I, Ternate",1000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Asphalt overlay of road,"Poblacion III, Alfonso",664460
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of barangay road,"Tamacan-Sampalucan, Amadeo",500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Asphalt overlay of road,"Barangay 21 Scorpio, Barlan St., Cavite City",580500
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Construction of pathway,"Barangay 29M Laolao, via Perea and Liemente St., Cavite City",198000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Delivery of materials for the concreting of road,"Kua Blick 44, Gen. M. Alvarez",160567
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Poblacion I, Gen. M. Alvarez",49170
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Construction of road,"Tapia (Lopez-Gomez Subd), Gen. Trias",730000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Embankment and concreting of bridge approaches,"Pangil-Limbon Bridge, Indang",2781846.35
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting or Upgrading of road and Construction of drainage canal,"Tabon 2, Kawit",1188000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of Barangay road,"Pacheco, Magallanes",600000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Widening of M. Dimapili St.,"Anuling Lejos I, Mendez",147000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Delivery of materials for the concreting of road,"Carmen, Silang",137250
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road (L=806.50m; W=4m),"Tibig, Silang",5000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Improvement of Spanish arc Bridge,"Calibuyo, Tanza",363846
Economic Development,Capital Expenditures related to the implementation of livelihood or entrepreneurship or local economic development projects,Purchase of 160 bags hybrid yellow corn seeds for the promotion of Hybrid Corn Production (Seed Subsidy),"Office of the Prov'l. Agriculturist, Trece Martires City",400000
Economic Development,Capital Expenditures related to the implementation of livelihood or entrepreneurship or local economic development projects,Purchase of asexually propagated seedlings and forest trees,"Office of the Prov'l. Agriculturist, Trece Martires City",1970000
Economic Development,Rehabilitation of Cultural or Historical Sites,Restoration of historical landmark,"Sta. Cruz Parish Church Convent, Tanza",3000000
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of open canal,"Pulido, Gen. M. Alvarez",588540
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of canal lining,"Tejero, Gen. Trias",2579735
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of grouted riprap,"Alapan II-B, Imus",2830662.48
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of riprap,"Malagasang II-C, Imus",503800
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of riprap near Balimbing Bridge,"Poblacion IV-A, Imus",3561735.88
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of canal with manhole,"Legaspi St, Binakayan, Kawit",839320
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of canal lining,"Sta Cruz St. Polocpoc II, Mendez",578000
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of grouted riprap,"San Antonio I, Noveleta",3830092.65
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of canal lining along Tramo Road,"Ligtong III, Rosario",1449730
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of Canal Lining,"Pajo, Alfonso",674000
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Repair or improvement of canal lining,"Poblacion 5, Alfonso",100000
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction or rehabilitation of drainage canal,"Maliksi 2, Bacoor",225500
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Delivery of materials for the construction of open canal,"San Esteban (Blks 60 and 80), City of Dasmarinas ",18986
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of canal lining,"Poblacion I-A, Maragondon",360200
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of canal lining,"Galicia II, Mendez",500000
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of canal lining,"Panungyan I, Mendez",772000
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of canal lining,"Poblacion 5, Mendez",341000
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of canal lining,"Putting Kahoy, Sitio Muzon, Silang",573300
Environment Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Delivery of materials for the construction of canal,"Poblacion 5, Gen. M. Alvarez",61050
Total,Total,Total,Total,324242474.8
