description_of_project_1,description_of_project_2,description_of_project_3,location,obligations
Social Development,Establishment or rehabilitation of manpower development centers,Construction of 2 classroom K-type modular school building ,"Estansuela ES, Cavite City",1113150
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school,"Dasmarinas NHS-Main, Burol I, City of Dasmarinas",98560
Social Development,Establishment or rehabilitation of manpower development centers,"Construction of 2-storey, 4 classroom, K type modular school building","Langkaan ES, City of Dasmarinas",1779500
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school,"New Era NHS, City of Dasmarinas",80686.65
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school,"Pag-asa NHS, Victoria Reyes, City of Dasmarinas",67283.48
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school,"Salitran ES, City of Dasmarinas",99753.5
Social Development,Establishment or rehabilitation of manpower development centers,"Construction of 2-storey, 6 classroom, K type modular school building","TUP, City of Dasmarinas",3098850
Social Development,Establishment or rehabilitation of manpower development centers,"Construction of 2-storey, 6 classroom, K type modular school building","Florentino Joya ES, Tanza",3098850
Social Development,Establishment or rehabilitation of manpower development centers,Construction of 2 classroom modular type school building ,"Southville ES, Inocencio, Trece Martires City",570225
Social Development,Establishment or rehabilitation of manpower development centers,Completion of 3 classrooms and repair of computer building,"Mayor Calixto Enriquez ES, Rosario",3122700
Social Development,Establishment or rehabilitation of manpower development centers,Repair and improvement of 5 classrooms,"Sangley ES, Cavite City",526350
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of playground facilities,"Habay I, Bacoor",50000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of second floor of senior citizen building,"Fatima II, Dasmarinas City",631800
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for the construction of senior citizen building,"San Francisco II, Dasmarinas City",97500
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of multi-purpose hall,"Pasong Kawayan I, Gen. Trias",1359600
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of 2-storey multi-purpose hall,"Bagong Silang, Imus",2837000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Extension of school stage,"Banaba Cerca E/S, Indang",356000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of public toilet,"Relocation Site, Toclong, Kawit",695000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of roofing stage,"Bucal II E/S, Maragondon",338300
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Completion of 2nd floor of multi-purpose hall,"Palangue 2-3, Naic",1000000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of multi-purpose hall,"Wawa II, Rosario",1790000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Completion of multi-purpose hall,"De Ocampo, Trece Martires City",2074000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Improvement of multi-purpose hall,"Osorio, Trece Martires City",1500000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court canopy,"Amuyong E/S, Alfonso",150000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (15m x 26m) with stage and bleachers,"Anabu II-C, Imus",3465200
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of arc roof covered court (20m x 30m) with bleacher,"Bayan Luma 6, Treelane III, Imus",3850200
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 30m) with bleacher,"Bucandala 3, Imus",5572500
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 30m),"Maharlika, Imus",3931400
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Improvement of covered court,"Malagsang I-C, Imus",158000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (15m x 30m),"Malagasang I E/S, Imus",1846200
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Improvement of covered court at perimeter fence or constriction stage,"Sta. Isabel, Kawit",2412790
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Fabrication of sets movable basketball goal with clear fingerglass board,"San Agustin, Magallanes",190055.98
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for the installation of basketball lighting,"Bagong Kalsada, Naic",-
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of basketball court bleacher,"Wawa I, Rosario",358772
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of basketball cour,"Iba, Silang",3465000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (15m x 30m),"Ipil I, Silang",3432000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (15m x 30m),"Biga, Tanza",3103600
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court,"Daang Bukid, Bacoor",3209000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for the construction of multi-purpose,"San Agustin, Magallanes",268076
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court,"Ipil II, Silang",3629800
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of multi-purpose hall,"Lumil, Silang",2824200
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of 2 storey multi-purpose hall,"Punta II, Tanza",1318700
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court,"Amuyong, Alfonso",2922300
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court,"Buck Estate, Alfonso",2622500
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court,"Banaybanay, Amadeo",3587488
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 30m),"Rochel Duplex Subd. Molino 4, Bacoor",3211000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 30m),"St. Joseph Subd. Panapaan 3, Bacoor",3202000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court,"Paliparan III, City of Dasmarinas",3557200
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for the installation of fiberglass board and rings,"Litlit, Silang",63228
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (15m x 28m),"Santiago, Gen. Trias",3457100
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court,"Gregoria de Jesus, Gen. M. Alvares",1997856
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court,"Pasong Buaya II, Imus",4870200
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court,"Calumpang Cerca, Indang",3138463.01
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (15m x 24m),"Ligtong III, Rosario",3555700
