year,month,day,hours,southbound_total_in,northbound_total_in,southbound_total_out,northbound_total_out
2011,January,Monday,4:00-5:00 AM,0,0,0,0
2011,January,Monday,5:00-6:00,9611,7944,9611,7944
2011,January,Monday,6:00-7:00,17920,13822,17920,13822
2011,January,Monday,7:00-8:00,22858,18204,22858,18204
2011,January,Monday,8:00-9:00,18876,15444,18876,15444
2011,January,Monday,9:00-10:00,17617,15099,17617,15099
2011,January,Monday,10:00-11:00,15044,14683,15044,14683
2011,January,Monday,11:00-12:00,14802,14157,14802,14157
2011,January,Monday,12:00-1:00 PM,13219,14940,13219,14940
2011,January,Monday,1:00-2:00,14239,14930,14239,14930
2011,January,Monday,2:00-3:00,13981,16331,13981,16331
2011,January,Monday,3:00-4:00,13461,17412,13461,17412
2011,January,Monday,4:00-5:00,13638,21618,13638,21618
2011,January,Monday,5:00-6:00,16715,24737,16715,24737
2011,January,Monday,6:00-7:00,14541,21183,14541,21183
2011,January,Monday,7:00-8:00,10601,15519,10601,15519
2011,January,Monday,8:00-9:00,7652,10631,7652,10631
2011,January,Monday,9:00-10:00,3427,4249,3427,4249
2011,January,Monday,10:00-11:00,0,0,0,0
2011,January,Tuesday,4:00-5:00 AM,0,0,0,0
2011,January,Tuesday,5:00-6:00,7418,5866,7418,5866
2011,January,Tuesday,6:00-7:00,17519,13257,17519,13257
2011,January,Tuesday,7:00-8:00,21753,17755,21753,17755
2011,January,Tuesday,8:00-9:00,20391,16668,20391,16668
2011,January,Tuesday,9:00-10:00,16460,14022,16460,14022
2011,January,Tuesday,10:00-11:00,14191,13785,14191,13785
2011,January,Tuesday,11:00-12:00,14399,13761,14399,13761
2011,January,Tuesday,12:00-1:00 PM,13789,15476,13789,15476
2011,January,Tuesday,1:00-2:00,14285,14745,14285,14745
2011,January,Tuesday,2:00-3:00,13753,16144,13753,16144
2011,January,Tuesday,3:00-4:00,13447,17322,13447,17322
2011,January,Tuesday,4:00-5:00,13445,21387,13445,21387
2011,January,Tuesday,5:00-6:00,16610,24824,16610,24824
2011,January,Tuesday,6:00-7:00,15091,21862,15091,21862
2011,January,Tuesday,7:00-8:00,10698,15901,10698,15901
2011,January,Tuesday,8:00-9:00,7763,10793,7763,10793
2011,January,Tuesday,9:00-10:00,3552,4422,3552,4422
2011,January,Tuesday,10:00-11:00,0,0,0,0
2011,January,Wednesday,4:00-5:00 AM,0,0,0,0
2011,January,Wednesday,5:00-6:00,7537,5702,7537,5702
2011,January,Wednesday,6:00-7:00,16056,12315,16056,12315
2011,January,Wednesday,7:00-8:00,23434,18512,23434,18512
2011,January,Wednesday,8:00-9:00,20623,16824,20623,16824
2011,January,Wednesday,9:00-10:00,17340,14905,17340,14905
2011,January,Wednesday,10:00-11:00,14509,14920,14509,14920
2011,January,Wednesday,11:00-12:00,14673,14448,14673,14448
2011,January,Wednesday,12:00-1:00 PM,13919,16624,13919,16624
2011,January,Wednesday,1:00-2:00,14649,15749,14649,15749
2011,January,Wednesday,2:00-3:00,14342,16843,14342,16843
2011,January,Wednesday,3:00-4:00,13692,18535,13692,18535
2011,January,Wednesday,4:00-5:00,13763,23067,13763,23067
2011,January,Wednesday,5:00-6:00,17167,26351,17167,26351
2011,January,Wednesday,6:00-7:00,15408,23482,15408,23482
2011,January,Wednesday,7:00-8:00,10613,16890,10613,16890
2011,January,Wednesday,8:00-9:00,7777,11536,7777,11536
2011,January,Wednesday,9:00-10:00,3599,4680,3599,4680
2011,January,Wednesday,10:00-11:00,0,0,0,0
2011,January,Thursday,4:00-5:00 AM,0,0,0,0
2011,January,Thursday,5:00-6:00,7066,5572,7066,5572
2011,January,Thursday,6:00-7:00,16961,12815,16961,12815
2011,January,Thursday,7:00-8:00,21939,17808,21939,17808
2011,January,Thursday,8:00-9:00,19923,15870,19923,15870
2011,January,Thursday,9:00-10:00,16332,13890,16332,13890
2011,January,Thursday,10:00-11:00,13869,13449,13869,13449
2011,January,Thursday,11:00-12:00,14086,13295,14086,13295
2011,January,Thursday,12:00-1:00 PM,13038,14874,13038,14874
2011,January,Thursday,1:00-2:00,13758,14181,13758,14181
2011,January,Thursday,2:00-3:00,13089,15367,13089,15367
2011,January,Thursday,3:00-4:00,12773,16572,12773,16572
2011,January,Thursday,4:00-5:00,12867,20769,12867,20769
2011,January,Thursday,5:00-6:00,16247,24406,16247,24406
2011,January,Thursday,6:00-7:00,14838,21533,14838,21533
2011,January,Thursday,7:00-8:00,10584,15485,10584,15485
2011,January,Thursday,8:00-9:00,7762,10907,7762,10907
2011,January,Thursday,9:00-10:00,3643,4558,3643,4558
2011,January,Thursday,10:00-11:00,0,0,0,0
2011,January,Friday,4:00-5:00 AM,0,0,0,0
2011,January,Friday,5:00-6:00,7267,5882,7267,5882
2011,January,Friday,6:00-7:00,17013,12938,17013,12938
2011,January,Friday,7:00-8:00,22437,18291,22437,18291
2011,January,Friday,8:00-9:00,21013,16798,21013,16798
2011,January,Friday,9:00-10:00,18068,14929,18068,14929
2011,January,Friday,10:00-11:00,15697,15208,15697,15208
2011,January,Friday,11:00-12:00,15668,14703,15668,14703
2011,January,Friday,12:00-1:00 PM,14921,16617,14921,16617
2011,January,Friday,1:00-2:00,16082,16354,16082,16354
2011,January,Friday,2:00-3:00,16021,18305,16021,18305
2011,January,Friday,3:00-4:00,15312,19419,15312,19419
2011,January,Friday,4:00-5:00,15407,23643,15407,23643
2011,January,Friday,5:00-6:00,18417,26637,18417,26637
2011,January,Friday,6:00-7:00,16807,23538,16807,23538
2011,January,Friday,7:00-8:00,12288,17151,12288,17151
2011,January,Friday,8:00-9:00,9309,12485,9309,12485
2011,January,Friday,9:00-10:00,4378,5448,4378,5448
2011,January,Friday,10:00-11:00,0,0,0,0
2011,January,Saturday,4:00-5:00 AM,0,0,0,0
2011,January,Saturday,5:00-6:00,6256,3241,6256,3241
2011,January,Saturday,6:00-7:00,10930,7450,10930,7450
2011,January,Saturday,7:00-8:00,16108,10761,16108,10761
2011,January,Saturday,8:00-9:00,16147,10814,16147,10814
2011,January,Saturday,9:00-10:00,14506,9909,14506,9909
2011,January,Saturday,10:00-11:00,12992,10514,12992,10514
2011,January,Saturday,11:00-12:00,13696,11030,13696,11030
2011,January,Saturday,12:00-1:00 PM,14539,13300,14539,13300
2011,January,Saturday,1:00-2:00,13778,12383,13778,12383
2011,January,Saturday,2:00-3:00,13396,12720,13396,12720
2011,January,Saturday,3:00-4:00,13399,14290,13399,14290
2011,January,Saturday,4:00-5:00,13466,17668,13466,17668
2011,January,Saturday,5:00-6:00,15036,18705,15036,18705
2011,January,Saturday,6:00-7:00,14924,15139,14924,15139
2011,January,Saturday,7:00-8:00,10885,11812,10885,11812
2011,January,Saturday,8:00-9:00,7948,8102,7948,8102
2011,January,Saturday,9:00-10:00,2060,926,2060,926
2011,January,Saturday,10:00-11:00,0,0,0,0
2011,January,Sunday,4:00-5:00 AM,0,0,0,0
2011,January,Sunday,5:00-6:00,4237,3285,4237,3285
2011,January,Sunday,6:00-7:00,5564,4740,5564,4740
2011,January,Sunday,7:00-8:00,7150,6355,7150,6355
2011,January,Sunday,8:00-9:00,8950,7556,8950,7556
2011,January,Sunday,9:00-10:00,10040,8513,10040,8513
2011,January,Sunday,10:00-11:00,10486,9324,10486,9324
2011,January,Sunday,11:00-12:00,11101,9299,11101,9299
2011,January,Sunday,12:00-1:00 PM,10253,9716,10253,9716
2011,January,Sunday,1:00-2:00,10791,9538,10791,9538
2011,January,Sunday,2:00-3:00,11233,9765,11233,9765
2011,January,Sunday,3:00-4:00,10616,10206,10616,10206
2011,January,Sunday,4:00-5:00,10410,10650,10410,10650
2011,January,Sunday,5:00-6:00,10187,11152,10187,11152
2011,January,Sunday,6:00-7:00,9322,10725,9322,10725
2011,January,Sunday,7:00-8:00,7681,9192,7681,9192
2011,January,Sunday,8:00-9:00,6189,6583,6189,6583
2011,January,Sunday,9:00-10:00,1799,571,1799,571
2011,January,Sunday,10:00-11:00,0,0,0,0
2011,February,Monday,4:00-5:00 AM,0,0,0,0
2011,February,Monday,5:00-6:00,8887,7606,8887,7606
2011,February,Monday,6:00-7:00,17619,14685,17619,14685
2011,February,Monday,7:00-8:00,22483,19164,22483,19164
2011,February,Monday,8:00-9:00,20152,17111,20152,17111
2011,February,Monday,9:00-10:00,16813,15041,16813,15041
2011,February,Monday,10:00-11:00,14422,14570,14422,14570
2011,February,Monday,11:00-12:00,14447,14243,14447,14243
2011,February,Monday,12:00-1:00 PM,13639,16111,13639,16111
2011,February,Monday,1:00-2:00,14409,15298,14409,15298
2011,February,Monday,2:00-3:00,13875,16484,13875,16484
2011,February,Monday,3:00-4:00,13398,17654,13398,17654
2011,February,Monday,4:00-5:00,13739,22600,13739,22600
2011,February,Monday,5:00-6:00,16699,25524,16699,25524
2011,February,Monday,6:00-7:00,15161,22820,15161,22820
2011,February,Monday,7:00-8:00,10853,16341,10853,16341
2011,February,Monday,8:00-9:00,8239,11920,8239,11920
2011,February,Monday,9:00-10:00,3686,4867,3686,4867
2011,February,Monday,10:00-11:00,0,0,0,0
2011,February,Tuesday,4:00-5:00 AM,0,0,0,0
2011,February,Tuesday,5:00-6:00,7605,6084,7605,6084
2011,February,Tuesday,6:00-7:00,17216,13475,17216,13475
2011,February,Tuesday,7:00-8:00,22121,18165,22121,18165
2011,February,Tuesday,8:00-9:00,19439,16072,19439,16072
2011,February,Tuesday,9:00-10:00,16415,14135,16415,14135
2011,February,Tuesday,10:00-11:00,13822,13733,13822,13733
2011,February,Tuesday,11:00-12:00,13868,13477,13868,13477
2011,February,Tuesday,12:00-1:00 PM,13217,15327,13217,15327
2011,February,Tuesday,1:00-2:00,13697,14347,13697,14347
2011,February,Tuesday,2:00-3:00,13267,15634,13267,15634
2011,February,Tuesday,3:00-4:00,12844,16839,12844,16839
2011,February,Tuesday,4:00-5:00,13013,21461,13013,21461
2011,February,Tuesday,5:00-6:00,15959,24298,15959,24298
2011,February,Tuesday,6:00-7:00,14952,21929,14952,21929
2011,February,Tuesday,7:00-8:00,10837,16170,10837,16170
