year,month,day,hours,southbound_total_in,northbound_total_in,southbound_total_out,northbound_total_out
2010,February,Monday,4:00-5:00 AM,0,0,0,0
2010,February,Monday,5:00-6:00,12729,6453,13916,5266
2010,February,Monday,6:00-7:00,21578,12414,23925,10066
2010,February,Monday,7:00-8:00,25964,15468,30265,11167
2010,February,Monday,8:00-9:00,21936,14371,26708,9599
2010,February,Monday,9:00-10:00,17908,13032,22359,8580
2010,February,Monday,10:00-11:00,15780,12969,19321,9428
2010,February,Monday,11:00-12:00,15444,13163,19361,9245
2010,February,Monday,12:00-1:00 PM,15204,13512,19679,9037
2010,February,Monday,1:00-2:00,15150,13546,19660,9035
2010,February,Monday,2:00-3:00,14946,14752,19381,10318
2010,February,Monday,3:00-4:00,13947,15943,18886,11004
2010,February,Monday,4:00-5:00,13999,20246,19809,14436
2010,February,Monday,5:00-6:00,16478,24064,23648,16894
2010,February,Monday,6:00-7:00,14008,20593,21422,13180
2010,February,Monday,7:00-8:00,10095,14639,16457,8277
2010,February,Monday,8:00-9:00,7025,9953,11570,5409
2010,February,Monday,9:00-10:00,3540,5391,6175,2756
2010,February,Monday,10:00-11:00,549,831,1069,311
2010,February,Tuesday,4:00-5:00 AM,0,0,0,0
2010,February,Tuesday,5:00-6:00,10587,5142,10587,5142
2010,February,Tuesday,6:00-7:00,20921,12748,20921,12748
2010,February,Tuesday,7:00-8:00,25799,16302,25799,16302
2010,February,Tuesday,8:00-9:00,22314,14702,22314,14702
2010,February,Tuesday,9:00-10:00,17900,13324,17900,13324
2010,February,Tuesday,10:00-11:00,15291,13041,15291,13041
2010,February,Tuesday,11:00-12:00,15038,13003,15038,13003
2010,February,Tuesday,12:00-1:00 PM,14731,13477,14731,13477
2010,February,Tuesday,1:00-2:00,14822,13705,14822,13705
2010,February,Tuesday,2:00-3:00,14508,14813,14508,14813
2010,February,Tuesday,3:00-4:00,13749,15931,13749,15931
2010,February,Tuesday,4:00-5:00,13815,20728,13815,20728
2010,February,Tuesday,5:00-6:00,16624,24709,16624,24709
2010,February,Tuesday,6:00-7:00,14524,21530,14524,21530
2010,February,Tuesday,7:00-8:00,10311,15354,10311,15354
2010,February,Tuesday,8:00-9:00,7334,10470,7334,10470
2010,February,Tuesday,9:00-10:00,3821,5986,3821,5986
2010,February,Tuesday,10:00-11:00,785,796,785,796
2010,February,Wednesday,4:00-5:00 AM,0,0,0,0
2010,February,Wednesday,5:00-6:00,10607,5022,10607,5022
2010,February,Wednesday,6:00-7:00,21277,12510,21277,12510
2010,February,Wednesday,7:00-8:00,26317,16146,26317,16146
2010,February,Wednesday,8:00-9:00,22556,15412,22556,15412
2010,February,Wednesday,9:00-10:00,18985,14513,18985,14513
2010,February,Wednesday,10:00-11:00,15725,14412,15725,14412
2010,February,Wednesday,11:00-12:00,15297,14077,15297,14077
2010,February,Wednesday,12:00-1:00 PM,15420,15118,15420,15118
2010,February,Wednesday,1:00-2:00,15578,14636,15578,14636
2010,February,Wednesday,2:00-3:00,15136,15299,15136,15299
2010,February,Wednesday,3:00-4:00,14217,17557,14217,17557
2010,February,Wednesday,4:00-5:00,14712,23060,14712,23060
2010,February,Wednesday,5:00-6:00,17653,26332,17653,26332
2010,February,Wednesday,6:00-7:00,14947,23490,14947,23490
2010,February,Wednesday,7:00-8:00,10685,16779,10685,16779
2010,February,Wednesday,8:00-9:00,7556,11327,7556,11327
2010,February,Wednesday,9:00-10:00,3952,6365,3952,6365
2010,February,Wednesday,10:00-11:00,611,596,611,596
2010,February,Thursday,4:00-5:00 AM,0,0,0,0
2010,February,Thursday,5:00-6:00,9864,4910,9864,4910
2010,February,Thursday,6:00-7:00,18359,11442,18359,11442
2010,February,Thursday,7:00-8:00,25869,15706,25869,15706
2010,February,Thursday,8:00-9:00,20937,13945,20937,13945
2010,February,Thursday,9:00-10:00,17221,12504,17221,12504
2010,February,Thursday,10:00-11:00,14797,12138,14797,12138
2010,February,Thursday,11:00-12:00,14431,12279,14431,12279
2010,February,Thursday,12:00-1:00 PM,14109,12400,14109,12400
2010,February,Thursday,1:00-2:00,14109,12463,14109,12463
2010,February,Thursday,2:00-3:00,13726,14007,13726,14007
2010,February,Thursday,3:00-4:00,13217,15083,13217,15083
2010,February,Thursday,4:00-5:00,13526,19788,13526,19788
2010,February,Thursday,5:00-6:00,16239,23306,16239,23306
2010,February,Thursday,6:00-7:00,14257,20617,14257,20617
2010,February,Thursday,7:00-8:00,9980,14405,9980,14405
2010,February,Thursday,8:00-9:00,7391,10299,7391,10299
2010,February,Thursday,9:00-10:00,3816,5962,3816,5962
2010,February,Thursday,10:00-11:00,591,495,591,495
2010,February,Friday,4:00-5:00 AM,0,0,0,0
2010,February,Friday,5:00-6:00,9851,5028,9851,5028
2010,February,Friday,6:00-7:00,20430,12175,20430,12175
2010,February,Friday,7:00-8:00,25585,15929,25585,15929
2010,February,Friday,8:00-9:00,22690,14838,22690,14838
2010,February,Friday,9:00-10:00,18534,13647,18534,13647
2010,February,Friday,10:00-11:00,16224,13580,16224,13580
2010,February,Friday,11:00-12:00,16283,13672,16283,13672
2010,February,Friday,12:00-1:00 PM,16279,14154,16279,14154
2010,February,Friday,1:00-2:00,16397,14504,16397,14504
2010,February,Friday,2:00-3:00,16185,15783,16185,15783
2010,February,Friday,3:00-4:00,15333,17608,15333,17608
2010,February,Friday,4:00-5:00,15601,22205,15601,22205
2010,February,Friday,5:00-6:00,18565,26169,18565,26169
2010,February,Friday,6:00-7:00,16464,23402,16464,23402
2010,February,Friday,7:00-8:00,11862,17188,11862,17188
2010,February,Friday,8:00-9:00,8543,12028,8543,12028
2010,February,Friday,9:00-10:00,4659,7033,4659,7033
2010,February,Friday,10:00-11:00,895,894,895,894
2010,February,Saturday,4:00-5:00 AM,0,0,0,0
2010,February,Saturday,5:00-6:00,7151,3863,7151,3863
2010,February,Saturday,6:00-7:00,12487,8265,12487,8265
2010,February,Saturday,7:00-8:00,16640,11003,16640,11003
2010,February,Saturday,8:00-9:00,15613,10867,15613,10867
2010,February,Saturday,9:00-10:00,13386,10019,13386,10019
2010,February,Saturday,10:00-11:00,12566,10256,12566,10256
2010,February,Saturday,11:00-12:00,13055,11158,13055,11158
2010,February,Saturday,12:00-1:00 PM,13685,12746,13685,12746
2010,February,Saturday,1:00-2:00,13083,11977,13083,11977
2010,February,Saturday,2:00-3:00,12451,12522,12451,12522
2010,February,Saturday,3:00-4:00,12355,14281,12355,14281
2010,February,Saturday,4:00-5:00,12207,17549,12207,17549
2010,February,Saturday,5:00-6:00,13752,18832,13752,18832
2010,February,Saturday,6:00-7:00,12865,15865,12865,15865
2010,February,Saturday,7:00-8:00,9446,12489,9446,12489
2010,February,Saturday,8:00-9:00,6671,8009,6671,8009
2010,February,Saturday,9:00-10:00,1680,0,1680,0
2010,February,Saturday,10:00-11:00,0,0,0,0
2010,February,Sunday,4:00-5:00 AM,0,0,0,0
2010,February,Sunday,5:00-6:00,4442,3619,4442,3619
2010,February,Sunday,6:00-7:00,6010,5488,6010,5488
2010,February,Sunday,7:00-8:00,7627,6857,7627,6857
2010,February,Sunday,8:00-9:00,9491,7867,9491,7867
2010,February,Sunday,9:00-10:00,9727,8603,9727,8603
2010,February,Sunday,10:00-11:00,9616,8902,9616,8902
2010,February,Sunday,11:00-12:00,9693,8713,9693,8713
2010,February,Sunday,12:00-1:00 PM,8910,9195,8910,9195
2010,February,Sunday,1:00-2:00,9382,8802,9382,8802
2010,February,Sunday,2:00-3:00,10026,9164,10026,9164
2010,February,Sunday,3:00-4:00,9898,9609,9898,9609
2010,February,Sunday,4:00-5:00,10427,10404,10427,10404
2010,February,Sunday,5:00-6:00,10477,10965,10477,10965
2010,February,Sunday,6:00-7:00,9174,10934,9174,10934
2010,February,Sunday,7:00-8:00,7424,9031,7424,9031
2010,February,Sunday,8:00-9:00,5750,6228,5750,6228
2010,February,Sunday,9:00-10:00,1392,0,1392,0
2010,February,Sunday,10:00-11:00,0,0,0,0
2010,March,Monday,4:00-5:00 AM,0,0,0,0
2010,March,Monday,5:00-6:00,13247,6637,14457,5426
2010,March,Monday,6:00-7:00,21307,12395,23617,10085
2010,March,Monday,7:00-8:00,25145,15391,29472,11064
2010,March,Monday,8:00-9:00,21786,14515,26713,9588
2010,March,Monday,9:00-10:00,18229,13492,23181,8540
2010,March,Monday,10:00-11:00,15716,13120,19374,9462
2010,March,Monday,11:00-12:00,15234,12886,19124,8996
2010,March,Monday,12:00-1:00 PM,14947,13157,19879,8225
2010,March,Monday,1:00-2:00,14691,13047,19043,8695
2010,March,Monday,2:00-3:00,14334,14094,18899,9529
2010,March,Monday,3:00-4:00,11850,13859,16427,9281
2010,March,Monday,4:00-5:00,13241,19754,18233,14762
2010,March,Monday,5:00-6:00,16139,23612,23172,16579
2010,March,Monday,6:00-7:00,13606,20170,20401,13375
2010,March,Monday,7:00-8:00,9989,14832,16739,8083
2010,March,Monday,8:00-9:00,6886,10004,11779,5110
2010,March,Monday,9:00-10:00,2883,3805,5136,1552
2010,March,Monday,10:00-11:00,0,0,0,0
2010,March,Tuesday,4:00-5:00 AM,0,0,0,0
2010,March,Tuesday,5:00-6:00,10292,5284,10292,5284
2010,March,Tuesday,6:00-7:00,20013,11689,20013,11689
2010,March,Tuesday,7:00-8:00,23843,14912,23843,14912
2010,March,Tuesday,8:00-9:00,20340,13995,20340,13995
2010,March,Tuesday,9:00-10:00,16761,12475,16761,12475
2010,March,Tuesday,10:00-11:00,14911,12270,14911,12270
2010,March,Tuesday,11:00-12:00,14505,12410,14505,12410
2010,March,Tuesday,12:00-1:00 PM,14369,12908,14369,12908
2010,March,Tuesday,1:00-2:00,14255,13025,14255,13025
2010,March,Tuesday,2:00-3:00,13783,14005,13783,14005
2010,March,Tuesday,3:00-4:00,13055,15302,13055,15302
2010,March,Tuesday,4:00-5:00,13225,19989,13225,19989
2010,March,Tuesday,5:00-6:00,15630,23070,15630,23070
2010,March,Tuesday,6:00-7:00,13871,20606,13871,20606
2010,March,Tuesday,7:00-8:00,9795,14432,9795,14432
2010,March,Tuesday,8:00-9:00,6934,10027,6934,10027
2010,March,Tuesday,9:00-10:00,2973,3992,2973,3992
2010,March,Tuesday,10:00-11:00,0,0,0,0
2010,March,Wednesday,4:00-5:00 AM,0,0,0,0
2010,March,Wednesday,5:00-6:00,10486,5164,10486,5164
2010,March,Wednesday,6:00-7:00,19976,11588,19976,11588
2010,March,Wednesday,7:00-8:00,23628,15001,23628,15001
2010,March,Wednesday,8:00-9:00,20620,14203,20620,14203
2010,March,Wednesday,9:00-10:00,17178,13422,17178,13422
2010,March,Wednesday,10:00-11:00,14844,13372,14844,13372
2010,March,Wednesday,11:00-12:00,14388,13171,14388,13171
2010,March,Wednesday,12:00-1:00 PM,14740,14327,14740,14327
2010,March,Wednesday,1:00-2:00,14537,13911,14537,13911
2010,March,Wednesday,2:00-3:00,14090,14582,14090,14582
2010,March,Wednesday,3:00-4:00,13434,16794,13434,16794
2010,March,Wednesday,4:00-5:00,13532,21089,13532,21089
2010,March,Wednesday,5:00-6:00,15888,24135,15888,24135
2010,March,Wednesday,6:00-7:00,13721,21550,13721,21550
2010,March,Wednesday,7:00-8:00,9767,15253,9767,15253
2010,March,Wednesday,8:00-9:00,6823,10644,6823,10644
2010,March,Wednesday,9:00-10:00,3014,4043,3014,4043
2010,March,Wednesday,10:00-11:00,0,0,0,0
2010,March,Thursday,4:00-5:00 AM,0,0,0,0
2010,March,Thursday,5:00-6:00,9808,5172,9808,5172
2010,March,Thursday,6:00-7:00,20227,11757,20227,11757
2010,March,Thursday,7:00-8:00,23826,14944,23826,14944
2010,March,Thursday,8:00-9:00,20501,13687,20501,13687
2010,March,Thursday,9:00-10:00,16685,12200,16685,12200
2010,March,Thursday,10:00-11:00,14604,12031,14604,12031
2010,March,Thursday,11:00-12:00,14233,12024,14233,12024
2010,March,Thursday,12:00-1:00 PM,13995,12438,13995,12438
2010,March,Thursday,1:00-2:00,14130,12729,14130,12729
2010,March,Thursday,2:00-3:00,13744,13911,13744,13911
2010,March,Thursday,3:00-4:00,12931,14973,12931,14973
2010,March,Thursday,4:00-5:00,13012,19677,13012,19677
2010,March,Thursday,5:00-6:00,15628,23152,15628,23152
2010,March,Thursday,6:00-7:00,13911,20378,13911,20378
2010,March,Thursday,7:00-8:00,9700,13961,9700,13961
2010,March,Thursday,8:00-9:00,7084,10139,7084,10139
2010,March,Thursday,9:00-10:00,2794,3490,2794,3490
2010,March,Thursday,10:00-11:00,0,0,0,0
2010,March,Friday,4:00-5:00 AM,0,0,0,0
2010,March,Friday,5:00-6:00,10337,5388,10337,5388
2010,March,Friday,6:00-7:00,19987,11739,19987,11739
2010,March,Friday,7:00-8:00,24401,15123,24401,15123
2010,March,Friday,8:00-9:00,21630,14515,21630,14515
2010,March,Friday,9:00-10:00,17725,13271,17725,13271
2010,March,Friday,10:00-11:00,15509,12962,15509,12962
2010,March,Friday,11:00-12:00,15535,13254,15535,13254
2010,March,Friday,12:00-1:00 PM,15660,13646,15660,13646
2010,March,Friday,1:00-2:00,15939,13989,15939,13989
2010,March,Friday,2:00-3:00,15568,15281,15568,15281
2010,March,Friday,3:00-4:00,14796,16944,14796,16944
2010,March,Friday,4:00-5:00,14683,21271,14683,21271
2010,March,Friday,5:00-6:00,17654,25027,17654,25027
2010,March,Friday,6:00-7:00,15305,22272,15305,22272
2010,March,Friday,7:00-8:00,11419,16435,11419,16435
2010,March,Friday,8:00-9:00,8149,11527,8149,11527
2010,March,Friday,9:00-10:00,3177,4020,3177,4020
2010,March,Friday,10:00-11:00,0,0,0,0
2010,March,Saturday,4:00-5:00 AM,0,0,0,0
2010,March,Saturday,5:00-6:00,7423,4140,7423,4140
2010,March,Saturday,6:00-7:00,11770,8180,11770,8180
2010,March,Saturday,7:00-8:00,14956,10240,14956,10240
2010,March,Saturday,8:00-9:00,15023,10550,15023,10550
2010,March,Saturday,9:00-10:00,12913,9753,12913,9753
2010,March,Saturday,10:00-11:00,11864,9894,11864,9894
2010,March,Saturday,11:00-12:00,12234,10326,12234,10326
2010,March,Saturday,12:00-1:00 PM,12749,12005,12749,12005
2010,March,Saturday,1:00-2:00,12235,11379,12235,11379
2010,March,Saturday,2:00-3:00,11590,11752,11590,11752
2010,March,Saturday,3:00-4:00,11682,13448,11682,13448
2010,March,Saturday,4:00-5:00,11600,16426,11600,16426
2010,March,Saturday,5:00-6:00,12933,17659,12933,17659
2010,March,Saturday,6:00-7:00,12090,15150,12090,15150
2010,March,Saturday,7:00-8:00,9027,11691,9027,11691
2010,March,Saturday,8:00-9:00,7000,8054,7000,8054
2010,March,Saturday,9:00-10:00,240,0,240,0
2010,March,Saturday,10:00-11:00,0,0,0,0
2010,March,Sunday,4:00-5:00 AM,0,0,0,0
2010,March,Sunday,5:00-6:00,4560,4160,4560,4160
2010,March,Sunday,6:00-7:00,6117,6165,6117,6165
2010,March,Sunday,7:00-8:00,7415,7593,7415,7593
2010,March,Sunday,8:00-9:00,9198,8355,9198,8355
2010,March,Sunday,9:00-10:00,8971,8543,8971,8543
2010,March,Sunday,10:00-11:00,8470,8296,8470,8296
2010,March,Sunday,11:00-12:00,8178,7855,8178,7855
2010,March,Sunday,12:00-1:00 PM,7816,8191,7816,8191
2010,March,Sunday,1:00-2:00,8306,8268,8306,8268
2010,March,Sunday,2:00-3:00,8714,8388,8714,8388
2010,March,Sunday,3:00-4:00,8568,8950,8568,8950
2010,March,Sunday,4:00-5:00,9405,9558,9405,9558
2010,March,Sunday,5:00-6:00,9113,10238,9113,10238
2010,March,Sunday,6:00-7:00,8355,10312,8355,10312
2010,March,Sunday,7:00-8:00,6578,8278,6578,8278
2010,March,Sunday,8:00-9:00,5732,6447,5732,6447
2010,March,Sunday,9:00-10:00,0,0,0,0
2010,March,Sunday,10:00-11:00,0,0,0,0
2010,April,Monday,4:00-5:00 AM,0,0,0,0
2010,April,Monday,5:00-6:00,11671,6200,11671,6200
2010,April,Monday,6:00-7:00,20622,12094,20622,12094
2010,April,Monday,7:00-8:00,24068,14596,24068,14596
2010,April,Monday,8:00-9:00,20804,14060,20804,14060
2010,April,Monday,9:00-10:00,18224,13678,18224,13678
2010,April,Monday,10:00-11:00,15377,13336,15377,13336
2010,April,Monday,11:00-12:00,14692,12940,14692,12940
2010,April,Monday,12:00-1:00 PM,14592,13334,14592,13334
2010,April,Monday,1:00-2:00,14413,13171,14413,13171
2010,April,Monday,2:00-3:00,13940,13838,13940,13838
2010,April,Monday,3:00-4:00,12969,15070,12969,15070
2010,April,Monday,4:00-5:00,13073,19367,13073,19367
2010,April,Monday,5:00-6:00,15486,22641,15486,22641
2010,April,Monday,6:00-7:00,12994,19820,12994,19820
2010,April,Monday,7:00-8:00,9189,13789,9189,13789
2010,April,Monday,8:00-9:00,6067,9082,6067,9082
2010,April,Monday,9:00-10:00,2117,2667,2117,2667
2010,April,Monday,10:00-11:00,0,0,0,0
2010,April,Tuesday,4:00-5:00 AM,0,0,0,0
2010,April,Tuesday,5:00-6:00,10530,5311,10530,5311
2010,April,Tuesday,6:00-7:00,19782,11297,19782,11297
2010,April,Tuesday,7:00-8:00,23073,14377,23073,14377
2010,April,Tuesday,8:00-9:00,19750,13309,19750,13309
2010,April,Tuesday,9:00-10:00,17039,12769,17039,12769
2010,April,Tuesday,10:00-11:00,14675,12276,14675,12276
2010,April,Tuesday,11:00-12:00,14288,12481,14288,12481
2010,April,Tuesday,12:00-1:00 PM,13987,12730,13987,12730
2010,April,Tuesday,1:00-2:00,14056,12854,14056,12854
2010,April,Tuesday,2:00-3:00,13631,13698,13631,13698
2010,April,Tuesday,3:00-4:00,12409,14942,12409,14942
2010,April,Tuesday,4:00-5:00,12671,19139,12671,19139
2010,April,Tuesday,5:00-6:00,15181,22810,15181,22810
2010,April,Tuesday,6:00-7:00,13127,20017,13127,20017
2010,April,Tuesday,7:00-8:00,9161,13836,9161,13836
2010,April,Tuesday,8:00-9:00,6152,9251,6152,9251
2010,April,Tuesday,9:00-10:00,2263,2789,2263,2789
2010,April,Tuesday,10:00-11:00,0,0,0,0
2010,April,Wednesday,4:00-5:00 AM,0,0,0,0
2010,April,Wednesday,5:00-6:00,10590,5245,10590,5245
2010,April,Wednesday,6:00-7:00,19892,11433,19892,11433
2010,April,Wednesday,7:00-8:00,23058,14347,23058,14347
2010,April,Wednesday,8:00-9:00,20494,14101,20494,14101
2010,April,Wednesday,9:00-10:00,17427,13456,17427,13456
2010,April,Wednesday,10:00-11:00,14580,13219,14580,13219
2010,April,Wednesday,11:00-12:00,14228,13068,14228,13068
2010,April,Wednesday,12:00-1:00 PM,13997,13641,13997,13641
2010,April,Wednesday,1:00-2:00,14162,13315,14162,13315
2010,April,Wednesday,2:00-3:00,13748,14219,13748,14219
2010,April,Wednesday,3:00-4:00,12861,16359,12861,16359
2010,April,Wednesday,4:00-5:00,13092,20645,13092,20645
2010,April,Wednesday,5:00-6:00,15686,24090,15686,24090
2010,April,Wednesday,6:00-7:00,13106,21447,13106,21447
2010,April,Wednesday,7:00-8:00,8839,14284,8839,14284
2010,April,Wednesday,8:00-9:00,6243,10173,6243,10173
2010,April,Wednesday,9:00-10:00,2297,2961,2297,2961
2010,April,Wednesday,10:00-11:00,0,0,0,0
2010,April,Thursday,4:00-5:00 AM,0,0,0,0
2010,April,Thursday,5:00-6:00,9730,5074,9730,5074
2010,April,Thursday,6:00-7:00,19072,10961,19072,10961
2010,April,Thursday,7:00-8:00,22819,13886,22819,13886
2010,April,Thursday,8:00-9:00,19611,13177,19611,13177
2010,April,Thursday,9:00-10:00,16495,12110,16495,12110
2010,April,Thursday,10:00-11:00,14547,11832,14547,11832
2010,April,Thursday,11:00-12:00,13964,11927,13964,11927
2010,April,Thursday,12:00-1:00 PM,13434,12432,13434,12432
2010,April,Thursday,1:00-2:00,13601,12312,13601,12312
2010,April,Thursday,2:00-3:00,13260,13269,13260,13269
2010,April,Thursday,3:00-4:00,12520,14883,12520,14883
2010,April,Thursday,4:00-5:00,12655,19079,12655,19079
2010,April,Thursday,5:00-6:00,15483,22995,15483,22995
2010,April,Thursday,6:00-7:00,12785,19689,12785,19689
2010,April,Thursday,7:00-8:00,9149,13839,9149,13839
2010,April,Thursday,8:00-9:00,6391,9601,6391,9601
2010,April,Thursday,9:00-10:00,2612,3169,2612,3169
2010,April,Thursday,10:00-11:00,0,0,0,0
2010,April,Friday,4:00-5:00 AM,0,0,0,0
2010,April,Friday,5:00-6:00,9232,5041,9232,5041
2010,April,Friday,6:00-7:00,16350,9865,16350,9865
2010,April,Friday,7:00-8:00,19847,12706,19847,12706
2010,April,Friday,8:00-9:00,17832,12146,17832,12146
2010,April,Friday,9:00-10:00,15715,11719,15715,11719
2010,April,Friday,10:00-11:00,14148,11747,14148,11747
2010,April,Friday,11:00-12:00,13821,11494,13821,11494
2010,April,Friday,12:00-1:00 PM,13270,12116,13270,12116
2010,April,Friday,1:00-2:00,13586,12211,13586,12211
2010,April,Friday,2:00-3:00,13432,13259,13432,13259
2010,April,Friday,3:00-4:00,12776,15006,12776,15006
2010,April,Friday,4:00-5:00,12685,18405,12685,18405
2010,April,Friday,5:00-6:00,14655,21147,14655,21147
2010,April,Friday,6:00-7:00,12576,18582,12576,18582
2010,April,Friday,7:00-8:00,9227,13492,9227,13492
2010,April,Friday,8:00-9:00,6391,9459,6391,9459
2010,April,Friday,9:00-10:00,2240,2690,2240,2690
2010,April,Friday,10:00-11:00,0,0,0,0
2010,April,Saturday,4:00-5:00 AM,0,0,0,0
2010,April,Saturday,5:00-6:00,7616,4283,7616,4283
2010,April,Saturday,6:00-7:00,10806,7808,10806,7808
2010,April,Saturday,7:00-8:00,13816,9268,13816,9268
2010,April,Saturday,8:00-9:00,13384,9303,13384,9303
2010,April,Saturday,9:00-10:00,11687,8890,11687,8890
2010,April,Saturday,10:00-11:00,10587,9085,10587,9085
2010,April,Saturday,11:00-12:00,10812,9411,10812,9411
2010,April,Saturday,12:00-1:00 PM,10910,10636,10910,10636
